问题ID,冲突类型,严重程度,描述,关联记录,处理建议,涉及金额,是否已解决
64444d9f-dac4-4eb8-be20-a9ce8d41d760,合同编号重复,high,"合同编号 NRC-2024-001 存在 2 份有效合同","CON001, CON002","请核实以下合同的有效性：华星音乐录音权合作协议, 华星音乐录音权合作协议V2。建议保留最新版本或实际生效的合同，将其余标记为'已被取代'。",0.00,否
13dd98f5-5c89-4e4a-b89e-55e09c088103,晚到版本,medium,"合同 华星音乐录音权合作协议 (版本 1) 存在更新版本 2","CON001, CON002","旧版本合同 华星音乐录音权合作协议 应标记为'已被取代'，新版本 华星音乐录音权合作协议V2 需复核权属信息是否同步更新。",0.00,否
0bf6d05f-3998-446a-b7b3-bfdf394afe6c,权属重叠,high,"曲目 夜空中最亮的星(TRK001) 的 录音权 存在权属重叠，总比例 110.00% 超过100%","CON001, CON001","权属方 华星音乐(60.0%) 与 星光工作室(50.0%) 存在重叠。请核实合同约定的分账比例和生效时间，必要时按各自有效时间拆分计算。",0.00,否
d3f66624-0522-422e-aafd-61f8c7acec8c,播放量补录,medium,"曲目 夜空中最亮的星 在 抖音 存在播放量补录数据","PB007, PB_SUPP_001","该数据为补录数据（4月漏算的短综BGM使用量补录），将覆盖或补充原始数据进行分账计算。请确认补录的原因和影响范围。",16380.00,否
846b941c-9f5c-44dd-8bab-3a0affa0319f,比例过期,high,"合同 华星音乐录音权合作协议 的分账比例已于 2024-12-31 过期","CON001","该合同已过期，涉及曲目 2 首。请尽快签署新合同或确认是否沿用原比例。本次分账将按原合同比例计算，但请尽快更新合同信息。",0.00,否
6530c10c-41d2-4946-b309-665f73a6d5db,比例过期,high,"合同 华星音乐录音权合作协议V2 的分账比例已于 2025-12-31 过期","CON002","该合同已过期，涉及曲目 3 首。请尽快签署新合同或确认是否沿用原比例。本次分账将按原合同比例计算，但请尽快更新合同信息。",0.00,否
0b7e143e-cb17-461f-86fb-34944a9af454,比例过期,high,"合同 天籁传媒表演权协议 的分账比例已于 2024-05-31 过期","CON003","该合同已过期，涉及曲目 4 首。请尽快签署新合同或确认是否沿用原比例。本次分账将按原合同比例计算，但请尽快更新合同信息。",0.00,否
bc47ef58-caf5-46c4-a2a2-c5a259fc3232,比例过期,medium,"曲目 平凡之路 的 表演权 权属比例已于 2024-05-31 过期","CON003","该权属信息已过期。请确认是否有新的权属协议，本次分账将按原比例计算。",0.00,否
ec3e9ba4-7a6b-4280-b4d0-cd508ff926c5,数据不一致,warning,"曲目 夜空中最亮的星 的权属比例 60.0% 超过合同约定上限 50.0%","CON001","权属比例超过合同约定上限，将按合同比例 50.0% 进行分账计算。",0.00,否
8633f236-9764-4da1-971d-ab5e020af045,数据不一致,warning,"曲目 春风十里 的权属比例 100.0% 超过合同约定上限 50.0%","CON001","权属比例超过合同约定上限，将按合同比例 50.0% 进行分账计算。",0.00,否
99fd0a28-bee3-445d-a4ab-b6d78dca4540,数据不一致,warning,"曲目 平凡之路 的权属比例 100.0% 超过合同约定上限 30.0%","CON003","权属比例超过合同约定上限，将按合同比例 30.0% 进行分账计算。",0.00,否
42cc5492-7887-4e72-9d3f-4696c470e61e,数据不一致,warning,"曲目 后会无期 的权属比例 100.0% 超过合同约定上限 45.0%","CON004","权属比例超过合同约定上限，将按合同比例 45.0% 进行分账计算。",0.00,否
1aeb4c8f-91ed-4a7d-a1c2-afd0b6c68056,数据不一致,warning,"曲目 岁月神偷 的权属比例 50.0% 超过合同约定上限 45.0%","CON004","权属比例超过合同约定上限，将按合同比例 45.0% 进行分账计算。",0.00,否
ad69c468-a925-4793-b32e-663248bb6b5c,数据不一致,warning,"曲目 岁月神偷 的权属比例 50.0% 超过合同约定上限 45.0%","CON004","权属比例超过合同约定上限，将按合同比例 45.0% 进行分账计算。",0.00,否
