时段,坐席数,来电数,接听数,放弃数,平均等待(秒),最大等待(秒),服务水平,平均排队长度,坐席利用率
2026-06-01 09:00,3,6,6,0,0.2,46.6,99.7,0.01,21.2
2026-06-01 09:30,3,6,6,0,1.6,180.0,98.8,0.01,21.2
2026-06-01 10:00,4,6,6,0,0.0,0.0,100.0,0.0,16.2
2026-06-01 10:30,4,6,6,0,0.0,0.0,100.0,0.0,16.2
2026-06-01 11:00,4,5,5,0,0.0,0.0,100.0,0.0,11.5
2026-06-01 11:30,4,4,4,0,0.0,0.0,100.0,0.0,11.5
2026-06-01 13:00,3,6,6,0,1.0,79.4,98.2,0.0,18.3
2026-06-01 13:30,4,5,5,0,0.0,0.0,100.0,0.0,13.7
2026-06-01 14:00,4,6,6,0,0.0,0.0,100.0,0.0,13.8
2026-06-01 14:30,4,5,5,0,0.4,77.2,99.2,0.0,13.8
2026-06-01 15:00,5,5,5,0,0.0,0.0,100.0,0.0,9.5
2026-06-01 15:30,5,5,5,0,0.0,0.0,100.0,0.0,9.5
2026-06-01 16:00,5,4,4,0,0.0,0.0,100.0,0.0,7.7
2026-06-01 16:30,5,4,4,0,0.0,0.0,100.0,0.0,7.7
2026-06-01 17:00,3,5,5,0,0.0,2.7,100.0,0.0,15.3
2026-06-01 17:30,3,4,4,0,0.2,22.8,99.5,0.0,15.3
2026-06-01 18:00,2,4,4,0,1.6,132.7,98.2,0.02,21.6
2026-06-01 18:30,2,5,5,0,5.4,180.0,94.4,0.02,21.6
