来电时间,等待时长(秒),通话时长(秒),坐席工号,是否放弃
2026-06-01 08:05:12,12,185,A001,False
2026-06-01 08:12:34,8,156,A002,False
2026-06-01 08:18:45,25,210,A001,False
2026-06-01 08:25:23,5,178,A003,False
2026-06-01 08:30:56,18,145,A002,False
2026-06-01 08:45:12,3,165,A001,False
2026-06-01 09:02:34,35,195,A002,False
2026-06-01 09:08:45,28,220,A003,False
2026-06-01 09:15:23,42,180,A001,False
2026-06-01 09:22:56,15,168,A004,False
2026-06-01 09:30:12,22,205,A002,False
2026-06-01 09:38:34,8,175,A001,False
2026-06-01 09:45:45,35,230,A003,False
2026-06-01 09:52:23,18,155,A004,False
2026-06-01 10:00:56,45,210,A001,False
2026-06-01 10:08:12,52,198,A002,False
2026-06-01 10:15:34,30,185,A003,False
2026-06-01 10:22:45,25,225,A004,False
2026-06-01 10:30:23,38,170,A001,False
2026-06-01 10:38:56,12,160,A002,False
2026-06-01 10:45:12,8,195,A003,False
2026-06-01 10:52:34,28,215,A004,False
2026-06-01 11:00:45,18,180,A001,False
2026-06-01 11:08:23,42,240,A002,False
2026-06-01 11:15:56,25,175,A003,False
2026-06-01 11:25:12,15,165,A004,False
2026-06-01 11:35:34,30,190,A001,False
2026-06-01 11:45:45,8,155,A002,False
2026-06-01 13:00:23,20,185,A003,False
2026-06-01 13:08:56,35,200,A001,False
2026-06-01 13:15:12,28,170,A004,False
2026-06-01 13:22:34,45,225,A002,False
2026-06-01 13:30:45,18,195,A001,False
2026-06-01 13:38:23,25,160,A003,False
2026-06-01 13:45:56,12,180,A004,False
2026-06-01 14:00:12,40,210,A001,False
2026-06-01 14:08:34,32,190,A002,False
2026-06-01 14:15:45,18,175,A003,False
2026-06-01 14:25:23,28,205,A004,False
2026-06-01 14:35:56,35,185,A001,False
2026-06-01 14:45:12,8,165,A002,False
2026-06-01 14:55:34,22,195,A003,False
2026-06-01 15:05:45,45,220,A004,False
2026-06-01 15:15:23,15,170,A001,False
2026-06-01 15:25:56,30,185,A002,False
2026-06-01 15:35:12,52,215,A003,False
2026-06-01 15:45:34,25,160,A004,False
2026-06-01 15:55:45,18,190,A001,False
2026-06-01 16:05:23,38,200,A002,False
2026-06-01 16:15:56,12,175,A003,False
2026-06-01 16:25:12,28,185,A004,False
2026-06-01 16:35:34,42,210,A001,False
2026-06-01 16:45:45,8,155,A002,False
2026-06-01 17:00:23,35,195,A003,False
2026-06-01 17:10:56,18,180,A004,False
2026-06-01 17:20:12,25,170,A001,False
2026-06-01 17:30:34,45,205,A002,False
2026-06-01 17:40:45,15,165,A003,False
2026-06-01 17:50:23,30,190,A004,False
2026-06-01 18:00:56,22,175,A001,False
2026-06-01 18:10:12,12,150,A002,False
2026-06-01 18:20:34,8,185,A003,False
2026-06-01 18:30:45,18,160,A004,False
2026-06-01 18:40:23,25,195,A001,False
2026-06-01 18:50:56,15,170,A002,False
2026-06-01 19:00:12,28,180,A003,False
2026-06-01 19:10:34,12,155,A004,False
2026-06-01 19:20:45,8,175,A001,False
2026-06-01 19:30:23,18,165,A002,False
2026-06-01 19:40:56,25,190,A003,False
2026-06-01 20:00:12,15,170,A004,False
2026-06-01 20:15:34,8,155,A001,False
