equipment_id,sample_timestamp,original_value,imputed_value,was_missing,anomaly_spike,anomaly_source,affected_by_model_backfill
PUMP-001,2026-05-23T14:51:56.249074,2.5000,,False,False,,False
PUMP-001,2026-05-24T02:51:56.249074,2.5800,,False,False,,False
PUMP-001,2026-05-24T14:51:56.249074,2.6600,,False,False,,False
PUMP-001,2026-05-25T02:51:56.249074,2.7400,,False,False,,False
PUMP-001,2026-05-25T14:51:56.249074,2.8200,,False,False,,False
PUMP-001,2026-05-26T02:51:56.249074,2.9000,,False,False,,False
PUMP-001,2026-05-26T14:51:56.249074,2.9800,,False,False,,False
PUMP-001,2026-05-27T02:51:56.249074,3.0600,,False,False,,False
PUMP-001,2026-05-27T14:51:56.249074,,0.0000,True,False,,False
PUMP-001,2026-05-28T02:51:56.249074,3.2200,,False,False,,False
PUMP-001,2026-05-28T14:51:56.249074,3.3000,,False,False,,False
PUMP-001,2026-05-29T02:51:56.249074,3.3800,,False,False,,False
PUMP-001,2026-05-29T14:51:56.249074,3.4600,,False,False,,False
PUMP-001,2026-05-30T02:51:56.249074,3.5400,,False,False,,False
PUMP-001,2026-05-30T14:51:56.249074,3.6200,,False,False,,False
PUMP-001,2026-05-31T02:51:56.249074,3.7000,,False,False,,False
PUMP-001,2026-05-31T14:51:56.249074,3.7800,,False,False,,False
PUMP-001,2026-06-01T02:51:56.249074,3.8600,,False,False,,False
PUMP-001,2026-06-01T14:51:56.249074,3.9400,,False,False,,False
PUMP-001,2026-06-02T02:51:56.249074,4.0200,,False,False,,False
PUMP-002,2026-05-23T14:51:56.249074,3.0000,,False,False,,True
PUMP-002,2026-05-24T02:51:56.249074,3.0800,,False,False,,True
PUMP-002,2026-05-24T14:51:56.249074,3.1600,,False,False,,True
PUMP-002,2026-05-25T02:51:56.249074,3.2400,,False,False,,True
PUMP-002,2026-05-25T14:51:56.249074,3.3200,,False,False,,True
PUMP-002,2026-05-26T02:51:56.249074,3.4000,,False,False,,True
PUMP-002,2026-05-26T14:51:56.249074,3.4800,,False,False,,True
PUMP-002,2026-05-27T02:51:56.249074,3.5600,,False,False,,True
PUMP-002,2026-05-27T14:51:56.249074,3.6400,,False,False,,True
PUMP-002,2026-05-28T02:51:56.249074,3.7200,,False,False,,True
PUMP-002,2026-05-28T14:51:56.249074,3.8000,,False,False,,True
PUMP-002,2026-05-29T02:51:56.249074,3.8800,,False,False,,True
PUMP-002,2026-05-29T14:51:56.249074,9.9000,,False,True,backfill,True
PUMP-002,2026-05-30T02:51:56.249074,4.0400,,False,False,,True
PUMP-002,2026-05-30T14:51:56.249074,4.1200,,False,False,,True
PUMP-002,2026-05-31T02:51:56.249074,4.2000,,False,False,,True
PUMP-002,2026-05-31T14:51:56.249074,4.2800,,False,False,,True
PUMP-002,2026-06-01T02:51:56.249074,4.3600,,False,False,,True
PUMP-002,2026-06-01T14:51:56.249074,4.4400,,False,False,,True
PUMP-002,2026-06-02T02:51:56.249074,4.5200,,False,False,,True
PUMP-003,2026-05-23T14:51:56.249074,3.5000,,False,False,,False
PUMP-003,2026-05-24T02:51:56.249074,3.5800,,False,False,,False
PUMP-003,2026-05-24T14:51:56.249074,3.6600,,False,False,,False
PUMP-003,2026-05-25T02:51:56.249074,3.7400,,False,False,,False
PUMP-003,2026-05-25T14:51:56.249074,3.8200,,False,False,,False
PUMP-003,2026-05-26T02:51:56.249074,3.9000,,False,False,,False
PUMP-003,2026-05-26T14:51:56.249074,3.9800,,False,False,,False
PUMP-003,2026-05-27T02:51:56.249074,4.0600,,False,False,,False
PUMP-003,2026-05-27T14:51:56.249074,,0.0000,True,False,,False
PUMP-003,2026-05-28T02:51:56.249074,4.2200,,False,False,,False
PUMP-003,2026-05-28T14:51:56.249074,4.3000,,False,False,,False
PUMP-003,2026-05-29T02:51:56.249074,4.3800,,False,False,,False
PUMP-003,2026-05-29T14:51:56.249074,4.4600,,False,False,,False
PUMP-003,2026-05-30T02:51:56.249074,4.5400,,False,False,,False
PUMP-003,2026-05-30T14:51:56.249074,4.6200,,False,False,,False
PUMP-003,2026-05-31T02:51:56.249074,4.7000,,False,False,,False
PUMP-003,2026-05-31T14:51:56.249074,4.7800,,False,False,,False
PUMP-003,2026-06-01T02:51:56.249074,4.8600,,False,False,,False
PUMP-003,2026-06-01T14:51:56.249074,4.9400,,False,False,,False
PUMP-003,2026-06-02T02:51:56.249074,5.0200,,False,False,,False
PUMP-004,2026-05-23T14:51:56.249074,4.0000,,False,False,,False
PUMP-004,2026-05-24T02:51:56.249074,4.0800,,False,False,,False
PUMP-004,2026-05-24T14:51:56.249074,4.1600,,False,False,,False
PUMP-004,2026-05-25T02:51:56.249074,4.2400,,False,False,,False
PUMP-004,2026-05-25T14:51:56.249074,4.3200,,False,False,,False
PUMP-004,2026-05-26T02:51:56.249074,4.4000,,False,False,,False
PUMP-004,2026-05-26T14:51:56.249074,4.4800,,False,False,,False
PUMP-004,2026-05-27T02:51:56.249074,4.5600,,False,False,,False
PUMP-004,2026-05-27T14:51:56.249074,4.6400,,False,False,,False
PUMP-004,2026-05-28T02:51:56.249074,4.7200,,False,False,,False
PUMP-004,2026-05-28T14:51:56.249074,4.8000,,False,False,,False
PUMP-004,2026-05-29T02:51:56.249074,4.8800,,False,False,,False
PUMP-004,2026-05-29T14:51:56.249074,12.4000,,False,True,original,False
PUMP-004,2026-05-30T02:51:56.249074,5.0400,,False,False,,False
PUMP-004,2026-05-30T14:51:56.249074,5.1200,,False,False,,False
PUMP-004,2026-05-31T02:51:56.249074,5.2000,,False,False,,False
PUMP-004,2026-05-31T14:51:56.249074,5.2800,,False,False,,False
PUMP-004,2026-06-01T02:51:56.249074,5.3600,,False,False,,False
PUMP-004,2026-06-01T14:51:56.249074,5.4400,,False,False,,False
PUMP-004,2026-06-02T02:51:56.249074,5.5200,,False,False,,False
