sample_id,experiment_group
S001,实验组B
S002,对照组
S003,实验组A
S004,实验组B
S005,实验组B
S006,实验组B
S007,实验组B
S008,实验组A
S009,实验组B
S010,实验组B
S011,对照组
S012,实验组B
S013,实验组A
S014,实验组A
S015,实验组A
S016,实验组A
S017,实验组B
S018,实验组B
S019,实验组A
S020,实验组A
S021,实验组B
S022,实验组A
S023,对照组
S024,实验组A
S025,实验组A
S026,对照组
S027,对照组
S028,实验组B
S029,实验组B
S030,对照组
S031,对照组
S032,实验组B
S033,实验组A
S034,对照组
S035,实验组B
S036,实验组A
S037,对照组
S038,实验组A
S039,实验组B
S040,对照组
S041,实验组A
S042,对照组
S043,实验组A
S044,实验组B
S045,实验组B
S046,对照组
S047,实验组A
S048,对照组
S049,对照组
S050,实验组A
S051,实验组A
S052,实验组A
S053,实验组B
S054,对照组
S055,对照组
S056,实验组B
S057,实验组A
S058,实验组B
S059,实验组B
S060,实验组B
S061,对照组
S062,实验组B
S063,对照组
S064,对照组
S065,对照组
S066,实验组A
S067,对照组
S068,对照组
S069,实验组A
S070,对照组
S071,实验组B
S072,实验组B
S073,对照组
S074,实验组A
S075,实验组B
S076,实验组A
S077,实验组A
S078,实验组B
S079,实验组A
S080,实验组B
S081,实验组A
S082,实验组B
S083,对照组
S084,实验组B
S085,实验组B
S086,实验组B
S087,实验组B
S088,实验组A
S089,对照组
S090,实验组B
S091,实验组A
S092,对照组
S093,对照组
S094,对照组
S095,对照组
S096,实验组B
S097,实验组B
S098,实验组A
S099,实验组A
S100,实验组A
