row,protein,x,y,z,affinity,azimuth,elevation,distance,image,note
2,CDK2,12.5,-8.3,24.1,45.2,45,30,50,cdk2_pocket_001.png,标准实验流程，结果可靠
3,CDK6,15.2,-3.1,28.7,38.9,,,,cdk6_pocket_002.png,第3行视角参数丢失，需重新生成
4,EGFR,890.5,-45.2,120.3,52.1,120,15,45,egfr_pocket_003.png,坐标超出正常范围，疑似单位转换错误
5,AKT1,-5.8,12.4,-18.6,62.7,270,45,60,akt1_pocket_004.png,
6,,0,0,0,,,,,原始第6行数据不完整，蛋白名缺失
7,MAPK1,22.1,15.6,-8.4,71.3,180,-20,55,mapk1_pocket_006.png,
8,JAK2,-18.3,22.7,35.2,29.8,400,30,50,jak2_pocket_007.png,方位角400°超出正常0-360范围
9,BRAF,33.4,-12.8,19.5,55.6,90,60,48,braf_pocket_008.png,第二批数据，质控已通过
10,PIK3CA,7.2,28.9,-22.1,41.4,225,25,52,pik3ca_pocket_009.png,亲和力略低于阈值，待仿真工程师复核
11,KRAS,-11.5,-6.7,14.8,68.2,315,40,47,kras_pocket_010.png,
