sample_id,x,y
S001,0.0,0.0
S001,1.0,0.5
S001,2.0,1.1
S001,3.0,1.6
S001,4.0,2.0
S001,5.0,2.6
S001,6.0,3.1
S001,7.0,3.5
S001,8.0,4.0
S001,9.0,4.4
S001,10.0,5.0
S002,0.0,0.0
S002,1.0,0.0
S002,2.0,0.0
S002,3.0,0.0
S002,4.0,0.0
S002,5.0,1.0
S002,6.0,1.0
S002,7.0,1.0
S002,8.0,1.0
S002,9.0,1.0
S002,10.0,1.0
S003,0.0,0.0
S003,1.0,0.1
S003,2.0,0.2
S003,3.0,0.3
S003,4.0,0.4
S003,5.0,3.0
S003,6.0,0.6
S003,7.0,0.7
S003,8.0,0.8
S003,9.0,0.9
S003,10.0,1.0
S004,0.0,0.0
S004,1.5,0.18
S004,3.0,0.42
S004,4.5,0.60
S004,6.0,0.42
S004,7.5,0.18
S004,9.0,0.02
S004,10.0,0.0
