t1_label,t1_a,t1_b,t1_c,t1_angle_A,t1_angle_B,t1_angle_C,t2_label,t2_a,t2_b,t2_c,t2_angle_A,t2_angle_B,t2_angle_C,unit,method
等边△1,3,3,3,60,60,60,等边△2,6,6,6,60,60,60,cm,AUTO
直角△3-4-5,3,4,5,,,,直角△6-8-10,6,8,10,,,,cm,SSS
△5-6-7,5,6,7,,,,△10-12-14,10,12,14,,,,cm,SSS
△3-4-5,3,4,5,,,,△4-5-6(不相似),4,5,6,,,,cm,SSS
AA角30-60,,,,30,60,,AA角30-60,,,,30,60,,cm,AA
AA角45-45,1,1,1.414,45,45,90,AA角45-44(不相似),1,1,1.414,45,44,91,cm,AA
近似误差大,3.0,4.0,5.0,,,,近似6.1-8.2-10.3,6.1,8.2,10.3,,,,cm,SSS
非法三角形,1,1,3,,,,任意△,2,3,4,,,,cm,AUTO
SAS夹角60°,2,4,,,60,,SAS夹角60°,4,8,,,60,,cm,SAS
边界小误差,3.0,4.0,5.0,,,,6.001-8.001-10.002,6.001,8.001,10.002,,,,cm,SSS
