record_id,source_row,source_file,判定方法,是否相似,误差幅度,失败原因,警告,复核状态,复核意见,截图路径,△1_a,△1_b,△1_c,△1_角A,△1_角B,△1_角C,△2_a,△2_b,△2_c,△2_角A,△2_角B,△2_角C,处理时间
f1f0a9a0a9a4,2,/Users/mac/pro/solo/workspaces/y12722/data/demo_input.csv,AA,是,,,,未复核,,,3.0,3.0,3.0,60.0,60.0,60.0,6.0,6.0,6.0,60.0,60.0,60.0,2026-06-09T19:29:31
72cbe32e0d6d,3,/Users/mac/pro/solo/workspaces/y12722/data/demo_input.csv,SSS,是,,,,未复核,,,3.0,4.0,5.0,,,,6.0,8.0,10.0,,,,2026-06-09T19:29:31
c1a811555da7,4,/Users/mac/pro/solo/workspaces/y12722/data/demo_input.csv,SSS,是,,,,未复核,,,5.0,6.0,7.0,,,,10.0,12.0,14.0,,,,2026-06-09T19:29:31
645ceb6c1e31,5,/Users/mac/pro/solo/workspaces/y12722/data/demo_input.csv,SSS,否,5.594406e-02,三组对应边比值的相对偏差为 5.594406e-02，超过容差 1.00e-04，不满足成比例条件,,未复核,,/Users/mac/pro/solo/workspaces/y12722/output/screenshots/batch_2a6c44176a_record_645ceb6c1e31.png,3.0,4.0,5.0,,,,4.0,5.0,6.0,,,,2026-06-09T19:29:31
890e86b72050,6,/Users/mac/pro/solo/workspaces/y12722/data/demo_input.csv,AA,是,,,,未复核,,,0.0,0.0,0.0,30.0,60.0,,0.0,0.0,0.0,30.0,60.0,,2026-06-09T19:29:31
45770eac8544,7,/Users/mac/pro/solo/workspaces/y12722/data/demo_input.csv,AA,否,,仅匹配到 1 组对应角相等，不足 2 组，AA 判定不相似,仅匹配到 1 组对应角（需要 2 组），建议补充数据或用其他方法判定,未复核,,/Users/mac/pro/solo/workspaces/y12722/output/screenshots/batch_2a6c44176a_record_45770eac8544.png,1.0,1.0,1.414,45.0,45.0,90.0,1.0,1.0,1.414,45.0,44.0,91.0,2026-06-09T19:29:31
b389f8e59dec,8,/Users/mac/pro/solo/workspaces/y12722/data/demo_input.csv,SSS,是,7.074722e-03,三组对应边比值的相对偏差为 7.074722e-03，超过容差 1.00e-04，不满足成比例条件, [复核修正: False -> True],已复核,人工复核：两边比值接近，属于边界情况，按教学要求标记为近似相似,/Users/mac/pro/solo/workspaces/y12722/output/screenshots/batch_2a6c44176a_record_b389f8e59dec.png,3.0,4.0,5.0,,,,6.1,8.2,10.3,,,,2026-06-09T19:29:31
f360bb42a1a0,9,/Users/mac/pro/solo/workspaces/y12722/data/demo_input.csv,AUTO,失败,inf,三角形①校验失败：不满足三角形不等式 (两边之和必须大于第三边),,未复核,,/Users/mac/pro/solo/workspaces/y12722/output/screenshots/batch_2a6c44176a_record_f360bb42a1a0.png,1.0,1.0,3.0,,,,2.0,3.0,4.0,,,,2026-06-09T19:29:31
4a58bc30e00e,10,/Users/mac/pro/solo/workspaces/y12722/data/demo_input.csv,SAS,失败,inf,三角形②存在边长为 0，无法计算比值,,未复核,,/Users/mac/pro/solo/workspaces/y12722/output/screenshots/batch_2a6c44176a_record_4a58bc30e00e.png,2.0,4.0,0.0,,60.0,,4.0,8.0,0.0,,60.0,,2026-06-09T19:29:31
e365bfb0ff38,11,/Users/mac/pro/solo/workspaces/y12722/data/demo_input.csv,SSS,是,3.888309e-05,,,未复核,,,3.0,4.0,5.0,,,,6.001,8.001,10.002,,,,2026-06-09T19:29:31
