date,value
2024-01-01,101.49
2024-01-02,111.86
2024-01-03,117.66
2024-01-04,112.71
2024-01-05,94.97
2024-01-06,87.40备注:春节调休
2024-01-07,96.28
2024-01-08,106.12
2024-01-09,114.68
2024-01-10,121.16
2024-01-11,110.57
2024-01-12,98.09
2024-01-13,
2024-01-14,89.62
2024-01-15,102.46
2024-01-16,118.22
2024-01-17,120.31
2024-01-18,116.72
2024-01-19,缺数据(待补)
2024-01-20,91.50
2024-01-21,103.58
2024-01-22,110.78
2024-01-23,123.93
2024-01-24,122.90
2024-01-25,117.97
2024-01-26,107.46(系统异常，待核)
2024-01-27,96.10
2024-01-28,104.13
2024-01-29,113.47
2024-01-30,126.67
2024-01-31,129.18
2024-02-01,128.97
2024-02-02,110.91
2024-02-03,未报
2024-02-04,109.29
2024-02-05,115.43
2024-02-06,131.99
2024-02-07,128.93
2024-02-08,123.25
2024-02-09,115.36
2024-02-10,abc123
2024-02-11,111.15
2024-02-12,122.56
2024-02-13,134.28
2024-02-14,134.19
2024-02-15,128.89
2024-02-16,117.20
2024-02-17,114.18
2024-02-18,115.49
2024-02-19,121.44
2024-02-20,139.97
2024-02-21,141.29
2024-02-22,132.84
2024-02-23,124.24
2024-02-24,117.92
2024-02-25,121.07
2024-01-20,91.50
2024-01-20,100.65
