date,value,_数据状态,_运营提示,_问题描述,_修正记录
2024-01-01,101.49,可用,可直接使用,,
2024-01-02,111.86,可用,可直接使用,,
2024-01-03,117.66,可用,可直接使用,,
2024-01-04,112.71,可用,可直接使用,,
2024-01-05,94.97,可用,可直接使用,,
2024-01-06,87.40备注:春节调休,暂缓,需数据分析员复核,[含备注] 数值已提取，备注内容: 备注:春节调休,2026-06-09 19:30:35 张三: 暂缓→可用 (与财务台账核对，春节调休数据无误)
2024-01-07,96.28,可用,可直接使用,,
2024-01-08,106.12,可用,可直接使用,,
2024-01-09,114.68,可用,可直接使用,,
2024-01-10,121.16,可用,可直接使用,,
2024-01-11,110.57,可用,可直接使用,,
2024-01-12,98.09,可用,可直接使用,,
2024-01-13,,需重新采集,需重新采集，已排除,[数值缺失] 值列为空,
2024-01-14,89.62,可用,可直接使用,,
2024-01-15,102.46,可用,可直接使用,,
2024-01-16,118.22,可用,可直接使用,,
2024-01-17,120.31,可用,可直接使用,,
2024-01-18,116.72,可用,可直接使用,,
2024-01-19,缺数据(待补),需重新采集,需重新采集，已排除,[数值解析失败] 原始值 '缺数据' 无法解析为数字；[异常标识] 内容含异常/缺失标识词，需复核,
2024-01-20,91.50,可用,可直接使用,,
2024-01-21,103.58,可用,可直接使用,,
2024-01-22,110.78,可用,可直接使用,,
2024-01-23,123.93,可用,可直接使用,,
2024-01-24,122.90,可用,可直接使用,,
2024-01-25,117.97,可用,可直接使用,,
2024-01-26,107.46(系统异常，待核),暂缓,需数据分析员复核,[含备注] 数值已提取，备注内容: (系统异常，待核)；[异常标识] 内容含异常/缺失标识词，需复核,2026-06-09 19:30:43 李四: 暂缓→需重新采集 (系统异常期间数据不可信，需重新采集)
2024-01-27,96.10,可用,可直接使用,,
2024-01-28,104.13,可用,可直接使用,,
2024-01-29,113.47,可用,可直接使用,,
2024-01-30,126.67,可用,可直接使用,,
2024-01-31,129.18,可用,可直接使用,,
2024-02-01,128.97,可用,可直接使用,,
2024-02-02,110.91,可用,可直接使用,,
2024-02-03,未报,需重新采集,需重新采集，已排除,[数值解析失败] 原始值 '未报' 无法解析为数字；[异常标识] 内容含异常/缺失标识词，需复核,
2024-02-04,109.29,可用,可直接使用,,
2024-02-05,115.43,可用,可直接使用,,
2024-02-06,131.99,可用,可直接使用,,
2024-02-07,128.93,可用,可直接使用,,
2024-02-08,123.25,可用,可直接使用,,
2024-02-09,115.36,可用,可直接使用,,
2024-02-10,abc123,需重新采集,需重新采集，已排除,[数值解析失败] 原始值 'abc123' 无法解析为数字,
2024-02-11,111.15,可用,可直接使用,,
2024-02-12,122.56,可用,可直接使用,,
2024-02-13,134.28,可用,可直接使用,,
2024-02-14,134.19,可用,可直接使用,,
2024-02-15,128.89,可用,可直接使用,,
2024-02-16,117.20,可用,可直接使用,,
2024-02-17,114.18,可用,可直接使用,,
2024-02-18,115.49,可用,可直接使用,,
2024-02-19,121.44,可用,可直接使用,,
2024-02-20,139.97,可用,可直接使用,,
2024-02-21,141.29,可用,可直接使用,,
2024-02-22,132.84,可用,可直接使用,,
2024-02-23,124.24,可用,可直接使用,,
2024-02-24,117.92,可用,可直接使用,,
2024-02-25,121.07,可用,可直接使用,,
2024-01-20,91.50,暂缓,需数据分析员复核,[日期重复] 日期 2024-01-20 00:00:00 出现重复，保留首行,
2024-01-20,100.65,暂缓,需数据分析员复核,[日期重复] 日期 2024-01-20 00:00:00 出现重复，保留首行,
