question_id,student_id,score,historical_value,extrapolated_value,batch_id,sample_date
Q001,S001,79.97,79.28,85.15,2026-05,2026-05-15
Q001,S002,90.23,89.06,88.36,2026-05,2026-05-15
Q001,S003,90.79,94.63,87.04,2026-05,2026-05-15
Q001,S004,80.43,78.11,76.7,2026-05,2026-05-15
Q001,S005,77.42,67.85,63.62,2026-05,2026-05-15
Q001,S006,69.38,64.31,71.89,2026-05,2026-05-15
Q001,S007,65.92,58.86,77.64,2026-05,2026-05-15
Q001,S008,72.74,73.08,61.34,2026-05,2026-05-15
Q001,S009,69.56,70.11,60.35,2026-05,2026-05-15
Q001,S010,78.76,75.75,76.42,2026-05,2026-05-15
Q002,S001,68.98,78.24,68.87,2026-05,2026-05-15
Q002,S002,64.42,68.54,54.66,2026-05,2026-05-15
Q002,S003,77.09,67.29,66.46,2026-05,2026-05-15
Q002,S004,76.97,80.66,78.34,2026-05,2026-05-15
Q002,S005,73.84,72.34,62.02,2026-05,2026-05-15
Q002,S006,67.8,65.5,76.26,2026-05,2026-05-15
Q002,S007,78.44,69.62,81.03,2026-05,2026-05-15
Q002,S008,71.15,67.76,76.04,2026-05,2026-05-15
Q002,S009,85.31,89.97,78.6,2026-05,2026-05-15
Q002,S010,71.91,73.56,79.71,2026-05,2026-05-15
Q003,S001,70.21,69.28,61.36,2026-05,2026-05-15
Q003,S002,63.04,67.1,73.89,2026-05,2026-05-15
Q003,S003,74.28,79.3,77.17,2026-05,2026-05-15
Q003,S004,68.55,70.36,80.85,2026-05,2026-05-15
Q003,S005,74.64,82.46,135.5,2026-05,2026-05-15
Q003,S006,83.22,83.65,80.83,2026-05,2026-05-15
Q003,S007,75.92,65.98,74.16,2026-05,2026-05-15
Q003,S008,78.57,85.96,-15.2,2026-05,2026-05-15
Q003,S009,66.92,64.41,74.24,2026-05,2026-05-15
Q003,S010,78.29,75.64,82.39,2026-05,2026-05-15
Q004,S001,75.97,80.81,70.35,2026-05,2026-05-15
Q004,S002,71.72,69.76,60.02,2026-05,2026-05-15
Q004,S003,77.96,79.27,78.0,2026-05,2026-05-15
Q004,S004,,65.58,69.29,2026-05,2026-05-15
Q004,S005,71.57,67.56,70.28,2026-05,2026-05-15
Q004,S006,79.04,88.47,80.44,2026-05,2026-05-15
Q004,S007,77.58,77.2,62.23,2026-05,2026-05-15
Q004,S008,74.73,75.04,94.44,2026-05,2026-05-15
Q004,S009,73.08,74.58,72.8,2026-05,2026-05-15
Q004,S010,63.31,69.03,69.33,2026-05,2026-05-15
Q005,S001,82.91,78.36,94.13,2026-05,2026-05-15
Q005,S002,60.98,63.92,78.51,2026-05,2026-05-15
Q005,S003,99.9,62.26,65.89,2026-05,2026-05-15
Q005,S004,69.97,62.21,70.51,2026-05,2026-05-15
Q005,S005,64.38,66.74,57.02,2026-05,2026-05-15
Q005,S006,90.5,86.58,87.92,2026-05,2026-05-15
Q005,S007,83.14,76.98,84.95,2026-05,2026-05-15
Q005,S008,88.07,80.03,89.55,2026-05,2026-05-15
Q005,S009,77.6,81.51,67.7,2026-05,2026-05-15
Q005,S010,61.8,64.41,64.17,2026-05,2026-05-15
Q006,S001,77.5,79.24,72.06,2026-05,2026-05-15
Q006,S002,77.32,78.79,71.61,2026-05,2026-05-15
Q006,S003,93.66,96.03,84.13,2026-05,2026-05-15
Q006,S004,81.57,76.69,87.86,2026-05,2026-05-15
Q006,S005,86.59,82.48,94.29,2026-05,2026-05-15
Q006,S006,79.13,83.24,94.3,2026-05,2026-05-15
