学生ID,题目ID,题目名称,学生能力θ,题目难度b,θ-b,预测答对概率P,实际对错(1/0),残差(实际-预测),数据来源
S001,Q001,代数基础-因式分解,0.3615,-2.1862,2.5477,0.9274,1,0.0726,CSV:math_quiz_2026.csv
S001,Q002,二次函数顶点式,0.3615,-0.4814,0.8429,0.6991,1,0.3009,CSV:math_quiz_2026.csv
S001,Q003,三角恒等变换,0.3615,0.9049,-0.5434,0.3674,0,-0.3674,CSV:math_quiz_2026.csv
S001,Q004,立体几何体积,0.3615,-0.1248,0.4862,0.6192,0,-0.6192,CSV:math_quiz_2026.csv
S001,Q005,圆锥曲线离心率,0.3615,0.5482,-0.1867,0.4535,0,-0.4535,CSV:math_quiz_2026.csv
S001,Q006,概率古典概型,0.3615,-0.1248,0.4862,0.6192,1,0.3808,CSV:math_quiz_2026.csv
S001,Q007,数列通项公式,0.3615,0.394,-0.0326,0.4919,1,0.5081,CSV:math_quiz_2026.csv
S001,Q009,向量数量积,0.3615,-0.1248,0.4862,0.6192,1,0.3808,CSV:math_quiz_2026.csv
S002,Q001,代数基础-因式分解,5.0,-2.1862,7.1862,0.9992,1,0.0008,CSV:math_quiz_2026.csv
S002,Q002,二次函数顶点式,5.0,-0.4814,5.4814,0.9959,1,0.0041,CSV:math_quiz_2026.csv
S002,Q003,三角恒等变换,5.0,0.9049,4.0951,0.9836,1,0.0164,CSV:math_quiz_2026.csv
S002,Q004,立体几何体积,5.0,-0.1248,5.1248,0.9941,1,0.0059,CSV:math_quiz_2026.csv
S002,Q005,圆锥曲线离心率,5.0,0.5482,4.4518,0.9885,1,0.0115,CSV:math_quiz_2026.csv
S002,Q006,概率古典概型,5.0,-0.1248,5.1248,0.9941,1,0.0059,CSV:math_quiz_2026.csv
S002,Q007,数列通项公式,5.0,0.394,4.606,0.9901,1,0.0099,CSV:math_quiz_2026.csv
S002,Q008,导数极值问题,5.0,0.7713,4.2287,0.9856,1,0.0144,CSV:math_quiz_2026.csv
S002,Q009,向量数量积,5.0,-0.1248,5.1248,0.9941,1,0.0059,CSV:math_quiz_2026.csv
S003,Q001,代数基础-因式分解,-0.2702,-2.1862,1.916,0.8717,1,0.1283,CSV:math_quiz_2026.csv
S003,Q002,二次函数顶点式,-0.2702,-0.4814,0.2112,0.5526,1,0.4474,CSV:math_quiz_2026.csv
S003,Q003,三角恒等变换,-0.2702,0.9049,-1.1751,0.2359,0,-0.2359,CSV:math_quiz_2026.csv
S003,Q004,立体几何体积,-0.2702,-0.1248,-0.1454,0.4637,1,0.5363,CSV:math_quiz_2026.csv
S003,Q005,圆锥曲线离心率,-0.2702,0.5482,-0.8184,0.3061,0,-0.3061,CSV:math_quiz_2026.csv
S003,Q006,概率古典概型,-0.2702,-0.1248,-0.1454,0.4637,0,-0.4637,CSV:math_quiz_2026.csv
S003,Q007,数列通项公式,-0.2702,0.394,-0.6642,0.3398,0,-0.3398,CSV:math_quiz_2026.csv
S003,Q008,导数极值问题,-0.2702,0.7713,-1.0415,0.2609,0,-0.2609,CSV:math_quiz_2026.csv
S003,Q009,向量数量积,-0.2702,-0.1248,-0.1454,0.4637,1,0.5363,CSV:math_quiz_2026.csv
S004,Q001,代数基础-因式分解,-5.0,-2.1862,-2.8138,0.0566,0,-0.0566,CSV:math_quiz_2026.csv
S004,Q002,二次函数顶点式,-5.0,-0.4814,-4.5186,0.0108,0,-0.0108,CSV:math_quiz_2026.csv
S004,Q003,三角恒等变换,-5.0,0.9049,-5.9049,0.0027,0,-0.0027,CSV:math_quiz_2026.csv
S004,Q004,立体几何体积,-5.0,-0.1248,-4.8752,0.0076,0,-0.0076,CSV:math_quiz_2026.csv
S004,Q005,圆锥曲线离心率,-5.0,0.5482,-5.5482,0.0039,0,-0.0039,CSV:math_quiz_2026.csv
S004,Q006,概率古典概型,-5.0,-0.1248,-4.8752,0.0076,0,-0.0076,CSV:math_quiz_2026.csv
S004,Q007,数列通项公式,-5.0,0.394,-5.394,0.0045,0,-0.0045,CSV:math_quiz_2026.csv
S004,Q008,导数极值问题,-5.0,0.7713,-5.7713,0.0031,0,-0.0031,CSV:math_quiz_2026.csv
S004,Q009,向量数量积,-5.0,-0.1248,-4.8752,0.0076,0,-0.0076,CSV:math_quiz_2026.csv
