记录编号,批号,样品名称,峰序号,保留时间(min),峰面积,峰高,理论塔板数,分离度,拖尾因子,仪器编号,进样时间,数据文件名
SP20260601001,B20260601-01,阿莫西林胶囊,1,2.35,125680,3256,8562,0,1.05,LC-01,2026-06-01 09:30:15,20260601_0930_B20260601-01_01.raw
SP20260601001,B20260601-01,阿莫西林胶囊,2,3.12,2589340,68952,12458,15.6,1.12,LC-01,2026-06-01 09:30:15,20260601_0930_B20260601-01_01.raw
SP20260601002,B20260601-02,头孢克洛片,1,2.18,98560,2456,9236,0,0.98,LC-01,2026-06-01 10:15:22,20260601_1015_B20260601-02_01.raw
SP20260601002,B20260601-02,头孢克洛片,2,4.25,3125680,82365,11256,22.3,1.08,LC-01,2026-06-01 10:15:22,20260601_1015_B20260601-02_01.raw
SP20260601003,B20260601-03,阿奇霉素分散片,1,2.42,112560,3125,8956,0,1.15,LC-01,2026-06-01 11:00:08,20260601_1100_B20260601-03_01.raw
SP20260601003,B20260601-03,阿奇霉素分散片,2,5.68,1856320,45682,10568,28.9,0.95,LC-01,2026-06-01 11:00:08,20260601_1100_B20260601-03_01.raw
SP20260601004,B20260601-01,阿莫西林胶囊,1,2.38,128560,3325,8625,0,1.02,LC-01,2026-06-01 14:20:33,20260601_1420_B20260601-01_02.raw
SP20260601004,B20260601-01,阿莫西林胶囊,2,3.15,2612580,69258,12586,15.8,1.10,LC-01,2026-06-01 14:20:33,20260601_1420_B20260601-01_02.raw
SP20260602001,B20260602-01,左氧氟沙星片,1,2.08,85620,2156,9125,0,1.08,LC-02,2026-06-02 08:45:12,20260602_0845_B20260602-01_01.raw
SP20260602001,B20260602-01,左氧氟沙星片,2,3.85,2425680,65236,12896,18.2,1.15,LC-02,2026-06-02 08:45:12,20260602_0845_B20260602-01_01.raw
SP20260602002,B20260602-02,罗红霉素胶囊,1,2.56,105680,2685,8896,0,0.92,LC-02,2026-06-02 09:30:45,20260602_0930_B20260602-02_01.raw
SP20260602002,B20260602-02,罗红霉素胶囊,2,6.12,1562580,38956,9856,31.5,1.22,LC-02,2026-06-02 09:30:45,20260602_0930_B20260602-02_01.raw
SP20260602003,B20260601-03,阿奇霉素分散片,1,2.40,110250,3056,8896,0,1.18,LC-02,2026-06-02 10:15:20,20260602_1015_B20260601-03_02.raw
SP20260602003,B20260601-03,阿奇霉素分散片,2,5.65,1923650,47258,10689,28.5,0.98,LC-02,2026-06-02 10:15:20,20260602_1015_B20260601-03_02.raw
SP20260603001,B20260603-01,克拉霉素片,1,2.68,95620,2385,8756,0,1.12,LC-01,2026-06-03 09:00:00,20260603_0900_B20260603-01_01.raw
SP20260603001,B20260603-01,克拉霉素片,2,4.85,2156890,56325,11896,21.6,1.05,LC-01,2026-06-03 09:00:00,20260603_0900_B20260603-01_01.raw
