批次号,时间点,检验日期,温度(°C),湿度(%),检验员,记录时间,空白对照,含量,标准,ph值,标准,微生物,标准,性状,备注,补录说明
20240101,0月,2024-01-16,25,60,张三,2024-01-16 14:30:00,是,98.5mg/g,95.0~105.0%,5.8,5.5~7.0,10,≤100,合格,初始检测,
20240101,0月,2024-01-16,25,60,张三,2024-01-16 14:35:00,否,98.2mg/g,95.0~105.0%,5.8,5.5~7.0,8,≤100,合格,初始检测供试品,
20240101,1月,2024-02-16,25,62,张三,2024-02-16 10:15:00,否,97.8,95.0~105.0%,5.9,5.5~7.0,15,≤100,合格,空白未做,空白对照未做，结果仅供参考
20240101,1月,2024-02-16,25,62,张三,2024-02-16 10:20:00,是,0.3,95.0~105.0%,5.9,5.5~7.0,5,≤100,合格,空白对照,
20240101,3月,2024-04-16,25,58,李四,2024-04-16 09:45:00,否,96.5mg/g,95.0~105.0%,5.7,5.5~7.0,12,≤100,合格,正常检测,
20240101,3月,2024-04-16,25,58,李四,,,是,0.5,95.0~105.0%,5.7,5.5~7.0,3,≤100,合格,空白对照,反应时间漏记
20240101,6月,2024-07-16,25,65,李四,2024-07-16 15:20:00,否,95.8,95.0~105.0%,5.6,5.5~7.0,18,≤100,合格,正常检测,含量接近下限，需关注
20240101,6月,2024-07-16,25,65,李四,2024-07-16 15:25:00,是,0.4,95.0~105.0%,5.6,5.5~7.0,5,≤100,合格,空白对照,
20240101,12月,2025-01-16,25,63,王五,,否,92.3mg/g,95.0~105.0%,5.4,5.5~7.0,25,≤100,不合格,12月检测,含量不合格
20240101,12月,2025-01-16,25,63,王五,2025-01-16 11:30:00,是,0.6,95.0~105.0%,5.4,5.5~7.0,10,≤100,合格,空白对照,
