样品批号,试剂名称,试剂批号,浓度,浓度单位,使用量,供应商,有效期
DY-20240610-01,硫酸铜,CUSO4-2024-03,200,g/L,250,国药集团,2025-03-15
DY-20240610-01,硫酸,H2SO4-2024-01,98,%,15,国药集团,2026-01-20
DY-20240610-01,氯离子添加剂,CL-ADD-2024-02,50,g/L,5,上海某化工,2025-08-10
DY-20240610-02,硫酸镍,NISO4-2024-04,300,g/L,200,国药集团,2025-06-01
DY-20240610-02,硫酸锌,ZNSO4-2024-03,100,g/L,80,国药集团,2025-04-18
DY-20240610-02,硼酸,H3BO3-2024-01,50,g/L,30,天津化工,2025-12-30
DY-20240610-03,铬酸酐,CRO3-2024-02,500,g/L,300,国药集团,2025-05-20
DY-20240610-03,硫酸,H2SO4-2024-01,98,%,20,国药集团,2026-01-20
DY-20240610-03,三价铬添加剂,CR3-ADD-2024-03,20,g/L,10,上海某化工,2025-09-15
DY-20240610-04,氧化锌,ZNO-2024-01,100,g/L,100,国药集团,2025-07-05
DY-20240610-04,氢氧化钠,NAOH-2024-02,100,g/L,120,国药集团,2026-02-10
DY-20240610-04,光亮剂,Brightener-2024-01,20,g/L,8,美国进口,2025-03-01
