序号,材料批次,初始浓度,平衡浓度,吸附剂投量,温度,反应时间,吸光度,记录人,记录日期,备注
1,MIL-101-Cr-20240512,10 mg/L,2.31 mg/L,10 mg,298 K,24 h,0.231,张伟,2024-05-22,
2,MIL-101-Cr-20240512,20 mg/L,5.87 mg/L,10 mg,298 K,24 h,0.587,张伟,2024-05-22,
3,MIL-101-Cr-20240512,50 mg/L,18.42 mg/L,10 mg,298 K,24 h,1.842,张伟,2024-05-22,
4,MIL-101-Cr-20240512,100 mg/L,45.63 mg/L,10 mg,298 K,24 h,4.563,张伟,2024-05-22,【注意】吸光度接近量程上限
5,MIL-101-Cr-20240512,200 mg/L,112.18 mg/L,10 mg,298 K,24 h,11.218,张伟,2024-05-22,稀释10倍测试
6,MIL-101-Cr-20240515,10 mg/L,1.85 mg/L,10 mg,25℃,,0.185,李明,2024-05-23,【漏记】反应时间没写，按24h估
7,MIL-101-Cr-20240515,20 mg/L,4.52 mg/L,10 mg,25℃,,0.452,李明,2024-05-23,
8,MIL-101-Cr-20240515,50 mg/L,14.78 mg/L,10 mg,25℃,,1.478,李明,2024-05-23,
9,MIL-101-Cr-20240515,100 mg/L,38.94 mg/L,10 mg,25℃,,3.894,李明,2024-05-23,
10,MIL-101-Cr-20240515,200 mg/L,95.32 mg/L,10 mg,25℃,,9.532,李明,2024-05-23,稀释10倍
11,MIL-101-Cr-20240515,10 ppm,1.92 ppm,10 mg,298.15 K,18 h,0.192,李明,2024-05-24,【重测】补录，确认反应18h
12,MIL-101-Cr-20240515,20 ppm,4.89 ppm,10 mg,298.15 K,18 h,0.489,李明,2024-05-24,
13,MIL-101-Cr-20240515,50 ppm,15.63 ppm,10 mg,298.15 K,18 h,1.563,李明,2024-05-24,
14,MIL-101-Cr-20240515,100 ppm,41.27 ppm,10 mg,298.15 K,18 h,4.127,李明,2024-05-24,
15,MIL-101-Cr-20240515,200 ppm,99.85 ppm,10 mg,298.15 K,18 h,9.985,李明,2024-05-24,稀释10倍
16,MIL-101-Cr-20240518,10 mg/L,3.74 mg/L,10 mg,25℃,24 h,0.374,王芳,2024-05-25,
17,MIL-101-Cr-20240518,20 mg/L,9.88 mg/L,10 mg,25℃,24 h,0.988,王芳,2024-05-25,
18,MIL-101-Cr-20240518,50 mg/L,31.25 mg/L,10 mg,25℃,24 h,3.125,王芳,2024-05-25,
19,MIL-101-Cr-20240518,100 mg/L,72.06 mg/L,10 mg,25℃,24 h,7.206,王芳,2024-05-25,
20,MIL-101-Cr-20240518,200 mg/L,168.43 mg/L,10 mg,25℃,24 h,16.843,王芳,2024-05-25,稀释10倍
21,ZIF-8-20240520,10 mg/L,5.22 mg/L,10 mg,298 K,12 h,0.522,王芳,2024-05-26,
22,ZIF-8-20240520,20 mg/L,12.68 mg/L,10 mg,298 K,12 h,1.268,王芳,2024-05-26,
23,ZIF-8-20240520,50 mg/L,36.94 mg/L,10 mg,298 K,12 h,3.694,王芳,2024-05-26,
24,ZIF-8-20240520,100 mg/L,81.72 mg/L,10 mg,298 K,12 h,8.172,王芳,2024-05-26,
25,ZIF-8-20240520,200 mg/L,175.08 mg/L,10 mg,298 K,12 h,17.508,王芳,2024-05-26,稀释10倍
26,MIL-101-Cr-20240512,30 mg/L,0.01 mg/L,10 mg,298 K,24 h,9.999,张伟,2024-05-27,【异常】比色皿没放好，重测见#27
27,MIL-101-Cr-20240512,30 mg/L,8.12 mg/L,10 mg,298 K,24 h,0.812,张伟,2024-05-27,【修正】#26的正确值
