序号,材料批次,初始浓度,平衡浓度,吸附剂投量,温度,反应时间,吸光度,记录人,记录日期,备注,C0_mg_L,Ce_mg_L,温度_K,反应时间_h,投量_mg,qe_mg_g
1,MIL-101-Cr-20240512,10 mg/L,2.31 mg/L,10 mg,298 K,24 h,0.231,张伟,2024-05-22,,10.0,2.31,298.0,24.0,10.0,38.45
2,MIL-101-Cr-20240512,20 mg/L,5.87 mg/L,10 mg,298 K,24 h,0.587,张伟,2024-05-22,,20.0,5.87,298.0,24.0,10.0,70.65
3,MIL-101-Cr-20240512,50 mg/L,18.42 mg/L,10 mg,298 K,24 h,1.842,张伟,2024-05-22,,50.0,18.42,298.0,24.0,10.0,157.9
4,MIL-101-Cr-20240512,100 mg/L,45.63 mg/L,10 mg,298 K,24 h,4.563,张伟,2024-05-22,【注意】吸光度接近量程上限,100.0,45.63,298.0,24.0,10.0,271.85
5,MIL-101-Cr-20240512,200 mg/L,112.18 mg/L,10 mg,298 K,24 h,11.218,张伟,2024-05-22,稀释10倍测试,200.0,112.18,298.0,24.0,10.0,439.09999999999997
6,MIL-101-Cr-20240515,10 mg/L,1.85 mg/L,10 mg,25℃,,0.185,李明,2024-05-23,【漏记】反应时间没写，按24h估,10.0,1.85,298.15,24.0,10.0,40.75
7,MIL-101-Cr-20240515,20 mg/L,4.52 mg/L,10 mg,25℃,,0.452,李明,2024-05-23,,20.0,4.52,298.15,24.0,10.0,77.4
8,MIL-101-Cr-20240515,50 mg/L,14.78 mg/L,10 mg,25℃,,1.478,李明,2024-05-23,,50.0,14.78,298.15,24.0,10.0,176.1
9,MIL-101-Cr-20240515,100 mg/L,38.94 mg/L,10 mg,25℃,,3.894,李明,2024-05-23,,100.0,38.94,298.15,24.0,10.0,305.3
10,MIL-101-Cr-20240515,200 mg/L,95.32 mg/L,10 mg,25℃,,9.532,李明,2024-05-23,稀释10倍,200.0,95.32,298.15,24.0,10.0,523.4000000000001
11,MIL-101-Cr-20240515,10 ppm,1.92 ppm,10 mg,298.15 K,18 h,0.192,李明,2024-05-24,【重测】补录，确认反应18h,10.0,1.92,298.15,18.0,10.0,40.4
12,MIL-101-Cr-20240515,20 ppm,4.89 ppm,10 mg,298.15 K,18 h,0.489,李明,2024-05-24,,20.0,4.89,298.15,18.0,10.0,75.55000000000001
13,MIL-101-Cr-20240515,50 ppm,15.63 ppm,10 mg,298.15 K,18 h,1.563,李明,2024-05-24,,50.0,15.63,298.15,18.0,10.0,171.85
14,MIL-101-Cr-20240515,100 ppm,41.27 ppm,10 mg,298.15 K,18 h,4.127,李明,2024-05-24,,100.0,41.27,298.15,18.0,10.0,293.65
15,MIL-101-Cr-20240515,200 ppm,99.85 ppm,10 mg,298.15 K,18 h,9.985,李明,2024-05-24,稀释10倍,200.0,99.85,298.15,18.0,10.0,500.75
16,MIL-101-Cr-20240518,10 mg/L,3.74 mg/L,10 mg,25℃,24 h,0.374,王芳,2024-05-25,,10.0,3.74,298.15,24.0,10.0,31.3
17,MIL-101-Cr-20240518,20 mg/L,9.88 mg/L,10 mg,25℃,24 h,0.988,王芳,2024-05-25,,20.0,9.88,298.15,24.0,10.0,50.6
18,MIL-101-Cr-20240518,50 mg/L,31.25 mg/L,10 mg,25℃,24 h,3.125,王芳,2024-05-25,,50.0,31.25,298.15,24.0,10.0,93.75
19,MIL-101-Cr-20240518,100 mg/L,72.06 mg/L,10 mg,25℃,24 h,7.206,王芳,2024-05-25,,100.0,72.06,298.15,24.0,10.0,139.7
20,MIL-101-Cr-20240518,200 mg/L,168.43 mg/L,10 mg,25℃,24 h,16.843,王芳,2024-05-25,稀释10倍,200.0,168.43,298.15,24.0,10.0,157.84999999999997
21,ZIF-8-20240520,10 mg/L,5.22 mg/L,10 mg,298 K,12 h,0.522,王芳,2024-05-26,,10.0,5.22,298.0,12.0,10.0,23.900000000000002
22,ZIF-8-20240520,20 mg/L,12.68 mg/L,10 mg,298 K,12 h,1.268,王芳,2024-05-26,,20.0,12.68,298.0,12.0,10.0,36.6
23,ZIF-8-20240520,50 mg/L,36.94 mg/L,10 mg,298 K,12 h,3.694,王芳,2024-05-26,,50.0,36.94,298.0,12.0,10.0,65.30000000000001
24,ZIF-8-20240520,100 mg/L,81.72 mg/L,10 mg,298 K,12 h,8.172,王芳,2024-05-26,,100.0,81.72,298.0,12.0,10.0,91.4
25,ZIF-8-20240520,200 mg/L,175.08 mg/L,10 mg,298 K,12 h,17.508,王芳,2024-05-26,稀释10倍,200.0,175.08,298.0,12.0,10.0,124.59999999999995
27,MIL-101-Cr-20240512,30 mg/L,8.12 mg/L,10 mg,298 K,24 h,0.812,张伟,2024-05-27,【修正】#26的正确值,30.0,8.12,298.0,24.0,10.0,109.4
