级别,类别,行号,字段,修改前,修改后,原因,潜在后果
INFO,单位换算,#1,初始浓度,10 mg/L,10.0000 mg/L 当量,mg/L,
INFO,单位换算,#1,平衡浓度,2.31 mg/L,2.3100 mg/L 当量,mg/L,
INFO,单位换算,#2,初始浓度,20 mg/L,20.0000 mg/L 当量,mg/L,
INFO,单位换算,#2,平衡浓度,5.87 mg/L,5.8700 mg/L 当量,mg/L,
INFO,单位换算,#3,初始浓度,50 mg/L,50.0000 mg/L 当量,mg/L,
INFO,单位换算,#3,平衡浓度,18.42 mg/L,18.4200 mg/L 当量,mg/L,
INFO,单位换算,#4,初始浓度,100 mg/L,100.0000 mg/L 当量,mg/L,
INFO,单位换算,#4,平衡浓度,45.63 mg/L,45.6300 mg/L 当量,mg/L,
INFO,单位换算,#5,初始浓度,200 mg/L,200.0000 mg/L 当量,mg/L,
INFO,单位换算,#5,平衡浓度,112.18 mg/L,112.1800 mg/L 当量,mg/L,
INFO,单位换算,#6,初始浓度,10 mg/L,10.0000 mg/L 当量,mg/L,
INFO,单位换算,#6,平衡浓度,1.85 mg/L,1.8500 mg/L 当量,mg/L,
INFO,单位换算,#6,温度,25℃,298.15 K,℃(25.00) → K,
WARN,时间漏记,#6,反应时间,(空),默认24 h,未填写反应时间，由备注或课题组惯例补填,吸附是动力学敏感过程，若实际未达平衡会使qe偏小、Qmax拟合偏低
INFO,单位换算,#7,初始浓度,20 mg/L,20.0000 mg/L 当量,mg/L,
INFO,单位换算,#7,平衡浓度,4.52 mg/L,4.5200 mg/L 当量,mg/L,
INFO,单位换算,#7,温度,25℃,298.15 K,℃(25.00) → K,
WARN,时间漏记,#7,反应时间,(空),默认24 h,未填写反应时间，由备注或课题组惯例补填,吸附是动力学敏感过程，若实际未达平衡会使qe偏小、Qmax拟合偏低
INFO,单位换算,#8,初始浓度,50 mg/L,50.0000 mg/L 当量,mg/L,
INFO,单位换算,#8,平衡浓度,14.78 mg/L,14.7800 mg/L 当量,mg/L,
INFO,单位换算,#8,温度,25℃,298.15 K,℃(25.00) → K,
WARN,时间漏记,#8,反应时间,(空),默认24 h,未填写反应时间，由备注或课题组惯例补填,吸附是动力学敏感过程，若实际未达平衡会使qe偏小、Qmax拟合偏低
INFO,单位换算,#9,初始浓度,100 mg/L,100.0000 mg/L 当量,mg/L,
INFO,单位换算,#9,平衡浓度,38.94 mg/L,38.9400 mg/L 当量,mg/L,
INFO,单位换算,#9,温度,25℃,298.15 K,℃(25.00) → K,
WARN,时间漏记,#9,反应时间,(空),默认24 h,未填写反应时间，由备注或课题组惯例补填,吸附是动力学敏感过程，若实际未达平衡会使qe偏小、Qmax拟合偏低
INFO,单位换算,#10,初始浓度,200 mg/L,200.0000 mg/L 当量,mg/L,
INFO,单位换算,#10,平衡浓度,95.32 mg/L,95.3200 mg/L 当量,mg/L,
INFO,单位换算,#10,温度,25℃,298.15 K,℃(25.00) → K,
WARN,时间漏记,#10,反应时间,(空),默认24 h,未填写反应时间，由备注或课题组惯例补填,吸附是动力学敏感过程，若实际未达平衡会使qe偏小、Qmax拟合偏低
INFO,单位换算,#11,初始浓度,10 ppm,10.0000 mg/L 当量,ppm ≈ mg/L（水溶液近似）,
INFO,单位换算,#11,平衡浓度,1.92 ppm,1.9200 mg/L 当量,ppm ≈ mg/L（水溶液近似）,
INFO,单位换算,#12,初始浓度,20 ppm,20.0000 mg/L 当量,ppm ≈ mg/L（水溶液近似）,
INFO,单位换算,#12,平衡浓度,4.89 ppm,4.8900 mg/L 当量,ppm ≈ mg/L（水溶液近似）,
INFO,单位换算,#13,初始浓度,50 ppm,50.0000 mg/L 当量,ppm ≈ mg/L（水溶液近似）,
