试剂批号,样本编号,菌种名称,备注,测序结果,活性等级,结论
R20240601,S001,酿酒酵母,标准菌株,ATCC9763,high,活性正常，可用于发酵
R20240601,S002,酿酒酵母,诱变株1号,mut-002,medium,活性中等，需进一步优化
R20240601,S003,大肠杆菌,对照菌株,BL21(DE3),high,活性正常
R20240601,S004,枯草芽孢杆菌,标准菌株,ATCC6633,low,活性偏低
R20240601,S005,酿酒酵母,诱变株2号,mut-005,inactive,失活，建议淘汰
R20240601,S006,黑曲霉,生产菌株,ASP-001,high,活性优秀
R20240601,S007,酿酒酵母,保存菌株,YPD-007,medium,活性正常
R20240601,S008,乳酸菌,标准菌株,LAB-008,high,活性正常
R20240602,S101,酿酒酵母,新批次A,NB-A-101,high,活性正常
R20240602,S102,酿酒酵母,新批次B,NB-B-102,medium,活性中等
R20240602,S103,大肠杆菌,工程菌,ENG-103,high,活性正常
R20240602,S104,枯草芽孢杆菌,突变株,MUT-104,low,活性偏低，需复核
