source_row,ship_id,ship_name,record_time,longitude,latitude,speed_kn,heading_deg,water_depth_m,source_file,source_note
2,S001,浙象渔001,2024-06-15 05:00,121.987243,29.247295,6.68,123,14.81,AIS轨迹_20240615.csv,船队调度系统导出，船舶S001_0500
3,S001,浙象渔001,2024-06-15 05:15,121.987585,29.249092,2.91,32,8.48,AIS轨迹_20240615.csv,船队调度系统导出，船舶S001_0515
4,S001,浙象渔001,2024-06-15 05:30,121.992063,29.249478,2.39,96,12.11,AIS轨迹_20240615.csv,船队调度系统导出，船舶S001_0530
5,S001,浙象渔001,2024-06-15 05:45,121.995276,29.249881,2.54,322,11.21,AIS轨迹_20240615.csv,船队调度系统导出，船舶S001_0545
6,S001,浙象渔001,2024-06-15 06:00,121.998523,29.254375,6.71,348,13.98,AIS轨迹_20240615.csv,船队调度系统导出，船舶S001_0600
7,S001,浙象渔001,2024-06-15 06:15,121.997722,29.253993,3.48,76,12.65,AIS轨迹_20240615.csv,船队调度系统导出，船舶S001_0615
8,S001,浙象渔001,2024-06-15 06:30,121.993919,29.25433,4.8,278,9.67,AIS轨迹_20240615.csv,船队调度系统导出，船舶S001_0630
9,S001,浙象渔001,2024-06-15 06:45,121.992978,29.254593,7.81,158,10.92,AIS轨迹_20240615.csv,船队调度系统导出，船舶S001_0645
10,S001,浙象渔001,2024-06-15 07:00,121.994014,29.256278,3.97,255,9.51,AIS轨迹_20240615.csv,船队调度系统导出，船舶S001_0700
11,S001,浙象渔001,2024-06-15 07:15,122.000276,29.254782,5.14,357,6.88,AIS轨迹_20240615.csv,船队调度系统导出，船舶S001_0715
12,S001,浙象渔001,2024-06-15 07:30,122.000955,29.258298,5.13,1,7.6,AIS轨迹_20240615.csv,船队调度系统导出，船舶S001_0730
13,S001,浙象渔001,2024-06-15 07:45,122.001589,29.254395,4.22,342,13.38,AIS轨迹_20240615.csv,船队调度系统导出，船舶S001_0745
14,S001,浙象渔001,2024-06-15 08:00,122.00797,29.255499,6.35,3,15.64,AIS轨迹_20240615.csv,船队调度系统导出，船舶S001_0800
15,S001,浙象渔001,2024-06-15 08:15,122.006487,29.2568,3.14,14,14.57,AIS轨迹_20240615.csv,船队调度系统导出，船舶S001_0815
16,S001,浙象渔001,2024-06-15 08:30,122.004655,29.254742,5.72,330,12.6,AIS轨迹_20240615.csv,船队调度系统导出，船舶S001_0830
17,S001,浙象渔001,2024-06-15 08:45,122.009059,29.250904,5.86,109,5.8,AIS轨迹_20240615.csv,船队调度系统导出，船舶S001_0845
18,S001,浙象渔001,2024-06-15 09:00,122.006049,29.253859,4.07,256,16.69,AIS轨迹_20240615.csv,船队调度系统导出，船舶S001_0900
19,S001,浙象渔001,2024-06-15 09:15,122.003888,29.25349,7.56,60,9.2,AIS轨迹_20240615.csv,船队调度系统导出，船舶S001_0915
20,S001,浙象渔001,2024-06-15 09:30,122.001895,29.253292,5.57,88,3.56,AIS轨迹_20240615.csv,船队调度系统导出，船舶S001_0930
21,S001,浙象渔001,2024-06-15 09:45,122.005189,29.249868,2.28,250,8.48,AIS轨迹_20240615.csv,船队调度系统导出，船舶S001_0945
22,S002,浙象渔023,2024-06-15 05:00,121.949002,29.303969,4.09,76,15.77,AIS轨迹_20240615.csv,船队调度系统导出，船舶S002_0500
