source_row,station_id,station_name,obs_time_str,reported_timezone,actual_timezone,tide_level_cm,is_high_tide,source_file,source_note,has_timezone_error
2,T001,东港养殖场一号站,2024-06-15 02:38,Asia/Shanghai,Asia/Shanghai,259,1,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第1页,0
3,T001,东港养殖场一号站,2024-06-15 08:28,Asia/Shanghai,Asia/Shanghai,34,0,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第1页,0
4,T001,东港养殖场一号站,2024-06-16 02:42,Asia/Shanghai,Asia/Shanghai,151,1,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第1页,0
5,T001,东港养殖场一号站,2024-06-16 08:20,Asia/Shanghai,Asia/Shanghai,43,0,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第1页,0
6,T001,东港养殖场一号站,2024-06-17 02:02,Asia/Shanghai,Asia/Shanghai,229,1,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第1页,0
7,T001,东港养殖场一号站,2024-06-17 08:52,Asia/Shanghai,Asia/Shanghai,21,0,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第1页,0
8,T002,东港养殖场二号站,2024-06-15 02:23,Asia/Shanghai,Asia/Shanghai,315,1,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第1页,0
9,T002,东港养殖场二号站,2024-06-15 08:29,Asia/Shanghai,Asia/Shanghai,57,0,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第1页,0
10,T002,东港养殖场二号站,2024-06-16 02:01,Asia/Shanghai,Asia/Shanghai,271,1,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第1页,0
11,T002,东港养殖场二号站,2024-06-16 08:59,Asia/Shanghai,Asia/Shanghai,40,0,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第1页,0
12,T002,东港养殖场二号站,2024-06-16 18:32,UTC,Asia/Shanghai,283,1,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第2页,1
13,T002,东港养殖场二号站,2024-06-17 00:57,UTC,Asia/Shanghai,41,0,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第2页,1
14,T003,南岛礁观测站,2024-06-15 02:43,Asia/Shanghai,Asia/Shanghai,168,1,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第2页,0
15,T003,南岛礁观测站,2024-06-15 08:48,Asia/Shanghai,Asia/Shanghai,78,0,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第2页,0
16,T003,南岛礁观测站,2024-06-15 18:41,UTC,Asia/Shanghai,299,1,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第2页,1
17,T003,南岛礁观测站,2024-06-16 00:59,UTC,Asia/Shanghai,34,0,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第2页,1
18,T003,南岛礁观测站,2024-06-17 02:46,Asia/Shanghai,Asia/Shanghai,269,1,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第2页,0
19,T003,南岛礁观测站,2024-06-17 08:50,Asia/Shanghai,Asia/Shanghai,74,0,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第2页,0
20,T004,西湾深水站,2024-06-15 02:51,Asia/Shanghai,Asia/Shanghai,143,1,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第2页,0
21,T004,西湾深水站,2024-06-15 08:56,Asia/Shanghai,Asia/Shanghai,22,0,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第2页,0
22,T004,西湾深水站,2024-06-16 02:36,Asia/Shanghai,Asia/Shanghai,130,1,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第3页,0
23,T004,西湾深水站,2024-06-16 08:06,Asia/Shanghai,Asia/Shanghai,40,0,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第3页,0
24,T004,西湾深水站,2024-06-17 02:08,Asia/Shanghai,Asia/Shanghai,246,1,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第3页,0
25,T004,西湾深水站,2024-06-17 08:17,Asia/Shanghai,Asia/Shanghai,23,0,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第3页,0
26,T005,北堤外海站,2024-06-15 02:24,Asia/Shanghai,Asia/Shanghai,139,1,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第3页,0
27,T005,北堤外海站,2024-06-15 08:13,Asia/Shanghai,Asia/Shanghai,28,0,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第3页,0
28,T005,北堤外海站,2024-06-16 02:25,Asia/Shanghai,Asia/Shanghai,132,1,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第3页,0
29,T005,北堤外海站,2024-06-16 08:01,Asia/Shanghai,Asia/Shanghai,79,0,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第3页,0
30,T005,北堤外海站,2024-06-17 02:06,Asia/Shanghai,Asia/Shanghai,251,1,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第3页,0
31,T005,北堤外海站,2024-06-17 08:07,Asia/Shanghai,Asia/Shanghai,66,0,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第3页,0
