record_id,ship_id,ship_name,record_time,risk_level,risk_level_color,risk_score,nearest_station,estimated_tide_cm,water_depth_m,speed_kn,suggestion,factors_text,longitude,latitude,source_row,source_file,source_note
REC-00001,S001,浙象渔001,2024-06-15 05:00,安全,#27ae60,0.77,T003,134.2,14.81,6.68,作业条件良好，按计划执行,估算潮位 134cm，水位正常；该潮位站存在时区错误数据，风险评估结果仅供参考,121.987243,29.247295,2,AIS轨迹_20240615.csv,船队调度系统导出，船舶S001_0500
REC-00002,S001,浙象渔001,2024-06-15 05:15,安全,#27ae60,0.77,T003,130.5,8.48,2.91,作业条件良好，按计划执行,估算潮位 131cm，水位正常；该潮位站存在时区错误数据，风险评估结果仅供参考,121.987585,29.249092,3,AIS轨迹_20240615.csv,船队调度系统导出，船舶S001_0515
REC-00003,S001,浙象渔001,2024-06-15 05:30,安全,#27ae60,0.77,T003,126.8,12.11,2.39,作业条件良好，按计划执行,估算潮位 127cm，水位正常；该潮位站存在时区错误数据，风险评估结果仅供参考,121.992063,29.249478,4,AIS轨迹_20240615.csv,船队调度系统导出，船舶S001_0530
REC-00004,S001,浙象渔001,2024-06-15 05:45,安全,#27ae60,0.77,T003,123.1,11.21,2.54,作业条件良好，按计划执行,估算潮位 123cm，水位正常；该潮位站存在时区错误数据，风险评估结果仅供参考,121.995276,29.249881,5,AIS轨迹_20240615.csv,船队调度系统导出，船舶S001_0545
REC-00005,S001,浙象渔001,2024-06-15 06:00,注意,#f1c40f,1.12,T003,119.4,13.98,6.71,注意观察潮位和水深变化，谨慎作业,估算潮位 119cm，处于中低水位；该潮位站存在时区错误数据，风险评估结果仅供参考,121.998523,29.254375,6,AIS轨迹_20240615.csv,船队调度系统导出，船舶S001_0600
REC-00006,S001,浙象渔001,2024-06-15 06:15,注意,#f1c40f,1.12,T003,115.7,12.65,3.48,注意观察潮位和水深变化，谨慎作业,估算潮位 116cm，处于中低水位；该潮位站存在时区错误数据，风险评估结果仅供参考,121.997722,29.253993,7,AIS轨迹_20240615.csv,船队调度系统导出，船舶S001_0615
REC-00007,S001,浙象渔001,2024-06-15 06:30,注意,#f1c40f,1.12,T003,112.0,9.67,4.8,注意观察潮位和水深变化，谨慎作业,估算潮位 112cm，处于中低水位；该潮位站存在时区错误数据，风险评估结果仅供参考,121.993919,29.25433,8,AIS轨迹_20240615.csv,船队调度系统导出，船舶S001_0630
REC-00008,S001,浙象渔001,2024-06-15 06:45,注意,#f1c40f,1.12,T003,108.3,10.92,7.81,注意观察潮位和水深变化，谨慎作业,估算潮位 108cm，处于中低水位；该潮位站存在时区错误数据，风险评估结果仅供参考,121.992978,29.254593,9,AIS轨迹_20240615.csv,船队调度系统导出，船舶S001_0645
REC-00009,S001,浙象渔001,2024-06-15 07:00,注意,#f1c40f,1.12,T003,104.6,9.51,3.97,注意观察潮位和水深变化，谨慎作业,估算潮位 105cm，处于中低水位；该潮位站存在时区错误数据，风险评估结果仅供参考,121.994014,29.256278,10,AIS轨迹_20240615.csv,船队调度系统导出，船舶S001_0700
REC-00010,S001,浙象渔001,2024-06-15 07:15,注意,#f1c40f,1.12,T003,100.9,6.88,5.14,注意观察潮位和水深变化，谨慎作业,估算潮位 101cm，处于中低水位；该潮位站存在时区错误数据，风险评估结果仅供参考,122.000276,29.254782,11,AIS轨迹_20240615.csv,船队调度系统导出，船舶S001_0715
