record_id,station_id,station_name,obs_time_utc,obs_time_local,tide_level_cm,is_high_tide,source_row,source_file,source_note
REC-00001,T001,东港养殖场一号站,2024-06-14 18:38 UTC,2024-06-15 02:38 CST,259.0,高潮,2,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第1页
REC-00002,T001,东港养殖场一号站,2024-06-15 00:28 UTC,2024-06-15 08:28 CST,34.0,低潮,3,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第1页
REC-00003,T001,东港养殖场一号站,2024-06-15 18:42 UTC,2024-06-16 02:42 CST,151.0,高潮,4,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第1页
REC-00004,T001,东港养殖场一号站,2024-06-16 00:20 UTC,2024-06-16 08:20 CST,43.0,低潮,5,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第1页
REC-00005,T001,东港养殖场一号站,2024-06-16 18:02 UTC,2024-06-17 02:02 CST,229.0,高潮,6,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第1页
REC-00006,T001,东港养殖场一号站,2024-06-17 00:52 UTC,2024-06-17 08:52 CST,21.0,低潮,7,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第1页
REC-00007,T002,东港养殖场二号站,2024-06-14 18:23 UTC,2024-06-15 02:23 CST,315.0,高潮,8,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第1页
REC-00008,T002,东港养殖场二号站,2024-06-15 00:29 UTC,2024-06-15 08:29 CST,57.0,低潮,9,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第1页
REC-00009,T002,东港养殖场二号站,2024-06-15 18:01 UTC,2024-06-16 02:01 CST,271.0,高潮,10,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第1页
REC-00010,T002,东港养殖场二号站,2024-06-16 00:59 UTC,2024-06-16 08:59 CST,40.0,低潮,11,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第1页
REC-00011,T002,东港养殖场二号站,2024-06-16 10:32 UTC,2024-06-16 18:32 CST,283.0,高潮,12,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第2页
REC-00012,T002,东港养殖场二号站,2024-06-16 16:57 UTC,2024-06-17 00:57 CST,41.0,低潮,13,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第2页
REC-00013,T003,南岛礁观测站,2024-06-14 18:43 UTC,2024-06-15 02:43 CST,168.0,高潮,14,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第2页
REC-00014,T003,南岛礁观测站,2024-06-15 00:48 UTC,2024-06-15 08:48 CST,78.0,低潮,15,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第2页
REC-00015,T003,南岛礁观测站,2024-06-15 10:41 UTC,2024-06-15 18:41 CST,299.0,高潮,16,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第2页
REC-00016,T003,南岛礁观测站,2024-06-15 16:59 UTC,2024-06-16 00:59 CST,34.0,低潮,17,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第2页
REC-00017,T003,南岛礁观测站,2024-06-16 18:46 UTC,2024-06-17 02:46 CST,269.0,高潮,18,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第2页
REC-00018,T003,南岛礁观测站,2024-06-17 00:50 UTC,2024-06-17 08:50 CST,74.0,低潮,19,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第2页
REC-00019,T004,西湾深水站,2024-06-14 18:51 UTC,2024-06-15 02:51 CST,143.0,高潮,20,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第2页
REC-00020,T004,西湾深水站,2024-06-15 00:56 UTC,2024-06-15 08:56 CST,22.0,低潮,21,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第2页
REC-00021,T004,西湾深水站,2024-06-15 18:36 UTC,2024-06-16 02:36 CST,130.0,高潮,22,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第3页
REC-00022,T004,西湾深水站,2024-06-16 00:06 UTC,2024-06-16 08:06 CST,40.0,低潮,23,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第3页
REC-00023,T004,西湾深水站,2024-06-16 18:08 UTC,2024-06-17 02:08 CST,246.0,高潮,24,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第3页
REC-00024,T004,西湾深水站,2024-06-17 00:17 UTC,2024-06-17 08:17 CST,23.0,低潮,25,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第3页
REC-00025,T005,北堤外海站,2024-06-14 18:24 UTC,2024-06-15 02:24 CST,139.0,高潮,26,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第3页
REC-00026,T005,北堤外海站,2024-06-15 00:13 UTC,2024-06-15 08:13 CST,28.0,低潮,27,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第3页
REC-00027,T005,北堤外海站,2024-06-15 18:25 UTC,2024-06-16 02:25 CST,132.0,高潮,28,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第3页
REC-00028,T005,北堤外海站,2024-06-16 00:01 UTC,2024-06-16 08:01 CST,79.0,低潮,29,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第3页
REC-00029,T005,北堤外海站,2024-06-16 18:06 UTC,2024-06-17 02:06 CST,251.0,高潮,30,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第3页
REC-00030,T005,北堤外海站,2024-06-17 00:07 UTC,2024-06-17 08:07 CST,66.0,低潮,31,tide_table_20240615.xlsx,场长办公室提供，原件扫描版第3页
