mmsi,ship_name,timestamp,lon,lat,speed,course
413123456,东海渔政001,2026-06-12 08:00:00,121.5000,30.0000,8.5,120.0
413123456,东海渔政001,2026-06-12 08:30:00,121.5500,30.0200,8.2,118.0
413123456,东海渔政001,2026-06-12 09:00:00,121.6000,30.0400,8.8,122.0
413123456,东海渔政001,2026-06-12 09:30:00,121.6500,30.0600,8.4,120.0
413123456,东海渔政001,2026-06-12 10:00:00,121.7000,30.0800,8.6,119.0
412223333,锚泊船007,2026-06-12 08:00:00,121.8000,30.1000,0.2,0.0
412223333,锚泊船007,2026-06-12 08:30:00,121.8005,30.1002,0.1,0.0
412223333,锚泊船007,2026-06-12 09:00:00,121.8030,30.1020,0.3,5.0
412223333,锚泊船007,2026-06-12 09:30:00,121.8080,30.1050,0.2,10.0
412223333,锚泊船007,2026-06-12 10:00:00,121.8150,30.1100,0.4,15.0
412223333,锚泊船007,2026-06-12 10:30:00,121.8250,30.1150,0.5,20.0
412223333,锚泊船007,2026-06-12 11:00:00,121.8400,30.1200,0.3,25.0
456789012,远洋货轮胜利号,2026-06-12 07:00:00,120.5000,31.0000,15.0,90.0
456789012,远洋货轮胜利号,2026-06-12 08:00:00,120.8000,31.0000,14.8,92.0
456789012,远洋货轮胜利号,2026-06-12 09:00:00,121.1000,31.0000,15.2,88.0
456789012,远洋货轮胜利号,2026-06-12 10:00:00,121.4000,31.0000,14.9,91.0
456789012,远洋货轮胜利号,2026-06-12 11:00:00,121.7000,31.0000,15.1,89.0
477889900,测试船A,2026-06-12 09:00:00,122.0000,30.5000,10.0,45.0
477889900,测试船A,2026-06-12 09:10:00,122.0500,30.5500,35.0,50.0
477889900,测试船A,2026-06-12 09:20:00,122.1000,30.6000,30.0,48.0
477889900,测试船A,2026-06-12 09:30:00,122.1500,30.6500,12.0,45.0
433445566,跳点测试船,2026-06-12 10:00:00,121.9000,30.2000,12.0,180.0
433445566,跳点测试船,2026-06-12 10:10:00,122.2000,30.5000,11.5,175.0
433445566,跳点测试船,2026-06-12 10:20:00,121.9200,30.2200,12.2,182.0
433445566,跳点测试船,2026-06-12 10:30:00,121.9400,30.2400,11.8,180.0
