station_id,timestamp,lon,lat,ph,dissolved_oxygen,turbidity
ST001,2026-06-12 08:00:00,121.5500,30.0300,7.8,6.5,15.2
ST001,2026-06-12 09:00:00,121.5500,30.0300,7.6,6.2,18.5
ST001,2026-06-12 10:00:00,121.5500,30.0300,7.5,5.8,22.0
ST002,2026-06-12 08:00:00,121.8000,30.1000,8.0,7.2,10.5
ST002,2026-06-12 09:00:00,121.8000,30.1000,7.9,7.0,12.0
ST002,2026-06-12 10:00:00,121.8000,30.1000,7.8,6.8,14.2
ST003,2026-06-12 08:00:00,121.2000,31.0000,7.4,4.8,30.5
ST003,2026-06-12 09:00:00,121.2000,31.0000,,,
ST003,2026-06-12 10:00:00,121.2000,31.0000,7.3,4.5,35.0
ST004,2026-06-12 08:00:00,122.0000,30.5000,7.7,6.0,20.0
ST004,2026-06-12 09:00:00,122.0000,30.5000,,,
ST004,2026-06-12 10:00:00,122.0000,30.5000,,,
ST005,2026-06-12 08:00:00,121.9000,30.2000,8.1,7.5,8.5
ST005,2026-06-12 09:00:00,121.9000,30.2000,8.0,7.3,9.0
ST005,2026-06-12 10:00:00,121.9000,30.2000,7.9,7.0,10.5
