设备ID,时间,潮位(m),浪高(m),风速(m/s)
eq_001,2026-06-12 00:00:00,2.48,1.5,8.5
eq_001,2026-06-12 04:00:00,1.85,1.2,6.2
eq_001,2026-06-12 08:00:00,3.15,2.0,10.5
eq_001,2026-06-12 12:00:00,2.08,1.8,9.8
eq_001,2026-06-12 16:00:00,2.82,1.6,7.5
eq_001,2026-06-12 20:00:00,1.62,1.0,5.8
eq_002,2026-06-12 00:00:00,2.70,1.6,9.2
eq_002,2026-06-12 04:00:00,1.98,1.3,7.0
eq_002,2026-06-12 08:00:00,3.38,2.2,11.0
eq_002,2026-06-12 12:00:00,2.24,1.9,10.2
eq_002,2026-06-12 16:00:00,2.98,1.7,8.0
eq_002,2026-06-12 20:00:00,1.80,1.1,6.5
eq_003,2026-06-12 00:00:00,2.35,1.4,7.8
eq_003,2026-06-12 04:00:00,1.78,1.1,5.5
eq_003,2026-06-12 08:00:00,3.05,1.9,9.5
eq_003,2026-06-12 12:00:00,2.02,1.7,8.8
eq_003,2026-06-12 16:00:00,2.70,1.5,6.8
eq_003,2026-06-12 20:00:00,1.60,0.9,5.0
