station_id,sample_time,salinity,unit,depth
S001,2025-09-15 08:00,28.5,psu,0.5
S001,2025-09-15 10:00,29.2 ppt,ppt,0.5
S001,2025-09-15 12:00,30.1‰,‰,0.5
S001,2025-09-15 14:00,29.8,psu,0.5
S001,2025-09-15 16:00,28.9,psu,0.5
S002,2025-09-15 08:30,45.2 ms/cm,ms/cm,1.0
S002,2025-09-15 10:30,47.8 ms/cm,ms/cm,1.0
S002,2025-09-15 12:30,52.1 ms/cm,ms/cm,1.0
S002,2025-09-15 14:30,48.5 ms/cm,ms/cm,1.0
S002,2025-09-15 16:30,44.9 ms/cm,ms/cm,1.0
S003,2025-09-15 09:00,27.6,psu,0.5
S003,2025-09-15 11:00,28.3,psu,0.5
S003,2025-09-15 13:00,29.5 ppt,ppt,0.5
S003,2025-09-15 15:00,28.7‰,‰,0.5
S003,2025-09-15 17:00,27.9,psu,0.5
S004,2025-09-15 07:30,26.8,psu,1.0
S004,2025-09-15 09:30,27.5,psu,1.0
S004,2025-09-15 11:30,28.1,psu,1.0
S004,2025-09-15 13:30,27.9,psu,1.0
S004,2025-09-15 15:30,27.2,psu,1.0
