species,latitude,longitude,survey_time,quantity,habitat
红树林,27.5123,121.1234,2025-09-15 09:30,45,潮间带中潮区
互花米草,27.5189,121.1289,2025-09-15 10:15,120,潮间带高潮区
芦苇,27.5201,121.1302,2025-09-15 10:45,80,潮间带高潮区
碱蓬,27.5087,121.1198,2025-09-15 11:20,65,潮间带中潮区
缢蛏,27.5045,121.1156,2025-09-15 14:00,30,潮间带低潮区
泥蚶,27.5067,121.1172,2025-09-15 14:30,25,潮间带低潮区
青蛤,27.5078,121.1185,2025-09-15 15:00,18,潮间带中潮区
招潮蟹,27.5110,121.1220,2025-09-15 11:45,40,潮间带中潮区
弹涂鱼,27.5095,121.1205,2025-09-15 13:30,15,潮间带低潮区
海葵,27.5032,121.1145,2025-09-15 15:30,8,潮间带低潮区
红树林,27.5145,121.1256,2025-09-15 09:50,32,潮间带中潮区
互花米草,27.5210,121.1315,2025-09-15 10:30,95,潮间带高潮区
芦苇,27.5223,121.1328,2025-09-15 11:00,70,潮间带高潮区
碱蓬,27.5102,121.1210,2025-09-15 11:35,50,潮间带中潮区
缢蛏,27.5058,121.1168,2025-09-15 14:20,22,潮间带低潮区
泥蚶,27.5072,121.1180,2025-09-15 14:45,30,潮间带低潮区
招潮蟹,27.5120,121.1230,2025-09-15 12:00,55,潮间带中潮区
弹涂鱼,27.5105,121.1215,2025-09-15 13:45,12,潮间带低潮区
红树林,27.5160,121.1270,2025-09-15 10:05,38,潮间带中潮区
青蛤,27.5088,121.1192,2025-09-15 15:15,20,潮间带中潮区
