调用ID,题目ID,工具名称,调用时间,失败类型,错误信息,重试次数,状态,运行批次,版本号
CALL-0001,Q-2024-1003,knowledge_query,2024-03-20 10:15:23,参数错误,切分单位字段缺失导致检索失败,1,失败,RUN-001,v2.2
CALL-0002,Q-2024-1005,knowledge_query,2024-03-20 10:16:02,匹配失败,知识库中未找到对应段落,2,失败,RUN-001,v2.2
CALL-0003,Q-2024-1010,knowledge_query,2024-03-20 10:17:45,格式错误,旧表字段名不兼容,1,失败,RUN-001,v2.2
CALL-0004,Q-2024-1011,knowledge_query,2024-03-20 10:18:30,超时,查询超时30秒,3,失败,RUN-001,v2.2
CALL-0005,Q-2024-1014,knowledge_query,2024-03-20 10:20:12,参数错误,单位字段为空,1,失败,RUN-001,v2.2
CALL-0006,Q-2024-1012,safety_check,2024-03-20 10:22:00,安全拦截,触发敏感内容规则第12条,0,拦截,RUN-001,v2.2
CALL-0007,Q-2024-1013,safety_check,2024-03-20 10:23:45,安全拦截,触发敏感内容规则第8条,0,拦截,RUN-001,v2.2
CALL-0008,Q-2024-1019,knowledge_query,2024-03-20 10:25:10,匹配失败,旧表难度字段值不匹配,1,失败,RUN-001,v2.2
CALL-0009,Q-2024-1021,knowledge_query,2024-03-20 10:26:33,成功,正常返回,0,成功,RUN-001,v2.2
CALL-0010,Q-2024-1022,knowledge_query,2024-03-20 10:27:18,成功,正常返回,0,成功,RUN-001,v2.2
CALL-0011,Q-2024-1023,knowledge_query,2024-03-20 10:28:02,成功,正常返回,0,成功,RUN-001,v2.2
CALL-0012,Q-2024-1024,knowledge_query,2024-03-20 10:29:45,成功,正常返回,0,成功,RUN-001,v2.2
CALL-0013,Q-2024-1003,knowledge_query,2024-03-21 09:10:00,参数错误,切分单位字段缺失,1,失败,RUN-002,v2.3
CALL-0014,Q-2024-1010,knowledge_query,2024-03-21 09:11:30,成功,补录后字段已修复,0,成功,RUN-002,v2.3
CALL-0015,Q-2024-1014,knowledge_query,2024-03-21 09:12:45,成功,补录单位后正常,0,成功,RUN-002,v2.3
CALL-0016,Q-2024-1012,safety_check,2024-03-21 09:15:00,成功,安全策略v2.2调整后放行,0,成功,RUN-002,v2.3
CALL-0017,Q-2024-1013,safety_check,2024-03-21 09:16:20,安全拦截,仍触发敏感内容规则第8条,0,拦截,RUN-002,v2.3
CALL-0018,Q-2024-1009,knowledge_query,2024-03-21 09:18:00,回滚丢失,版本回滚后记录丢失,0,丢失,RUN-002,v2.3
CALL-0019,Q-2024-1005,knowledge_query,2024-03-22 14:30:00,成功,人工确认后补充材料,0,成功,RUN-003,v2.4
CALL-0020,Q-2024-1003,knowledge_query,2024-03-22 14:32:15,成功,人工确认答案修正后通过,0,成功,RUN-003,v2.4
CALL-0021,Q-2024-1011,knowledge_query,2024-03-22 14:35:00,成功,人工确认去重后保留,0,成功,RUN-003,v2.4
CALL-0022,Q-2024-1017,knowledge_query,2024-03-22 14:36:40,成功,补录备注确认来源后正常,0,成功,RUN-003,v2.4
CALL-0023,Q-2024-1026,knowledge_query,2024-03-22 14:38:20,成功,补录上周遗漏题目,0,成功,RUN-003,v2.4
CALL-0024,Q-2024-1019,knowledge_query,2024-03-22 14:40:00,成功,难度字段统一后匹配成功,0,成功,RUN-003,v2.4
