记录ID,时间,变更类型,原状态,新状态,操作人,备注,原值,新值
564b7dd3-400d-4803-ad7a-2b54a9e67ce8,2026-06-11T17:20:52.669226,自动识别,-,已确认,system,自动识别状态，来源行:2,{},"{""status"": ""已确认"", ""impact_scope"": """"}"
84776990-5c4b-4c7b-a000-588c2223ceff,2026-06-11T17:20:52.669387,自动识别,-,退回,system,自动识别状态，来源行:3,{},"{""status"": ""退回"", ""impact_scope"": """"}"
f51ec623-f3c7-4e86-b033-39b93124e89b,2026-06-11T17:20:52.669424,自动识别,-,待补件,system,自动识别状态，来源行:4,{},"{""status"": ""待补件"", ""impact_scope"": ""税费:1250000.0;汇率:7.25""}"
0ddef669-bd16-44b5-866a-aea396e691e3,2026-06-11T17:20:52.669453,自动识别,-,待补件,system,自动识别状态，来源行:5,{},"{""status"": ""待补件"", ""impact_scope"": ""凭证晚到""}"
9bb8d05b-8bc7-4309-a20c-c40a8739ca1b,2026-06-11T17:20:52.669479,自动识别,-,已确认,system,自动识别状态，来源行:6,{},"{""status"": ""已确认"", ""impact_scope"": ""税费:980000.0;汇率:7.22""}"
9a3e771a-780e-4993-929a-010ad9135947,2026-06-11T17:20:52.669616,自动识别,-,已确认,system,自动识别状态，来源行:2,{},"{""status"": ""已确认"", ""impact_scope"": """"}"
21d0b707-da8d-4e56-8291-33ebf757bc88,2026-06-11T17:20:52.669643,自动识别,-,待补件,system,自动识别状态，来源行:3,{},"{""status"": ""待补件"", ""impact_scope"": """"}"
fc096de3-9d2e-4f1c-a455-7765b5fe1c71,2026-06-11T17:20:52.669681,自动识别,-,退回,system,自动识别状态，来源行:4,{},"{""status"": ""退回"", ""impact_scope"": """"}"
6d971d06-4d4a-47ba-96ab-12eaa73b8f82,2026-06-11T17:20:52.669710,自动识别,-,待补件,system,自动识别状态，来源行:5,{},"{""status"": ""待补件"", ""impact_scope"": ""税费:350000.0;汇率:7.28;凭证晚到""}"
ba6654ba-6902-4d6d-a18a-73efcf82de11,2026-06-11T17:20:52.669737,自动识别,-,已确认,system,自动识别状态，来源行:6,{},"{""status"": ""已确认"", ""impact_scope"": """"}"
