记录ID,来源文件,来源行号,债券代码,债券名称,募集金额,已使用金额,税费,汇率,币种,数据来源,处理状态,影响范围,是否凭证晚到,补充说明,字段映射,失败原因,创建时间,更新时间
908de67f-da36-4b78-8f3b-32b9d6cddcf7,清算运营组_标准字段.csv,2,2280389.IB,22陕西绿债01,500000000.0,320000000.0,,,CNY,清算运营组,已确认,,否,核对通过,债券代码->bond_code;债券名称->bond_name;募集金额->raise_amount;已使用金额->used_amount;币种->currency;数据来源->source;补充说明->supplement,,2026-06-11T17:20:10.805073,2026-06-11T17:20:10.805102
1308f239-2b99-40ad-8bf7-1936128c1767,清算运营组_标准字段.csv,3,2280390.IB,22陕西绿债02,300000000.0,350000000.0,,,CNY,清算运营组,退回,,否,使用金额超过募集,债券代码->bond_code;债券名称->bond_name;募集金额->raise_amount;已使用金额->used_amount;币种->currency;数据来源->source;补充说明->supplement,使用金额超过募集金额,2026-06-11T17:20:10.805395,2026-06-11T17:20:10.805414
e3187fc8-41b1-4779-b071-a77d785f6749,清算运营组_标准字段.csv,4,2280391.IB,22江苏绿债01,800000000.0,500000000.0,1250000.0,7.25,CNY,清算运营组,已确认,税费:1250000.0;汇率:7.25,否,税费:1250000.00;汇率:7.25;待补件,债券代码->bond_code;债券名称->bond_name;募集金额->raise_amount;已使用金额->used_amount;币种->currency;数据来源->source;补充说明->supplement,,2026-06-11T17:20:10.805462,2026-06-11T17:20:10.810652
fe14cfb5-1f85-4a77-a5a4-01ea3479040d,清算运营组_标准字段.csv,5,2280392.IB,22江苏绿债02,450000000.0,280000000.0,,,CNY,清算运营组,已确认,凭证晚到,否,凭证晚到，后续补充,债券代码->bond_code;债券名称->bond_name;募集金额->raise_amount;已使用金额->used_amount;币种->currency;数据来源->source;补充说明->supplement,,2026-06-11T17:20:10.805519,2026-06-11T17:20:10.810688
d8fa1ed5-8bf8-492f-85c4-0ed76826987c,清算运营组_标准字段.csv,6,2280393.IB,22广东绿债01,600000000.0,410000000.0,980000.0,7.22,CNY,清算运营组,已确认,税费:980000.0;汇率:7.22,否,税金:980000.00;汇价:7.22;已确认,债券代码->bond_code;债券名称->bond_name;募集金额->raise_amount;已使用金额->used_amount;币种->currency;数据来源->source;补充说明->supplement,,2026-06-11T17:20:10.805551,2026-06-11T17:20:10.805560
d1071c2c-570c-461d-8ecd-f070fbbb8c8e,算法值班组_字段别名.csv,2,2280394.IB,22深圳绿债01,1000000000.0,720000000.0,,,CNY,算法值班组,已确认,,否,没问题,债券编码->bond_code;债券简称->bond_name;发行金额->raise_amount;投放金额->used_amount;货币->currency;提供方->source;备注说明->supplement,,2026-06-11T17:20:10.806003,2026-06-11T17:20:10.806015
34f01189-d47a-4484-ac1f-0dc639f9eeca,算法值班组_字段别名.csv,3,2280395.IB,22深圳绿债02,500000000.0,450000000.0,,,USD,算法值班组,待补件,,否,缺少材料需补充,债券编码->bond_code;债券简称->bond_name;发行金额->raise_amount;投放金额->used_amount;货币->currency;提供方->source;备注说明->supplement,缺少材料需补充,2026-06-11T17:20:10.806046,2026-06-11T17:20:10.806055
9d086a34-46da-4795-bec1-0dbaf22a3326,算法值班组_字段别名.csv,4,2280396.IB,22北京绿债01,250000000.0,100000000.0,,,CNY,算法值班组,退回,,否,不予确认，信息不符,债券编码->bond_code;债券简称->bond_name;发行金额->raise_amount;投放金额->used_amount;货币->currency;提供方->source;备注说明->supplement,不予确认，信息不符,2026-06-11T17:20:10.806079,2026-06-11T17:20:10.806086
3c98632c-f7e3-4b38-add1-408a1f895a10,算法值班组_字段别名.csv,5,2280397.IB,22北京绿债02,700000000.0,0.0,350000.0,7.28,CNY,算法值班组,待补件,税费:350000.0;汇率:7.28;凭证晚到,是,税:350000.00;兑换率:7.28;凭证晚到,债券编码->bond_code;债券简称->bond_name;发行金额->raise_amount;投放金额->used_amount;货币->currency;提供方->source;备注说明->supplement,凭证晚到，需后续补充核对,2026-06-11T17:20:10.806121,2026-06-11T17:20:10.806132
b39af651-d2dd-49a3-8194-d99cf9ace8ab,算法值班组_字段别名.csv,6,2280398.IB,22上海绿债01,900000000.0,650000000.0,,,CNY,算法值班组,已确认,,否,已核对，通过,债券编码->bond_code;债券简称->bond_name;发行金额->raise_amount;投放金额->used_amount;货币->currency;提供方->source;备注说明->supplement,,2026-06-11T17:20:10.806163,2026-06-11T17:20:10.806171
