记录ID,时间,变更类型,原状态,新状态,操作人,备注,原值,新值
908de67f-da36-4b78-8f3b-32b9d6cddcf7,2026-06-11T17:20:10.805090,自动识别,-,已确认,system,自动识别状态，来源行:2,{},"{""status"": ""已确认"", ""impact_scope"": """"}"
1308f239-2b99-40ad-8bf7-1936128c1767,2026-06-11T17:20:10.805407,自动识别,-,退回,system,自动识别状态，来源行:3,{},"{""status"": ""退回"", ""impact_scope"": """"}"
e3187fc8-41b1-4779-b071-a77d785f6749,2026-06-11T17:20:10.805484,自动识别,-,待补件,system,自动识别状态，来源行:4,{},"{""status"": ""待补件"", ""impact_scope"": ""税费:1250000.0;汇率:7.25""}"
e3187fc8-41b1-4779-b071-a77d785f6749,2026-06-11T17:20:10.810641,人工改判,待补件,已确认,清算运营-阿禾,算法值班人补充了完整材料，核对无误,"{""status"": ""待补件"", ""tax_amount"": 1250000.0, ""late_document"": false}","{""status"": ""已确认"", ""tax_amount"": 1250000.0, ""late_document"": false}"
fe14cfb5-1f85-4a77-a5a4-01ea3479040d,2026-06-11T17:20:10.805523,自动识别,-,待补件,system,自动识别状态，来源行:5,{},"{""status"": ""待补件"", ""impact_scope"": ""凭证晚到""}"
fe14cfb5-1f85-4a77-a5a4-01ea3479040d,2026-06-11T17:20:10.810684,凭证晚到,待补件,已确认,清算运营-阿禾,凭证已到达，补充核对通过,"{""status"": ""待补件"", ""late_document"": true}","{""status"": ""已确认"", ""late_document"": false}"
d8fa1ed5-8bf8-492f-85c4-0ed76826987c,2026-06-11T17:20:10.805557,自动识别,-,已确认,system,自动识别状态，来源行:6,{},"{""status"": ""已确认"", ""impact_scope"": ""税费:980000.0;汇率:7.22""}"
d1071c2c-570c-461d-8ecd-f070fbbb8c8e,2026-06-11T17:20:10.806009,自动识别,-,已确认,system,自动识别状态，来源行:2,{},"{""status"": ""已确认"", ""impact_scope"": """"}"
34f01189-d47a-4484-ac1f-0dc639f9eeca,2026-06-11T17:20:10.806051,自动识别,-,待补件,system,自动识别状态，来源行:3,{},"{""status"": ""待补件"", ""impact_scope"": """"}"
9d086a34-46da-4795-bec1-0dbaf22a3326,2026-06-11T17:20:10.806083,自动识别,-,退回,system,自动识别状态，来源行:4,{},"{""status"": ""退回"", ""impact_scope"": """"}"
3c98632c-f7e3-4b38-add1-408a1f895a10,2026-06-11T17:20:10.806129,自动识别,-,待补件,system,自动识别状态，来源行:5,{},"{""status"": ""待补件"", ""impact_scope"": ""税费:350000.0;汇率:7.28;凭证晚到""}"
b39af651-d2dd-49a3-8194-d99cf9ace8ab,2026-06-11T17:20:10.806168,自动识别,-,已确认,system,自动识别状态，来源行:6,{},"{""status"": ""已确认"", ""impact_scope"": """"}"
