record_id,step,from_unit,to_unit,original_value,converted_value,formula
R001,error_check,%,%,1.5,1.5,|1.5 - 1.5| = 0.0000000000 > 1e-09 ? NO
R002,error_check,%,%,2.3,2.3,|2.3 - 2.31| = 0.0100000000 > 1e-09 ? YES
R003,error_check,%,%,0.8,0.8,|0.8 - 1.2| = 0.4000000000 > 1e-09 ? YES
R004,error_check,bp,bp,100.0,100.0,|100.0 - 95.0| = 5.0000000000 > 1e-09 ? YES
R005,unit_conversion,bp,%,150.0,1.5,150.0 bp -> 1.5 %
R005,error_check,bp,%,1.5,1.5,|1.5 - 1.5| = 0.0000000000 > 1e-09 ? NO
R006,unit_conversion,bp,%,205.0,2.05,205.0 bp -> 2.05 %
R006,error_check,bp,%,2.05,2.05,|2.05 - 2.05| = 0.0000000000 > 1e-09 ? NO
R008,error_check,万,万,25000.0,25000.0,|25000.0 - 25000.0| = 0.0000000000 > 1e-09 ? NO
R009,error_check,,,50000.0,50000.0,|50000.0 - 50000.0| = 0.0000000000 > 1e-09 ? NO
R002,withdrawal_link,%,%,2.3,2.3,orig_diff=|2.3-2.31|=0.0100000000; final_diff=|2.3-2.3|=0.0000000000
R005,withdrawal_link,bp,%,150.0,1.5,orig_diff=|150.0-1.5|=0.0000000000; final_diff=|150.0-1.5|=0.0000000000
R999,withdrawal_link_miss,,,,,"withdrawal_id=W003 references record_id=R999, not found in answers"
