时间,事件类型,标题,描述,矩阵名称,来源文件,来源行号,状态,操作人,关联违规ID
2026-06-14 10:00:30,数据摄入,[数据摄入] Cov_Mat_A,来源文件 sample_draft.csv 第 2 行，由 系统 登记入库,Cov_Mat_A,sample_draft.csv,2,,系统,
2026-06-14 10:00:30,已处理,[已处理] Cov_Mat_A,来源 sample_draft.csv 第 2 行：校验通过，已归档。最新备注：[2026-06-14 10:00:30] 系统: 校验通过，条件数=15.3 (待处理 → 已处理),Cov_Mat_A,sample_draft.csv,2,已处理,系统,
2026-06-14 10:00:30,数据摄入,[数据摄入] Cov_Mat_B,来源文件 sample_draft.csv 第 3 行，由 系统 登记入库,Cov_Mat_B,sample_draft.csv,3,,系统,
2026-06-14 10:00:30,待补材料,[待补材料] Cov_Mat_B,来源 sample_draft.csv 第 3 行：等待补充材料后复算。最新备注：[2026-06-14 10:00:30] 系统: 外推越界：高于上界 100.0，差值 5.7，需补充数据 (待处理 → 待补材料),Cov_Mat_B,sample_draft.csv,3,待补材料,系统,
2026-06-14 10:00:30,数据摄入,[数据摄入] Cov_Mat_C,来源文件 sample_draft.csv 第 4 行，由 系统 登记入库,Cov_Mat_C,sample_draft.csv,4,,系统,
2026-06-14 10:00:30,待补材料,[待补材料] Cov_Mat_C,来源 sample_draft.csv 第 4 行：等待补充材料后复算。最新备注：[2026-06-14 10:00:30] 系统: 数值越界：低于下界 1.0，差值 0.5 (待处理 → 待补材料),Cov_Mat_C,sample_draft.csv,4,待补材料,系统,
2026-06-14 10:00:30,数据摄入,[数据摄入] Cov_Mat_D,来源文件 sample_draft.csv 第 5 行，由 系统 登记入库,Cov_Mat_D,sample_draft.csv,5,,系统,
2026-06-14 10:00:30,单位提示,[单位提示] Cov_Mat_D,文件 sample_draft.csv 第 5 行：预期单位[无量纲]，实际检测到[百分比]，需确认是否换算,Cov_Mat_D,sample_draft.csv,5,待补材料,系统,
2026-06-14 10:00:30,待补材料,[待补材料] Cov_Mat_D,来源 sample_draft.csv 第 5 行：等待补充材料后复算。最新备注：[2026-06-14 10:00:30] 系统: 校验数值通过，但单位不一致需确认（预期:无量纲 检测:百分比） (待处理 → 待补材料),Cov_Mat_D,sample_draft.csv,5,待补材料,系统,
2026-06-14 10:00:30,数据摄入,[数据摄入] Cov_Mat_E,来源文件 sample_draft.csv 第 6 行，由 系统 登记入库,Cov_Mat_E,sample_draft.csv,6,,系统,
2026-06-14 10:00:30,已处理,[已处理] Cov_Mat_E,来源 sample_draft.csv 第 6 行：校验通过，已归档。最新备注：[2026-06-14 10:00:30] 系统: 校验通过，条件数=42.0 (待处理 → 已处理),Cov_Mat_E,sample_draft.csv,6,已处理,系统,
2026-06-14 10:00:30,数据摄入,[数据摄入] Cov_Mat_F,来源文件 sample_draft.csv 第 7 行，由 系统 登记入库,Cov_Mat_F,sample_draft.csv,7,,系统,
2026-06-14 10:00:30,数据摄入,[数据摄入] Cov_Mat_G,来源文件 sample_draft.csv 第 8 行，由 系统 登记入库,Cov_Mat_G,sample_draft.csv,8,,系统,
2026-06-14 10:00:30,数据摄入,[数据摄入] Cov_Mat_H,来源文件 sample_draft.csv 第 9 行，由 系统 登记入库,Cov_Mat_H,sample_draft.csv,9,,系统,
2026-06-14 10:00:30,已处理,[已处理] Cov_Mat_H,来源 sample_draft.csv 第 9 行：校验通过，已归档。最新备注：[2026-06-14 10:00:30] 系统: 校验通过，条件数=30.5 (待处理 → 已处理),Cov_Mat_H,sample_draft.csv,9,已处理,系统,
2026-06-14 10:00:30,人工改判,[人工改判] Cov_Mat_F,来源 sample_draft.csv 第 7 行：由 张算法 人工改判。最新备注：[2026-06-14 10:00:30] 张算法: [2026-06-14 10:30:00] 人工改判为通过：业务场景特殊，经算法组评审确认该条件数可接受 (待补材料 → 人工改判),Cov_Mat_F,sample_draft.csv,7,人工改判,张算法,
2026-06-14 10:00:30,待补材料,[待补材料] Cov_Mat_G,来源 sample_draft.csv 第 8 行：等待补充材料后复算。最新备注：[2026-06-14 10:00:30] 李投研: [2026-06-14 11:15:00] 人工改判为驳回：条件数确实缺失，需要重新计算，仍待补材料 (待补材料 → 待补材料),Cov_Mat_G,sample_draft.csv,8,待补材料,李投研,
