来源文件,来源行号,矩阵名称,条件数,下界,上界,单位,是否外推,是否通过,边界说明,处理状态,是否被晚到附件取代,取代关系
sample_draft.csv,2,Cov_Mat_A,15.3,1.0,100.0,无量纲,否,通过,在边界内,已处理,否,
sample_draft.csv,3,Cov_Mat_B,105.7,1.0,100.0,无量纲,是,未通过,高于上界 100.0，差值 5.7,待补材料,否,
sample_draft.csv,4,Cov_Mat_C,0.5,1.0,100.0,无量纲,否,未通过,低于下界 1.0，差值 0.5,待补材料,否,
sample_draft.csv,5,Cov_Mat_D,88.2,1.0,100.0,百分比,是,通过,在边界内,已被晚到附件取代,是,被 late_attachment.csv L2 取代
sample_draft.csv,6,Cov_Mat_E,42.0,1.0,100.0,无量纲,否,通过,在边界内,已处理,否,
sample_draft.csv,7,Cov_Mat_F,999.9,1.0,100.0,无量纲,是,未通过,高于上界 100.0，差值 899.9,人工改判,否,
sample_draft.csv,8,Cov_Mat_G,,1.0,100.0,无量纲,否,未通过,条件数值无效（NaN/Inf/缺失）,待补材料,否,
sample_draft.csv,9,Cov_Mat_H,30.5,1.0,100.0,无量纲,否,通过,在边界内,已处理,否,
late_attachment.csv,2,Cov_Mat_D,88.2,1.0,100.0,无量纲,是,通过,在边界内,已处理,否,取代 sample_draft.csv L5
late_attachment.csv,3,Cov_Mat_I,55.0,1.0,100.0,无量纲,否,通过,在边界内,已处理,否,
