时间,事件类型,标题,描述,矩阵名称,来源文件,来源行号,状态,操作人,关联违规ID
2026-06-14 10:00:30,数据摄入,[数据摄入] Cov_Mat_A,来源文件 sample_draft.csv 第 2 行，由 系统 登记入库,Cov_Mat_A,sample_draft.csv,2,,系统,
2026-06-14 10:00:30,已处理,[已处理] Cov_Mat_A,来源 sample_draft.csv 第 2 行：校验通过，已归档。最新备注：[2026-06-14 10:00:30] 系统: 校验通过，条件数=15.3 (待处理 → 已处理),Cov_Mat_A,sample_draft.csv,2,已处理,系统,
2026-06-14 10:00:30,数据摄入,[数据摄入] Cov_Mat_B,来源文件 sample_draft.csv 第 3 行，由 系统 登记入库,Cov_Mat_B,sample_draft.csv,3,,系统,
2026-06-14 10:00:30,待补材料,[待补材料] Cov_Mat_B,来源 sample_draft.csv 第 3 行：等待补充材料后复算。最新备注：[2026-06-14 10:00:30] 系统: 外推越界：高于上界 100.0，差值 5.7，需补充数据 (待处理 → 待补材料),Cov_Mat_B,sample_draft.csv,3,待补材料,系统,
2026-06-14 10:00:30,数据摄入,[数据摄入] Cov_Mat_C,来源文件 sample_draft.csv 第 4 行，由 系统 登记入库,Cov_Mat_C,sample_draft.csv,4,,系统,
2026-06-14 10:00:30,待补材料,[待补材料] Cov_Mat_C,来源 sample_draft.csv 第 4 行：等待补充材料后复算。最新备注：[2026-06-14 10:00:30] 系统: 数值越界：低于下界 1.0，差值 0.5 (待处理 → 待补材料),Cov_Mat_C,sample_draft.csv,4,待补材料,系统,
2026-06-14 10:00:30,数据摄入,[数据摄入] Cov_Mat_D,来源文件 sample_draft.csv 第 5 行，由 系统 登记入库,Cov_Mat_D,sample_draft.csv,5,,系统,
2026-06-14 10:00:30,数据摄入,[数据摄入] Cov_Mat_E,来源文件 sample_draft.csv 第 6 行，由 系统 登记入库,Cov_Mat_E,sample_draft.csv,6,,系统,
2026-06-14 10:00:30,已处理,[已处理] Cov_Mat_E,来源 sample_draft.csv 第 6 行：校验通过，已归档。最新备注：[2026-06-14 10:00:30] 系统: 校验通过，条件数=42.0 (待处理 → 已处理),Cov_Mat_E,sample_draft.csv,6,已处理,系统,
2026-06-14 10:00:30,数据摄入,[数据摄入] Cov_Mat_F,来源文件 sample_draft.csv 第 7 行，由 系统 登记入库,Cov_Mat_F,sample_draft.csv,7,,系统,
2026-06-14 10:00:30,数据摄入,[数据摄入] Cov_Mat_G,来源文件 sample_draft.csv 第 8 行，由 系统 登记入库,Cov_Mat_G,sample_draft.csv,8,,系统,
2026-06-14 10:00:30,数据摄入,[数据摄入] Cov_Mat_H,来源文件 sample_draft.csv 第 9 行，由 系统 登记入库,Cov_Mat_H,sample_draft.csv,9,,系统,
2026-06-14 10:00:30,已处理,[已处理] Cov_Mat_H,来源 sample_draft.csv 第 9 行：校验通过，已归档。最新备注：[2026-06-14 10:00:30] 系统: 校验通过，条件数=30.5 (待处理 → 已处理),Cov_Mat_H,sample_draft.csv,9,已处理,系统,
2026-06-14 10:00:30,数据摄入,[数据摄入] Cov_Mat_D,来源文件 late_attachment.csv 第 2 行，由 系统 登记入库,Cov_Mat_D,late_attachment.csv,2,,系统,
2026-06-14 10:00:30,已处理,[已处理] Cov_Mat_D,来源 late_attachment.csv 第 2 行：校验通过，已归档。最新备注：[2026-06-14 10:00:30] 系统: 取代草稿数据：旧来源 sample_draft.csv L5,Cov_Mat_D,late_attachment.csv,2,已处理,系统,
2026-06-14 10:00:30,数据摄入,[数据摄入] Cov_Mat_I,来源文件 late_attachment.csv 第 3 行，由 系统 登记入库,Cov_Mat_I,late_attachment.csv,3,,系统,
2026-06-14 10:00:30,已处理,[已处理] Cov_Mat_I,来源 late_attachment.csv 第 3 行：校验通过，已归档。最新备注：[2026-06-14 10:00:30] 系统: 校验通过，条件数=55.0 (待处理 → 已处理),Cov_Mat_I,late_attachment.csv,3,已处理,系统,
2026-06-14 10:00:30,已被晚到附件取代,[已被晚到附件取代] Cov_Mat_D,来源 sample_draft.csv 第 5 行：草稿数据已被晚到附件覆盖，不再参与后续校验。新数据来自 late_attachment.csv L2。最新备注：[2026-06-14 10:00:30] 系统: 已被晚到附件取代：新来源 late_attachment.csv L2，以新数据为准 (待补材料 → 已被晚到附件取代),Cov_Mat_D,sample_draft.csv,5,已被晚到附件取代,系统,
