id,condition_number,source,version,notes
M001,4.344807943204735,2024年12月人工复核,v1.0,
M002,7.881760535715859,2024年12月人工复核,v1.0,
M003,17.673487493036184,2024年12月人工复核,v1.0,历史计算口径不同，近似值
M004,8.912448718287067,2024年12月人工复核,v1.0,
M005,109.72264055733928,2024年12月人工复核,v1.0,历史答案有偏差，需复核
M006,1960026.0000048126,2024年12月人工复核,v1.0,
M007,2.9177193629325182e+32,2024年12月人工复核,v1.0,
M008,,2024年12月人工复核,v1.0,数据不全/脏数据，无历史答案
M009,,2024年12月人工复核,v1.0,数据不全/脏数据，无历史答案
M010,,2024年12月人工复核,v1.0,数据不全/脏数据，无历史答案
M011,2.0374453493614046,2024年12月人工复核,v1.0,历史值偏低
M012,524.0567775860627,2024年12月人工复核,v1.0,
M013,123.45,2024年12月人工复核,v1.0,历史有但本次数据缺失
