记录ID,场景描述,n,k,计算类型,提交结果,来源行号,数据来源
CUR-001,从8个不同元素中选3个的组合,8,3,组合,56,行12,批次12原始表
CUR-002,6个不同元素的全排列,6,6,排列,720,行15,批次12原始表
CUR-003,从10个元素中选5个排成一列,10,5,排列,30240,行18,批次12原始表
CUR-004,从12人中选0人参加活动,12,0,组合,1,行21,批次12原始表
CUR-005,"n=5,k=5的组合",5,5,组合,1,行24,批次12原始表
CUR-006,从7个球中选4个的组合数,7,4,组合,35,行27,批次12原始表
CUR-007,9个元素中选2个的排列,9,2,排列,72,行30,批次12原始表
CUR-008,子集总数(n=5),5,NA,2^n,32,行33,批次12原始表
CUR-009,从8个不同元素中选3个的组合,8,3,组合,56,行36,批次12原始表-重复
CUR-010,k>n的组合(10选15),10,15,组合,0,行39,批次12原始表
CUR-011,从11人中选5人且含特定2人,11,5,约束组合,126,行42,批次12原始表
CUR-012,n=0的排列数,0,0,排列,1,行45,批次12原始表
CUR-013,从8个不同元素中选3个的组合,8,3,组合,56,行48,另一来源表
CUR-014,20个元素选3个的组合,20,3,组合,1140,行51,批次12原始表
CUR-015,带约束的排列（甲不站排头）,6,6,约束排列,504,行54,批次12原始表
