记录ID,场景名称,n值,k值,组合类型,计算结果,边界状态,校验结论,校验人,日期
HIS-001,从10人中选3人组队,10,3,组合C(n,k),120,正常,通过,张敏,2025-11-03
HIS-002,排列5个不同颜色的球,5,5,排列P(n,n),120,边界-全排列,通过,张敏,2025-11-05
HIS-003,从8本书中选0本,8,0,组合C(n,0),1,边界-空集,通过,李昊,2025-11-08
HIS-004,15人选5人排成一排,15,5,排列P(n,k),360360,正常,通过,张敏,2025-11-12
HIS-005,从20人中选20人,20,20,组合C(n,n),1,边界-全集,通过,李昊,2025-11-15
HIS-006,7个元素的子集总数,7,NA,2^n,128,正常,通过,王芳,2025-11-18
HIS-007,从6人中选4人且甲必须在内,6,4,含约束组合,10,正常,通过,张敏,2025-11-20
HIS-008,n=k=0的特殊情况,0,0,组合C(0,0),1,边界-零值,待确认,李昊,2025-11-22
HIS-009,圆周上10点构成三角形,10,3,几何组合,120,正常,通过,王芳,2025-11-25
HIS-010,从12个球中取7个的组合数,12,7,组合C(n,k),792,正常,通过,张敏,2025-11-28
