组合ID,包含题目,题目数量,组合权重,出现次数,状态(页面显示),状态(内部编码),运行ID,计算时间
Q001,Q001,1,10.0000,15,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q002,Q002,1,20.0000,12,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q003,Q003,1,25.0000,10,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q004,Q004,1,25.0000,10,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q005,Q005,1,150.0000,5,异常-外推越界,error,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q006,Q006,1,35.0000,3,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q007,Q007,1,5.0000,2,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q008,Q008,1,8.0000,18,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q001+Q002,Q001;Q002,2,30.0000,12,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q001+Q003,Q001;Q003,2,35.0000,10,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q001+Q004,Q001;Q004,2,35.0000,10,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q001+Q005,Q001;Q005,2,160.0000,5,异常-外推越界,error,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q001+Q006,Q001;Q006,2,45.0000,3,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q001+Q007,Q001;Q007,2,15.0000,2,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q001+Q008,Q001;Q008,2,18.0000,15,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q002+Q003,Q002;Q003,2,45.0000,10,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q002+Q004,Q002;Q004,2,45.0000,10,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q002+Q005,Q002;Q005,2,170.0000,5,异常-外推越界,error,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q002+Q006,Q002;Q006,2,55.0000,3,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q002+Q007,Q002;Q007,2,25.0000,2,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q002+Q008,Q002;Q008,2,28.0000,12,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
Q003+Q004,Q003;Q004,2,50.0000,10,正常,normal,run_20260612_213531_43bf40,2026-06-12T21:35:31
