param_id,case_name,measurement_nominal,measurement_tolerance,repeatability_std,reproducibility_std,mc_sample_count,confidence_level,spec_lower,spec_upper,material_source,remark
MC-2026-001,主轴径向跳动_正常批次,0.012,0.005,0.0012,0.0008,10000,0.95,0.000,0.020,质检单#20260601-01,正常生产件
MC-2026-002,齿轮啮合间隙_正常批次,0.008,0.003,0.0006,0.0005,10000,0.95,0.003,0.015,质检单#20260601-02,正常生产件
MC-2026-003,轴承预紧力矩_正常批次,2.5,0.8,0.25,0.18,10000,0.95,1.0,4.5,质检单#20260602-01,正常生产件
MC-2026-004,密封件压缩量_正常批次,0.35,0.10,0.015,0.020,8000,0.95,0.15,0.55,质检单#20260602-02,正常生产件
MC-2026-005,缸体孔直径_边界样本,0.050,0.008,0.0040,0.0035,4000,0.95,0.035,0.065,质检单#20260603-01,规格上限游走件_抽样次数偏少
MC-2026-006,薄壁件变形量_边界样本,0.18,0.06,0.030,0.025,3000,0.90,0.05,0.25,质检单#20260603-02,小样本次数不足
MC-2026-007,焊接熔深_排序不稳定,0.45,0.12,0.055,0.040,10000,0.95,0.25,0.65,质检单#20260604-01,同批次重复测量排序波动大
MC-2026-008,涂层厚度_缺材料,0.020,0.008,,,10000,0.95,0.010,0.035,质检单#20260604-02,重复性与再现性数据未到
MC-2026-009,弹簧刚度_人工改判,120.0,15.0,3.5,9.0,10000,0.95,90.0,160.0,质检单#20260605-01,历史数据漂移_再现性远大于重复性_需工程师确认
MC-2026-010,扭矩系数_异常极值,5.6,2.0,0.8,1.8,10000,0.95,2.0,9.0,质检单#20260605-02,再现性偏差异常放大
