参数编号,案例名称,状态,错误/警告码,错误/警告描述,均值估计,标准差,置信下限,置信上限,Cp,Cpk,超规格率(%),分布类型,合成公式,随机种子
MC-2026-001,主轴径向跳动_正常批次,已处理,,,0.012013369802591803,0.001465922592935815,0.009191523905740252,0.014886211421756314,2.2738808647853905,1.8160645580003667,0.0,"正态分布 N(0.012, 0.00144222²)",测量值 ~ 名义值 + 重复性误差 + 再现性误差  (GRR合成标准差 = 0.00144222),20260613
MC-2026-002,齿轮啮合间隙_正常批次,已处理,,,0.008007240328065098,0.0007938606735600938,0.006479088367550602,0.009563008684328685,2.519333765496829,2.1024849384086366,0.0,"正态分布 N(0.008, 0.000781025²)",测量值 ~ 名义值 + 重复性误差 + 再现性误差  (GRR合成标准差 = 0.000781025),20260613
MC-2026-003,轴承预紧力矩_正常批次,已处理,,,2.502855791085463,0.31312120310972985,1.9001092433002487,3.1164950299316043,1.8629633750126806,1.5998658838388151,0.0,"正态分布 N(2.5, 0.308058²)",测量值 ~ 名义值 + 重复性误差 + 再现性误差  (GRR合成标准差 = 0.308058),20260613
MC-2026-004,密封件压缩量_正常批次,已处理,,,0.3502433621577267,0.025264683908537533,0.30160392812684017,0.3992346999087886,2.638729497191074,2.635518662670607,0.0,"正态分布 N(0.35, 0.025²)",测量值 ~ 名义值 + 重复性误差 + 再现性误差  (GRR合成标准差 = 0.025),20260613
MC-2026-005,缸体孔直径_边界样本,已处理（带警告）,ERR_MC_003、ERR_MC_007,蒙特卡洛抽样次数低于建议下限（建议 >= 5000 次）；再现性偏差异常放大，测量系统可能异常,0.05003711563721694,0.005391312944179407,0.03956524326515108,0.060375373456250055,0.9274178760849195,0.9251230957224349,0.675,"正态分布 N(0.05, 0.00531507²)",测量值 ~ 名义值 + 重复性误差 + 再现性误差  (GRR合成标准差 = 0.00531507),20260613
MC-2026-006,薄壁件变形量_边界样本,已处理（带警告）,ERR_MC_003、ERR_MC_007、ERR_MC_005,蒙特卡洛抽样次数低于建议下限（建议 >= 5000 次）；再现性偏差异常放大，测量系统可能异常；排序不稳定：测量系统变异过大，多次运行排名存在波动,0.18033521652549747,0.03949770507925462,0.11600692269115442,0.24338309037851583,0.8439308882996599,0.5879226260084038,3.7,"正态分布 N(0.18, 0.0390512²)",测量值 ~ 名义值 + 重复性误差 + 再现性误差  (GRR合成标准差 = 0.0390512),20260613
MC-2026-007,焊接熔深_排序不稳定,已处理（带警告）,ERR_MC_007、ERR_MC_005,再现性偏差异常放大，测量系统可能异常；排序不稳定：测量系统变异过大，多次运行排名存在波动,0.4506304478905124,0.06912501512455825,0.31756739173801274,0.5860981876826243,0.9644361964556274,0.9613960626276813,0.39,"正态分布 N(0.45, 0.0680074²)",测量值 ~ 名义值 + 重复性误差 + 再现性误差  (GRR合成标准差 = 0.0680074),20260613
MC-2026-008,涂层厚度_缺材料,待补材料,ERR_MC_002,重复性或再现性标准差缺失，待补材料,,,,,,,,,,20260613
MC-2026-009,弹簧刚度_人工改判,人工改判,ERR_MC_006、ERR_MC_007,历史数据漂移：再现性显著大于重复性，需工程师人工改判；再现性偏差异常放大，测量系统可能异常,120.08951952056759,9.815304811549133,101.19542665216608,139.3250619041064,1.1886199043904513,1.0218571947340476,0.09,"正态分布 N(120, 9.6566²)",测量值 ~ 名义值 + 重复性误差 + 再现性误差  (GRR合成标准差 = 9.6566),20260613
MC-2026-010,扭矩系数_异常极值,人工改判,ERR_MC_006、ERR_MC_007、ERR_MC_005,历史数据漂移：再现性显著大于重复性，需工程师人工改判；再现性偏差异常放大，测量系统可能异常；排序不稳定：测量系统变异过大，多次运行排名存在波动,5.61826035389662,2.0021436478402506,1.7642090794356469,9.541961118711262,0.5827087721328945,0.5630198162440085,8.02,"正态分布 N(5.6, 1.96977²)",测量值 ~ 名义值 + 重复性误差 + 再现性误差  (GRR合成标准差 = 1.96977),20260613
