设备编号,循环序号,采样时间,出水温度(℃),回水温度(℃),功耗(kW),流量(m³/h),备注,_样本原始行号,采样缺口,采样间隔_分钟,坏数据,坏数据原因,温差(℃),制热量(kW),COP,边界样本,预警类型,预警级别,判定依据,参考铭牌行,是否纳入统计
HP-A01,1,2024-06-10 08:00:00,45.2,40.1,28.5,8.3,正常巡检,2,False,,False,,5.1,49.2204,1.727,False,低COP预警,预警,"COP=1.727 < 下限=3.2；出水温度=45.2℃ ∈ [35.0,55.0]℃",设备铭牌-HP-A01[行2],True
HP-A01,2,2024-06-10 08:15:00,46.0,40.5,29.1,8.4,正常巡检,3,False,,False,,5.5,53.7203,1.8461,False,低COP预警,预警,"COP=1.8461 < 下限=3.2；出水温度=46.0℃ ∈ [35.0,55.0]℃",设备铭牌-HP-A01[行2],True
HP-A01,3,2024-06-10 08:30:00,47.3,40.8,30.2,8.5,正常巡检,4,False,,False,,6.5,64.2435,2.1273,False,低COP预警,预警,"COP=2.1273 < 下限=3.2；出水温度=47.3℃ ∈ [35.0,55.0]℃",设备铭牌-HP-A01[行2],True
HP-A01,4,2024-06-10 09:00:00,48.1,41.0,31.0,8.4,,5,False,,False,,7.1,69.3481,2.237,False,低COP预警,预警,"COP=2.237 < 下限=3.2；出水温度=48.1℃ ∈ [35.0,55.0]℃",设备铭牌-HP-A01[行2],True
HP-A01,5,2024-06-10 09:15:00,44.5,40.2,27.8,8.2,,6,False,,False,,4.3,40.9995,1.4748,False,低COP预警,预警,"COP=1.4748 < 下限=3.2；出水温度=44.5℃ ∈ [35.0,55.0]℃",设备铭牌-HP-A01[行2],True
HP-A01,6,2024-06-10 09:30:00,49.0,41.5,32.5,8.6,,7,False,,False,,7.5,74.9992,2.3077,False,低COP预警,预警,"COP=2.3077 < 下限=3.2；出水温度=49.0℃ ∈ [35.0,55.0]℃",设备铭牌-HP-A01[行2],True
HP-A01,7,2024-06-10 09:45:00,54.5,43.0,35.0,8.7,边界样本-温度接近上限(54.5/55),8,False,,False,,11.5,116.3359,3.3239,True,正常,正常,"COP=3.3239 ∈ [3.2,4.8]；出水温度=54.5℃ ∈ [35.0,55.0]℃",设备铭牌-HP-A01[行2],True
HP-A01,8,2024-06-10 10:00:00,47.5,38.0,18.0,8.5,边界样本-高COP(温差9.5、功耗低),9,False,,False,,9.5,93.8943,5.2164,True,高COP预警,预警,"COP=5.2164 > 上限=4.8；出水温度=47.5℃ ∈ [35.0,55.0]℃",设备铭牌-HP-A01[行2],True
HP-A02,1,2024-06-10 08:00:00,44.0,39.0,26.0,8.0,,10,False,,False,,5.0,46.5111,1.7889,False,低COP预警,预警,"COP=1.7889 < 下限=3.2；出水温度=44.0℃ ∈ [35.0,55.0]℃",设备铭牌-HP-A02[行3],True
HP-A02,2,2024-06-10 08:15:00,34.5,33.0,20.0,7.8,边界样本-低温(34.5/35),11,False,,False,,1.5,13.6045,0.6802,True,"低COP预警,低温预警",预警,COP=0.6802 < 下限=3.2；出水温度=34.5℃ < 最低=35.0℃,设备铭牌-HP-A02[行3],True
