device_id,timestamp,longitude,latitude,wave_height,wave_period,wave_direction,water_temperature,wind_speed,wind_direction,air_pressure
BUOY-001,2026-06-04T00:00:00,121.49615971450459,31.206827410141354,1.2,12.0,83,20.8,4.5,106,1014.6
BUOY-001,2026-06-04T06:00:00,121.50986779604796,31.197088920725555,2.44,28.5,111,25.9,3.9,339,1007.4
BUOY-001,2026-06-04T12:00:00,121.50068634617138,31.203454031607567,3.47,7.9,2,25.2,18.2,340,1024.0
BUOY-001,2026-06-04T18:00:00,121.49090580015505,31.20065472256631,5.12,12.0,180,21.2,15.7,358,1020.5
BUOY-002,2026-06-04T00:00:00,121.80357648020366,31.491138373266896,1.18,7.2,168,17.8,7.1,106,1011.4
BUOY-002,2026-06-04T06:00:00,121.79924219652764,31.494968733540897,2.13,11.7,154,23.2,-3.3,208,1018.0
BUOY-002,2026-06-04T12:00:00,121.79366285076868,31.49379588956205,2.47,6.1,129,21.7,13.2,43,1005.1
BUOY-002,2026-06-04T18:00:00,121.79324728495624,31.501031691127814,2.47,13.1,51,18.8,19.2,233,1012.5
BUOY-003,2026-06-04T00:00:00,122.10095237995375,30.996056353655074,3.42,10.8,354,19.0,3.5,3,1010.5
BUOY-003,2026-06-04T06:00:00,122.09553309266175,30.993719791042185,3.4,7.4,198,20.4,15.4,140,1011.4
BUOY-003,2026-06-04T12:00:00,122.10313189625728,31.000096750282193,0.72,9.9,116,16.3,12.4,99,1013.0
BUOY-003,2026-06-04T18:00:00,122.09178265802933,30.99907537824599,2.74,10.1,301,14.1,16.7,256,1009.1
BUOY-001,2026-06-05T00:00:00,121.4953201984333,31.205345792456654,2.4,10.2,60,36.2,10.1,321,1012.7
BUOY-001,2026-06-05T06:00:00,121.50961287326153,31.205549864579552,2.31,13.2,119,36.2,14.6,250,1020.2
BUOY-001,2026-06-05T12:00:00,121.50220609553215,31.205382245707746,2.72,5.7,222,36.2,13.5,198,1018.8
BUOY-001,2026-06-05T18:00:00,121.50794366854149,31.204342077273974,0.98,10.4,251,36.2,10.3,257,1018.2
BUOY-002,2026-06-05T00:00:00,121.79182652019598,31.500441372186096,4.2,9.1,17,18.5,17.0,88,1016.6
BUOY-002,2026-06-05T06:00:00,121.79985192504029,31.50815098462754,4.2,10.0,73,20.1,12.9,62,1003.7
BUOY-002,2026-06-05T12:00:00,121.7927072903658,31.494550153340917,4.2,6.8,45,18.7,18.2,122,1014.7
BUOY-002,2026-06-05T18:00:00,121.80506613439705,31.49698294516646,4.2,9.7,343,17.6,10.8,100,1005.9
BUOY-003,2026-06-05T00:00:00,122.10058520297463,31.00794704915908,2.45,8.5,10,12.0,13.5,228,1019.0
BUOY-003,2026-06-05T06:00:00,122.1007443124115,31.000001406437015,1.94,11.2,10,22.9,11.7,136,1006.1
BUOY-003,2026-06-05T12:00:00,122.09806137394963,30.990828923672815,1.04,9.3,355,20.4,9.3,225,1019.3
BUOY-003,2026-06-05T18:00:00,122.09928993555089,30.994293222188528,2.9,11.1,89,19.4,14.3,306,1020.7
