device_id,timestamp,longitude,latitude,wave_height,wave_period,wave_direction,water_temperature,wind_speed,wind_direction,air_pressure
BUOY-001,2026-06-01T00:00:00,121.50837140782355,31.19459602801912,3.1,9.7,102,21.9,19.6,121,1014.4
BUOY-001,2026-06-01T06:00:00,121.49065357048734,31.192161366041134,3.71,28.5,21,18.4,9.1,252,1008.4
BUOY-001,2026-06-01T12:00:00,121.50313068969503,31.19083274905855,0.5,8.9,187,17.0,13.6,270,1020.3
BUOY-001,2026-06-01T18:00:00,121.49004460567849,31.193811319430818,2.23,10.1,306,15.7,9.3,134,1013.6
BUOY-002,2026-06-01T00:00:00,121.80580164387811,31.494494622465893,1.78,11.9,263,20.9,8.8,34,1011.9
BUOY-002,2026-06-01T06:00:00,121.79707861632043,31.50367427493233,2.97,7.5,309,23.3,25.9,190,1019.0
BUOY-002,2026-06-01T12:00:00,121.80589653288622,31.495112271002416,2.29,12.4,350,22.1,11.1,303,1016.7
BUOY-002,2026-06-01T18:00:00,121.80677096745342,31.503773509674083,0.5,11.1,52,20.1,14.4,279,1016.3
BUOY-003,2026-06-01T00:00:00,122.10834682068577,30.993050404979222,0.88,8.2,14,16.6,12.7,300,1009.6
BUOY-003,2026-06-01T06:00:00,122.09259595660579,30.9927207152205,3.23,12.1,134,22.8,7.8,200,1011.5
BUOY-003,2026-06-01T12:00:00,122.09806678649657,31.008055576928875,0.69,12.2,215,19.5,9.9,292,1017.1
BUOY-003,2026-06-01T18:00:00,122.09329447752661,31.005632023157908,4.13,9.9,256,23.0,13.8,4,1009.8
