梁编号,测量截面,检测日期,设计挠度(mm),实测挠度(mm),挠度比,材料名称,材料批号,施工班组,备注
L009,1/4跨,2025-02-02,100.00,117.88,1.1788,C50混凝土,P20250202,二班,
L008,1/4跨,2025-06-24,100.00,104.93,1.0493,C50混凝土,P20251224,一班,
L006,1/2跨,2025-08-08,100.00,109.68,1.0968,C50混凝土,P20250808,二班,
L002,1/4跨,2025-01-01,100.00,107.19,1.0719,C50混凝土,P20250101,一班,
L006,1/4跨,2025-02-20,100.00,99.63,0.9963,预应力C50,P20250820,二班,
L002,3/4跨,2025-01-10,100.00,117.77,1.1777,C50混凝土,P20251010,三班,
L010,1/2跨,2025-02-11,100.00,104.31,1.0431,C50混凝土,P20251111,一班,
L005,1/2跨,2025-02-01,100.00,117.80,1.1780,C50混凝土,P20250529,二班,
L005,1/4跨,2025-07-07,100.00,111.26,1.1126,C50混凝土,P20250707,二班,
L008,1/4跨,2025-03-21,100.00,105.22,1.0522,C50混凝土,P20250921,一班,
L005,3/4跨,2025-06-15,100.00,98.46,0.9846,C50混凝土,P20250315,三班,
L004,1/2跨,2025-03-12,100.00,102.65,1.0265,C50混凝土,P20251212,一班,
L002,1/2跨,2025-04-13,100.00,99.98,0.9998,C50混凝土,P20250113,二班,
G001,3/4跨,2025-11-05,100.00,--,,C50混凝土,G202501,三班,缺测，仪器故障
E002,3/4跨,2025-10-02,100.00,76.96,0.7696,C50混凝土,E202502,三班,数值异常，待复核
L006,1/2跨,2025-05-14,100.00,99.26,0.9926,C50混凝土,P20250214,三班,
L005,3/4跨,2025-08-17,100.00,98.85,0.9885,C50混凝土,P20250517,一班,
L001,3/4跨,2025-09-09,100.00,117.80,1.1780,预应力C50,P20250909,三班,
L003,3/4跨,2025-06-06,100.00,104.15,1.0415,预应力C50,P20250606,二班,
L007,3/4跨,2025-08-26,100.00,106.36,1.0636,预应力C50,P20250226,三班,
L003,3/4跨,2025-07-25,100.00,102.44,1.0244,C50混凝土,P20250125,三班,
L005,3/4跨,2025-04-22,100.00,115.27,1.1527,C50混凝土,P20251022,二班,
L004,1/2跨,2025-05-05,100.00,105.33,1.0533,C50混凝土,P20250505,二班,
INC001,1/2跨,2025-09-15,100.00,104.29,1.0429,50号混凝土,I20250915,二班,
L005,3/4跨,2025-09-27,100.00,102.79,1.0279,C50混凝土,P20250327,三班,
E001,1/4跨,2025-10-01,100.00,132.98,1.3298,C50混凝土,E202501,三班,数值异常，待复核
G002,1/4跨,2025-11-06,100.00,--,,C50混凝土,G202502,三班,缺测，仪器故障
L005,3/4跨,2025-03-02,100.00,105.26,1.0526,C50混凝土,P20250630,三班,
L001,1/4跨,2025-03-03,100.00,106.18,1.0618,C50混凝土,P20250303,一班,
L001,1/4跨,2025-09-18,100.00,90.89,0.9089,C50混凝土,P20250618,二班,
L009,1/2跨,2025-01-28,100.00,93.10,0.9310,C50混凝土,P20250428,一班,
E003,1/4跨,2025-10-03,100.00,137.63,1.3763,C50混凝土,E202503,二班,数值异常，待复核
L009,1/4跨,2025-04-04,100.00,115.80,1.1580,C50混凝土,P20250404,二班,
L004,1/4跨,2025-07-16,100.00,97.58,0.9758,预应力C50,P20250416,二班,
L007,1/2跨,2025-01-19,100.00,113.85,1.1385,C50混凝土,P20250719,一班,
L010,1/2跨,2025-05-23,100.00,109.36,1.0936,C50混凝土,P20251123,一班,
