girder_id,position,date,design_deflection,measured_deflection,material,batch_no,team
V2-001,跨中,2025-08-01,100.00,103.48,C50混凝土,B20250801,二班
V2-002,跨中,2025-08-02,100.00,118.61,C50混凝土,B20250802,一班
V2-003,四分之一跨,2025-08-03,100.00,98.00,C50混凝土,B20250803,一班
V2-004,跨中,2025-08-04,100.00,103.38,C50混凝土,B20250804,一班
V2-005,四分之一跨,2025-08-05,100.00,93.46,C50混凝土,B20250805,一班
V2-006,跨中,2025-08-06,100.00,100.35,C50混凝土,B20250806,二班
V2-007,跨中,2025-08-07,100.00,110.63,C50混凝土,B20250807,一班
V2-008,四分之一跨,2025-08-08,100.00,99.62,C50混凝土,B20250808,三班
V2-009,四分之一跨,2025-08-09,100.00,106.92,C50混凝土,B20250809,三班
V2-010,跨中,2025-08-10,100.00,106.43,C50混凝土,B20250810,一班
V2-011,跨中,2025-08-11,100.00,102.80,C50混凝土,B20250811,二班
V2-012,四分之一跨,2025-08-12,100.00,113.20,C50混凝土,B20250812,二班
V2-013,跨中,2025-08-13,100.00,105.86,C50混凝土,B20250813,二班
V2-014,跨中,2025-08-14,100.00,97.71,C50混凝土,B20250814,三班
V2-015,四分之三跨,2025-08-15,100.00,90.65,C50混凝土,B20250815,二班
