记录ID,来源文件,来源行号,梁号,测点,测量时间,设计值,实测值,挠度值,挠度比,材料名称,材料批号,施工班组,是否采样缺口,缺口原因,是否极端值,极端值原因,归因分类,归因详情,风险等级,处理状态,状态说明
d362936d3b40,demo_experiment_records.csv,2,L009,1/4跨,2025-02-02,100.0,117.88,17.879999999999995,1.1788,C50混凝土,P20250202,二班,否,,否,,待归因,正常范围,低风险,已处理,
8a6e64469798,demo_experiment_records.csv,3,L008,1/4跨,2025-06-24,100.0,104.93,4.930000000000007,1.0493,C50混凝土,P20251224,一班,否,,否,,待归因,正常范围,低风险,已处理,
39c26918637f,demo_experiment_records.csv,4,L006,1/2跨,2025-08-08,100.0,109.68,9.680000000000007,1.0968,C50混凝土,P20250808,二班,否,,否,,待归因,正常范围,低风险,已处理,
309dc5af8748,demo_experiment_records.csv,5,L002,1/4跨,2025-01-01,100.0,107.19,7.189999999999998,1.0719,C50混凝土,P20250101,一班,否,,否,,待归因,正常范围,低风险,已处理,
12c58ed55ff9,demo_experiment_records.csv,6,L006,1/4跨,2025-02-20,100.0,99.63,-0.37000000000000455,0.9963,预应力C50,P20250820,二班,否,,否,,待归因,正常范围,低风险,已处理,
9f247ca02223,demo_experiment_records.csv,7,L002,3/4跨,2025-01-10,100.0,117.77,17.769999999999996,1.1777,C50混凝土,P20251010,三班,否,,否,,施工因素,施工班组差异,低风险,已处理,
ec43477a63dd,demo_experiment_records.csv,8,L010,1/2跨,2025-02-11,100.0,104.31,4.310000000000002,1.0431,C50混凝土,P20251111,一班,否,,否,,待归因,正常范围,低风险,已处理,
c3a516cbbcc0,demo_experiment_records.csv,9,L005,1/2跨,2025-02-01,100.0,117.8,17.799999999999997,1.178,C50混凝土,P20250529,二班,否,,否,,待归因,正常范围,低风险,已处理,
9ad98acfcbf9,demo_experiment_records.csv,10,L005,1/4跨,2025-07-07,100.0,111.26,11.260000000000005,1.1126,C50混凝土,P20250707,二班,否,,否,,待归因,正常范围,低风险,已处理,
485f1cfc8038,demo_experiment_records.csv,11,L008,1/4跨,2025-03-21,100.0,105.22,5.219999999999999,1.0522,C50混凝土,P20250921,一班,否,,否,,待归因,正常范围,低风险,已处理,
f52017da74d8,demo_experiment_records.csv,12,L005,3/4跨,2025-06-15,100.0,98.46,-1.5400000000000063,0.9846,C50混凝土,P20250315,三班,否,,否,,施工因素,施工班组差异,低风险,已处理,
50b613783b3a,demo_experiment_records.csv,13,L004,1/2跨,2025-03-12,100.0,102.65,2.6500000000000057,1.0265,C50混凝土,P20251212,一班,否,,否,,待归因,正常范围,低风险,已处理,
e3501ff7e632,demo_experiment_records.csv,14,L002,1/2跨,2025-04-13,100.0,99.98,-0.01999999999999602,0.9998,C50混凝土,P20250113,二班,否,,否,,待归因,正常范围,低风险,已处理,
276ce18ae4ed,demo_experiment_records.csv,15,G001,3/4跨,2025-11-05,100.0,,,,C50混凝土,G202501,三班,是,挠度相关数据全部为空; 实测值为缺口标记; 挠度值为缺口标记; 挠度比为缺口标记; 备注字段[备注]标注缺口,否,,测量因素,采样缺口，数据质量待确认,中风险,待补证据,挠度相关数据全部为空; 实测值为缺口标记; 挠度值为缺口标记; 挠度比为缺口标记; 备注字段[备注]标注缺口
b887a7003234,demo_experiment_records.csv,16,E002,3/4跨,2025-10-02,100.0,76.96,-23.040000000000006,0.7696,C50混凝土,E202502,三班,否,,是,"IQR法偏低(上界1.3211, 下界0.8168); Z-score偏低(z=-2.71, 阈值±2.0)",材料因素,混凝土强度偏差,高风险,待补证据,极端值需复核
46aa4627a3b9,demo_experiment_records.csv,17,L006,1/2跨,2025-05-14,100.0,99.26,-0.7399999999999949,0.9926,C50混凝土,P20250214,三班,否,,否,,施工因素,施工班组差异,低风险,已处理,
01cf1914466f,demo_experiment_records.csv,18,L005,3/4跨,2025-08-17,100.0,98.85,-1.1500000000000057,0.9885,C50混凝土,P20250517,一班,否,,否,,待归因,正常范围,低风险,已处理,
1fb7ee64b09c,demo_experiment_records.csv,19,L001,3/4跨,2025-09-09,100.0,117.8,17.799999999999997,1.178,预应力C50,P20250909,三班,否,,否,,施工因素,施工班组差异,低风险,已处理,
