记录ID,来源文件,来源行号,梁号,测点,测量时间,设计值,实测值,挠度值,挠度比,材料名称,材料批号,施工班组,是否采样缺口,缺口原因,是否极端值,极端值原因,归因分类,归因详情,风险等级,处理状态,状态说明
38c8bb9ec9b4,demo_experiment_v2.csv,2,V2-001,跨中,2025-08-01,100.0,103.48,3.480000000000004,1.0348,C50混凝土,B20250801,二班,否,,否,,待归因,正常范围,低风险,已处理,
54f10471a155,demo_experiment_v2.csv,3,V2-002,跨中,2025-08-02,100.0,118.61,18.61,1.1861,C50混凝土,B20250802,一班,否,,是,"IQR法偏高(上界1.1847, 下界0.8701); Z-score偏高(z=2.14, 阈值±2.0)",材料因素,混凝土强度偏差,高风险,待补证据,极端值需复核
ca6fc77c37e1,demo_experiment_v2.csv,4,V2-003,四分之一跨,2025-08-03,100.0,98.0,-2.0,0.98,C50混凝土,B20250803,一班,否,,否,,待归因,正常范围,低风险,已处理,
b22ae41d5417,demo_experiment_v2.csv,5,V2-004,跨中,2025-08-04,100.0,103.38,3.3799999999999955,1.0338,C50混凝土,B20250804,一班,否,,否,,待归因,正常范围,低风险,已处理,
b1622bccdb64,demo_experiment_v2.csv,6,V2-005,四分之一跨,2025-08-05,100.0,93.46,-6.540000000000006,0.9346,C50混凝土,B20250805,一班,否,,否,,待归因,正常范围,低风险,已处理,
d025b672b406,demo_experiment_v2.csv,7,V2-006,跨中,2025-08-06,100.0,100.35,0.3499999999999943,1.0034999999999998,C50混凝土,B20250806,二班,否,,否,,待归因,正常范围,低风险,已处理,
8e37ae7b8088,demo_experiment_v2.csv,8,V2-007,跨中,2025-08-07,100.0,110.63,10.629999999999995,1.1063,C50混凝土,B20250807,一班,否,,否,,待归因,正常范围,低风险,已处理,
f1464739865f,demo_experiment_v2.csv,9,V2-008,四分之一跨,2025-08-08,100.0,99.62,-0.37999999999999545,0.9962000000000001,C50混凝土,B20250808,三班,否,,否,,施工因素,施工班组差异,低风险,已处理,
db33172018f5,demo_experiment_v2.csv,10,V2-009,四分之一跨,2025-08-09,100.0,106.92,6.920000000000002,1.0692,C50混凝土,B20250809,三班,否,,否,,施工因素,施工班组差异,低风险,已处理,
4e183206d7b3,demo_experiment_v2.csv,11,V2-010,跨中,2025-08-10,100.0,106.43,6.430000000000007,1.0643,C50混凝土,B20250810,一班,否,,否,,待归因,正常范围,低风险,已处理,
7b3034b6605f,demo_experiment_v2.csv,12,V2-011,跨中,2025-08-11,100.0,102.8,2.799999999999997,1.028,C50混凝土,B20250811,二班,否,,否,,待归因,正常范围,低风险,已处理,
d144f22b3ca6,demo_experiment_v2.csv,13,V2-012,四分之一跨,2025-08-12,100.0,113.2,13.200000000000003,1.1320000000000001,C50混凝土,B20250812,二班,否,,否,,待归因,正常范围,低风险,已处理,
c4ad88f68e0e,demo_experiment_v2.csv,14,V2-013,跨中,2025-08-13,100.0,105.86,5.859999999999999,1.0586,C50混凝土,B20250813,二班,否,,否,,待归因,正常范围,低风险,已处理,
bc48dc5c9e20,demo_experiment_v2.csv,15,V2-014,跨中,2025-08-14,100.0,97.71,-2.2900000000000063,0.9771,C50混凝土,B20250814,三班,否,,否,,施工因素,施工班组差异,低风险,已处理,
2a57313eb691,demo_experiment_v2.csv,16,V2-015,四分之三跨,2025-08-15,100.0,90.65,-9.349999999999994,0.9065000000000001,C50混凝土,B20250815,二班,否,,否,,待归因,正常范围,中风险,已处理,
