raw_row_number,record_id,device_id,timestamp,source_file,raw_water_flow,raw_flow_unit,raw_droplet_diameter,raw_diameter_unit,raw_water_temperature,raw_temp_unit,raw_air_velocity,raw_velocity_unit
1,R001,CT-001,2026-06-10 08:00:00,sensor_a.csv,120.5,m3/h,2.5,mm,32.5,degC,3.2,m/s
2,R002,CT-002,2026-06-10 08:05:00,sensor_b.csv,2000,L/min,3.1,mm,31.8,degC,2.8,m/s
3,R003,CT-001,2026-06-10 08:10:00,sensor_a.csv,125.0,m3/h,2.7,mm,33.1,celsius,3.5,m/s
4,R004,CT-003,2026-06-10 08:15:00,sensor_c.csv,1.8,m^3/h,,mm,30.2,degC,3.0,m/s
5,R005,CT-002,2026-06-10 08:20:00,sensor_b.csv,115.2,m3/h,2.9,mm,32.0,degC,,m/s
6,R006,CT-004,2026-06-10 08:25:00,sensor_d.csv,13000,L/h,3.0,mm,31.5,℃,2.9,m/s
7,R007,CT-001,2026-06-10 08:30:00,sensor_a.csv,122.3,m3/h,2.6,mm,32.8,degC,3.3,m/s
8,R008,CT-005,2026-06-10 08:35:00,sensor_e.csv,118.7,m3/h,2.8,mm,32.2,degC,3.1,m/s
9,R009,CT-002,2026-06-10 08:40:00,sensor_b.csv,2.1,m3/s,2.4,mm,31.0,degC,2.7,m/s
10,R010,CT-003,2026-06-10 08:45:00,sensor_c.csv,121.0,m3/h,2.55,mm,32.3,degC,3.0,m/s
11,R011,CT-006,2026-06-10 08:50:00,sensor_f.csv,127.4,m3/h,2.75,mm,33.0,degC,3.4,m/s
12,R012,CT-001,2026-06-10 08:55:00,sensor_a.csv,119.6,m3/h,2.65,mm,31.9,degC,2.9,m/s
13,R013,CT-004,2026-06-10 09:00:00,sensor_d.csv,9999,m3/h,25,mm,100,degC,10,m/s
14,R014,CT-007,2026-06-10 09:05:00,sensor_g.csv,123.1,m3/h,2.85,mm,32.7,degC,3.2,m/s
15,R015,CT-002,2026-06-10 09:10:00,sensor_b.csv,126.2,m3/h,2.7,mm,32.1,degC,3.0,m/s
16,R016,CT-008,2026-06-10 09:15:00,sensor_h.csv,117.8,m3/h,2.5,mm,31.7,degC,2.8,m/s
17,R017,CT-003,2026-06-10 09:20:00,,,,mm,32.4,degC,3.1,m/s,sensor_c.csv
18,R018,CT-005,2026-06-10 09:25:00,,124.5,m3/h,2.6,mm,degC,3.3,m/s,sensor_e.csv
19,R019,CT-009,2026-06-10 09:30:00,sensor_i.csv,120.0,m3/h,2.7,mm,32.6,degC,3.2,m/s
20,R020,CT-001,2026-06-10 09:35:00,sensor_a.csv,122.7,m3/h,2.55,mm,32.0,degC,3.0,m/s
21,R021,CT-010,2026-06-10 09:40:00,sensor_j.csv,128.3,m3/h,2.9,mm,33.2,degC,3.5,m/s
22,R022,CT-006,2026-06-10 09:45:00,sensor_f.csv,125.1,m3/h,2.75,mm,32.8,degC,3.4,m/s
23,R023,CT-002,2026-06-10 09:50:00,sensor_b.csv,121.5,m3/h,2.65,mm,31.6,degC,2.7,m/s
24,R024,CT-011,2026-06-10 09:55:00,sensor_k.csv,123.0,m3/h,2.8,mm,32.5,degC,3.2,m/s
25,R025,CT-007,2026-06-10 10:00:00,sensor_g.csv,119.2,m3/h,2.5,mm,31.8,degC,2.9,m/s
