record_id,device_id,timestamp,source_file,water_flow_m3h,flow_conversion_from,flow_conversion_factor,droplet_diameter_mm,water_temperature_degC,air_velocity_ms,processing_status,failure_reasons
R001,CT-001,2026-06-10 08:00:00,sensor_a.csv,120.5,,,2.5,32.5,3.2,normalized,
R002,CT-002,2026-06-10 08:05:00,sensor_b.csv,120.0,2000.0L/min,0.06,3.1,31.8,2.8,normalized,
R003,CT-001,2026-06-10 08:10:00,sensor_a.csv,125.0,,,2.7,33.1,3.5,normalized,
R004,CT-003,2026-06-10 08:15:00,sensor_c.csv,1.8,,,,30.2,3.0,unit_or_threshold_issue,"水流量超出阈值:1.80m³/h超出[50.0,200.0] | 必要字段缺失:水滴直径数值缺失"
R005,CT-002,2026-06-10 08:20:00,sensor_b.csv,115.2,,,2.9,32.0,,unit_or_threshold_issue,必要字段缺失:风速数值缺失
R006,CT-004,2026-06-10 08:25:00,sensor_d.csv,13.0,13000.0L/h,0.001,3.0,31.5,2.9,unit_or_threshold_issue,"水流量超出阈值:13.00m³/h超出[50.0,200.0]"
R007,CT-001,2026-06-10 08:30:00,sensor_a.csv,122.3,,,2.6,32.8,3.3,normalized,
R008,CT-005,2026-06-10 08:35:00,sensor_e.csv,118.7,,,2.8,32.2,3.1,normalized,
R009,CT-002,2026-06-10 08:40:00,sensor_b.csv,7560.0,2.1m3/s,3600.0,2.4,31.0,2.7,unit_or_threshold_issue,"水流量超出阈值:7560.00m³/h超出[50.0,200.0]"
R010,CT-003,2026-06-10 08:45:00,sensor_c.csv,121.0,,,2.55,32.3,3.0,normalized,
R011,CT-006,2026-06-10 08:50:00,sensor_f.csv,127.4,,,2.75,33.0,3.4,normalized,
R012,CT-001,2026-06-10 08:55:00,sensor_a.csv,119.6,,,2.65,31.9,2.9,normalized,
R013,CT-004,2026-06-10 09:00:00,sensor_d.csv,9999.0,,,25.0,100.0,10.0,unit_or_threshold_issue,"水流量超出阈值:9999.00m³/h超出[50.0,200.0] | 水滴直径超出阈值:25.00mm超出[1.0,5.0] | 水温超出阈值:100.00℃超出[10.0,50.0] | 风速超出阈值:10.00m/s超出[0.5,8.0]"
R014,CT-007,2026-06-10 09:05:00,sensor_g.csv,123.1,,,2.85,32.7,3.2,normalized,
R015,CT-002,2026-06-10 09:10:00,sensor_b.csv,126.2,,,2.7,32.1,3.0,normalized,
R016,CT-008,2026-06-10 09:15:00,sensor_h.csv,117.8,,,2.5,31.7,2.8,normalized,
R017,CT-003,2026-06-10 09:20:00,,,,,,,,unit_or_threshold_issue,必要字段缺失:水流量数值缺失 | 必要字段缺失:水滴直径数值缺失 | 必要字段缺失:水温数值缺失 | 必要字段缺失:风速数值缺失
R018,CT-005,2026-06-10 09:25:00,,124.5,,,2.6,,,unit_or_threshold_issue,必要字段缺失:水温数值缺失 | 必要字段缺失:风速数值缺失
R019,CT-009,2026-06-10 09:30:00,sensor_i.csv,120.0,,,2.7,32.6,3.2,normalized,
R020,CT-001,2026-06-10 09:35:00,sensor_a.csv,122.7,,,2.55,32.0,3.0,normalized,
R021,CT-010,2026-06-10 09:40:00,sensor_j.csv,128.3,,,2.9,33.2,3.5,normalized,
R022,CT-006,2026-06-10 09:45:00,sensor_f.csv,125.1,,,2.75,32.8,3.4,normalized,
R023,CT-002,2026-06-10 09:50:00,sensor_b.csv,121.5,,,2.65,31.6,2.7,normalized,
R024,CT-011,2026-06-10 09:55:00,sensor_k.csv,123.0,,,2.8,32.5,3.2,normalized,
R025,CT-007,2026-06-10 10:00:00,sensor_g.csv,119.2,,,2.5,31.8,2.9,normalized,
