record_id,device_id,timestamp,source_file,duplicate_group_size,duplicate_index_in_group,water_flow_m3h,droplet_diameter_mm,water_temperature_degC,heat_dissipation_kW,processing_status,failure_reasons
R001,CT-001,2026-06-10 08:00:00,sensor_a.csv,5,1,120.5,2.5,32.5,6579.3,calculated_but_duplicate,设备编号重复:设备CT-001出现5次，本条为第1条
R003,CT-001,2026-06-10 08:10:00,sensor_a.csv,5,2,125.0,2.7,33.1,6436.1111,calculated_but_duplicate,设备编号重复:设备CT-001出现5次，本条为第2条
R007,CT-001,2026-06-10 08:30:00,sensor_a.csv,5,3,122.3,2.6,32.8,6480.0185,calculated_but_duplicate,设备编号重复:设备CT-001出现5次，本条为第3条
R012,CT-001,2026-06-10 08:55:00,sensor_a.csv,5,4,119.6,2.65,31.9,6046.7955,calculated_but_duplicate,设备编号重复:设备CT-001出现5次，本条为第4条
R020,CT-001,2026-06-10 09:35:00,sensor_a.csv,5,5,122.7,2.55,32.0,6467.0118,calculated_but_duplicate,设备编号重复:设备CT-001出现5次，本条为第5条
R002,CT-002,2026-06-10 08:05:00,sensor_b.csv,5,1,120.0,3.1,31.8,5170.0645,calculated_but_duplicate,设备编号重复:设备CT-002出现5次，本条为第1条
R005,CT-002,2026-06-10 08:20:00,sensor_b.csv,5,2,115.2,2.9,32.0,5338.9241,unit_or_threshold_issue,必要字段缺失:风速数值缺失 | 设备编号重复:设备CT-002出现5次，本条为第2条
R009,CT-002,2026-06-10 08:40:00,sensor_b.csv,5,3,7560.0,2.4,31.0,410130.0,unit_or_threshold_issue,"水流量超出阈值:7560.00m³/h超出[50.0,200.0] | 计算结果超出阈值:散热功率410130.00kW超出[100.0,7000.0] | 设备编号重复:设备CT-002出现5次，本条为第3条"
R015,CT-002,2026-06-10 09:10:00,sensor_b.csv,5,4,126.2,2.7,32.1,6301.5867,calculated_but_duplicate,设备编号重复:设备CT-002出现5次，本条为第4条
R023,CT-002,2026-06-10 09:50:00,sensor_b.csv,5,5,121.5,2.65,31.6,6085.0868,calculated_but_duplicate,设备编号重复:设备CT-002出现5次，本条为第5条
R004,CT-003,2026-06-10 08:15:00,sensor_c.csv,3,1,1.8,,30.2,,unit_or_threshold_issue,"水流量超出阈值:1.80m³/h超出[50.0,200.0] | 必要字段缺失:水滴直径数值缺失 | 公式参数缺失:缺少参数droplet_diameter | 设备编号重复:设备CT-003出现3次，本条为第1条"
R010,CT-003,2026-06-10 08:45:00,sensor_c.csv,3,2,121.0,2.55,32.3,6437.2,calculated_but_duplicate,设备编号重复:设备CT-003出现3次，本条为第2条
R017,CT-003,2026-06-10 09:20:00,,3,3,,,,,unit_or_threshold_issue,"必要字段缺失:水流量数值缺失 | 必要字段缺失:水滴直径数值缺失 | 必要字段缺失:水温数值缺失 | 必要字段缺失:风速数值缺失 | 公式参数缺失:缺少参数water_flow,water_temperature,droplet_diameter | 设备编号重复:设备CT-003出现3次，本条为第3条"
R006,CT-004,2026-06-10 08:25:00,sensor_d.csv,2,1,13.0,3.0,31.5,573.3,unit_or_threshold_issue,"水流量超出阈值:13.00m³/h超出[50.0,200.0] | 设备编号重复:设备CT-004出现2次，本条为第1条"
R013,CT-004,2026-06-10 09:00:00,sensor_d.csv,2,2,9999.0,25.0,100.0,167983.2,unit_or_threshold_issue,"水流量超出阈值:9999.00m³/h超出[50.0,200.0] | 水滴直径超出阈值:25.00mm超出[1.0,5.0] | 水温超出阈值:100.00℃超出[10.0,50.0] | 风速超出阈值:10.00m/s超出[0.5,8.0] | 计算结果超出阈值:散热功率167983.20kW超出[100.0,7000.0] | 设备编号重复:设备CT-004出现2次，本条为第2条"
R008,CT-005,2026-06-10 08:35:00,sensor_e.csv,2,1,118.7,2.8,32.2,5733.21,calculated_but_duplicate,设备编号重复:设备CT-005出现2次，本条为第1条
R018,CT-005,2026-06-10 09:25:00,,2,2,124.5,2.6,,,unit_or_threshold_issue,必要字段缺失:水温数值缺失 | 必要字段缺失:风速数值缺失 | 公式参数缺失:缺少参数water_temperature | 设备编号重复:设备CT-005出现2次，本条为第2条
R011,CT-006,2026-06-10 08:50:00,sensor_f.csv,2,1,127.4,2.75,33.0,6420.96,calculated_but_duplicate,设备编号重复:设备CT-006出现2次，本条为第1条
R022,CT-006,2026-06-10 09:45:00,sensor_f.csv,2,2,125.1,2.75,32.8,6266.8276,calculated_but_duplicate,设备编号重复:设备CT-006出现2次，本条为第2条
R014,CT-007,2026-06-10 09:05:00,sensor_g.csv,2,1,123.1,2.85,32.7,5932.1242,calculated_but_duplicate,设备编号重复:设备CT-007出现2次，本条为第1条
R025,CT-007,2026-06-10 10:00:00,sensor_g.csv,2,2,119.2,2.5,31.8,6368.1408,calculated_but_duplicate,设备编号重复:设备CT-007出现2次，本条为第2条
