record_id,device_id,timestamp,source_file,final_status,processing_status,heat_dissipation_kW,is_duplicate_device,has_jump,failure_reasons,evidence_needed
R001,CT-001,2026-06-10 08:00:00,sensor_a.csv,待补证据_设备编号重复,calculated_but_duplicate,6579.3,True,False,设备编号重复:设备CT-001出现5次，本条为第1条,设备编号重复:设备CT-001出现5次，本条为第1条
R002,CT-002,2026-06-10 08:05:00,sensor_b.csv,待补证据_设备编号重复,calculated_but_duplicate,5170.0645,True,False,设备编号重复:设备CT-002出现5次，本条为第1条,设备编号重复:设备CT-002出现5次，本条为第1条
R003,CT-001,2026-06-10 08:10:00,sensor_a.csv,待补证据_设备编号重复,calculated_but_duplicate,6436.1111,True,False,设备编号重复:设备CT-001出现5次，本条为第2条,设备编号重复:设备CT-001出现5次，本条为第2条
R004,CT-003,2026-06-10 08:15:00,sensor_c.csv,待补证据_设备编号重复,unit_or_threshold_issue,,True,False,"水流量超出阈值:1.80m³/h超出[50.0,200.0] | 必要字段缺失:水滴直径数值缺失 | 公式参数缺失:缺少参数droplet_diameter | 设备编号重复:设备CT-003出现3次，本条为第1条","水流量超出阈值:1.80m³/h超出[50.0,200.0] | 必要字段缺失:水滴直径数值缺失 | 公式参数缺失:缺少参数droplet_diameter | 设备编号重复:设备CT-003出现3次，本条为第1条"
R005,CT-002,2026-06-10 08:20:00,sensor_b.csv,待补证据_设备编号重复,unit_or_threshold_issue,5338.9241,True,False,必要字段缺失:风速数值缺失 | 设备编号重复:设备CT-002出现5次，本条为第2条,必要字段缺失:风速数值缺失 | 设备编号重复:设备CT-002出现5次，本条为第2条
R006,CT-004,2026-06-10 08:25:00,sensor_d.csv,待补证据_设备编号重复,unit_or_threshold_issue,573.3,True,False,"水流量超出阈值:13.00m³/h超出[50.0,200.0] | 设备编号重复:设备CT-004出现2次，本条为第1条","水流量超出阈值:13.00m³/h超出[50.0,200.0] | 设备编号重复:设备CT-004出现2次，本条为第1条"
R007,CT-001,2026-06-10 08:30:00,sensor_a.csv,待补证据_设备编号重复,calculated_but_duplicate,6480.0185,True,False,设备编号重复:设备CT-001出现5次，本条为第3条,设备编号重复:设备CT-001出现5次，本条为第3条
R008,CT-005,2026-06-10 08:35:00,sensor_e.csv,待补证据_设备编号重复,calculated_but_duplicate,5733.21,True,False,设备编号重复:设备CT-005出现2次，本条为第1条,设备编号重复:设备CT-005出现2次，本条为第1条
R009,CT-002,2026-06-10 08:40:00,sensor_b.csv,待补证据_设备编号重复,unit_or_threshold_issue,410130.0,True,True,"水流量超出阈值:7560.00m³/h超出[50.0,200.0] | 计算结果超出阈值:散热功率410130.00kW超出[100.0,7000.0] | 设备编号重复:设备CT-002出现5次，本条为第3条","水流量超出阈值:7560.00m³/h超出[50.0,200.0] | 计算结果超出阈值:散热功率410130.00kW超出[100.0,7000.0] | 设备编号重复:设备CT-002出现5次，本条为第3条"
R010,CT-003,2026-06-10 08:45:00,sensor_c.csv,待补证据_设备编号重复,calculated_but_duplicate,6437.2,True,False,设备编号重复:设备CT-003出现3次，本条为第2条,设备编号重复:设备CT-003出现3次，本条为第2条
R011,CT-006,2026-06-10 08:50:00,sensor_f.csv,待补证据_设备编号重复,calculated_but_duplicate,6420.96,True,False,设备编号重复:设备CT-006出现2次，本条为第1条,设备编号重复:设备CT-006出现2次，本条为第1条
R012,CT-001,2026-06-10 08:55:00,sensor_a.csv,待补证据_设备编号重复,calculated_but_duplicate,6046.7955,True,False,设备编号重复:设备CT-001出现5次，本条为第4条,设备编号重复:设备CT-001出现5次，本条为第4条
R013,CT-004,2026-06-10 09:00:00,sensor_d.csv,待补证据_设备编号重复,unit_or_threshold_issue,167983.2,True,True,"水流量超出阈值:9999.00m³/h超出[50.0,200.0] | 水滴直径超出阈值:25.00mm超出[1.0,5.0] | 水温超出阈值:100.00℃超出[10.0,50.0] | 风速超出阈值:10.00m/s超出[0.5,8.0] | 计算结果超出阈值:散热功率167983.20kW超出[100.0,7000.0] | 设备编号重复:设备CT-004出现2次，本条为第2条","水流量超出阈值:9999.00m³/h超出[50.0,200.0] | 水滴直径超出阈值:25.00mm超出[1.0,5.0] | 水温超出阈值:100.00℃超出[10.0,50.0] | 风速超出阈值:10.00m/s超出[0.5,8.0] | 计算结果超出阈值:散热功率167983.20kW超出[100.0,7000.0] | 设备编号重复:设备CT-004出现2次，本条为第2条"
