anomaly_id,record_id,timestamp,anomaly_type,value,threshold_value,threshold_name,nameplate_version,nameplate_snapshot_hash
anom_000001,wd_000014,2024-06-14 09:10:00,temp_high,32.2,32.0,water_drop_temp_high,3,49d07e80b7a87792
anom_000002,wd_000015,2024-06-14 09:15:00,temp_high,32.5,32.0,water_drop_temp_high,3,49d07e80b7a87792
anom_000003,wd_000015,2024-06-14 09:15:00,flow_high,105.0,100.0,water_drop_flow_high,3,49d07e80b7a87792
anom_000004,wd_000016,2024-06-14 09:20:00,temp_high,32.8,32.0,water_drop_temp_high,3,49d07e80b7a87792
anom_000005,wd_000017,2024-06-14 09:25:00,temp_high,33.1,32.0,water_drop_temp_high,3,49d07e80b7a87792
anom_000006,wd_000018,2024-06-14 09:30:00,temp_high,33.4,32.0,water_drop_temp_high,3,49d07e80b7a87792
anom_000007,wd_000019,2024-06-14 09:35:00,temp_high,33.7,32.0,water_drop_temp_high,3,49d07e80b7a87792
anom_000008,wd_000025,2024-06-14 10:05:00,temp_high,36.2,32.0,water_drop_temp_high,3,49d07e80b7a87792
anom_000009,wd_000034,2024-06-14 10:50:00,temp_high,32.2,32.0,water_drop_temp_high,3,49d07e80b7a87792
anom_000010,wd_000035,2024-06-14 10:55:00,temp_high,32.5,32.0,water_drop_temp_high,3,49d07e80b7a87792
anom_000011,wd_000036,2024-06-14 11:00:00,temp_high,32.8,32.0,water_drop_temp_high,3,49d07e80b7a87792
anom_000012,wd_000037,2024-06-14 11:05:00,temp_high,33.1,32.0,water_drop_temp_high,3,49d07e80b7a87792
anom_000013,wd_000038,2024-06-14 11:10:00,temp_high,33.4,32.0,water_drop_temp_high,3,49d07e80b7a87792
anom_000014,wd_000039,2024-06-14 11:15:00,temp_high,33.7,32.0,water_drop_temp_high,3,49d07e80b7a87792
anom_000015,wd_000040,2024-06-14 11:20:00,temp_high,33.5,32.0,water_drop_temp_high,3,49d07e80b7a87792
anom_000016,wd_000054,2024-06-14 12:30:00,temp_high,32.2,32.0,water_drop_temp_high,3,49d07e80b7a87792
anom_000017,wd_000056,2024-06-14 12:40:00,temp_high,32.8,32.0,water_drop_temp_high,3,49d07e80b7a87792
anom_000018,wd_000057,2024-06-14 12:45:00,temp_high,33.1,32.0,water_drop_temp_high,3,49d07e80b7a87792
anom_000019,wd_000058,2024-06-14 12:50:00,temp_high,33.4,32.0,water_drop_temp_high,3,49d07e80b7a87792
anom_000020,wd_000059,2024-06-14 12:55:00,temp_high,33.7,32.0,water_drop_temp_high,3,49d07e80b7a87792
anom_000021,wd_000074,2024-06-14 14:10:00,temp_high,32.2,32.0,water_drop_temp_high,3,49d07e80b7a87792
anom_000022,wd_000075,2024-06-14 14:15:00,temp_high,32.5,32.0,water_drop_temp_high,3,49d07e80b7a87792
anom_000023,wd_000076,2024-06-14 14:20:00,temp_high,32.8,32.0,water_drop_temp_high,3,49d07e80b7a87792
anom_000024,wd_000077,2024-06-14 14:25:00,temp_high,33.1,32.0,water_drop_temp_high,3,49d07e80b7a87792
anom_000025,wd_000078,2024-06-14 14:30:00,temp_high,33.4,32.0,water_drop_temp_high,3,49d07e80b7a87792
anom_000026,wd_000079,2024-06-14 14:35:00,temp_high,33.7,32.0,water_drop_temp_high,3,49d07e80b7a87792
anom_000027,wd_000080,2024-06-14 14:40:00,flow_low,8.5,10.0,water_drop_flow_low,3,49d07e80b7a87792
anom_000028,wd_000094,2024-06-14 15:50:00,temp_high,32.2,32.0,water_drop_temp_high,3,49d07e80b7a87792
anom_000029,wd_000095,2024-06-14 15:55:00,temp_high,32.5,32.0,water_drop_temp_high,3,49d07e80b7a87792
anom_000030,wd_000096,2024-06-14 16:00:00,temp_high,32.8,32.0,water_drop_temp_high,3,49d07e80b7a87792
