sample_id,timestamp,battery_id,voltage_mv,current_ma,resistance_raw_mohm,temperature_c,data_source,operator,remark_id
BAT-S001,2026-06-12 08:30:00,BT-2026-001,4182,150.2,21.8,24.5,Meter-A,张工,
BAT-S002,2026-06-12 08:35:00,BT-2026-001,4180,150.5,22.1,24.6,Meter-A,张工,
BAT-S003,2026-06-12 08:40:00,BT-2026-001,4178,149.8,21.9,24.7,Meter-A,张工,
BAT-S004,2026-06-12 08:45:00,BT-2026-001,4177,150.1,22.0,24.5,Meter-A,张工,
BAT-S005,2026-06-12 08:50:00,BT-2026-001,4175,150.3,22.3,24.8,Meter-A,张工,
BAT-S006,2026-06-12 08:55:00,BT-2026-001,4173,150.0,22.2,24.9,Meter-A,张工,
BAT-S007,2026-06-12 09:00:00,BT-2026-001,4170,149.5,22.5,25.1,Meter-A,张工,
BAT-S008,2026-06-12 09:05:00,BT-2026-001,4168,149.7,22.4,25.0,Meter-A,张工,
BAT-S009,2026-06-12 09:10:00,BT-2026-001,4165,150.2,22.6,25.2,Meter-A,张工,
BAT-S010,2026-06-12 09:15:00,BT-2026-001,4162,149.9,22.8,25.3,Meter-A,张工,
BAT-S011,2026-06-12 09:20:00,BT-2026-001,4160,150.1,22.7,25.1,Meter-A,张工,
BAT-S012,2026-06-12 09:25:00,BT-2026-001,4158,150.4,22.9,25.4,Meter-A,张工,
BAT-S013,2026-06-12 09:30:00,BT-2026-001,4155,149.8,23.1,25.5,Meter-A,张工,
BAT-S014,2026-06-12 09:35:00,BT-2026-001,4152,150.0,23.0,25.3,Meter-A,张工,
BAT-S015,2026-06-12 09:40:00,BT-2026-001,4150,150.3,23.2,25.6,Meter-A,张工,
BAT-S016,2026-06-12 09:45:00,BT-2026-001,4148,149.7,23.4,25.7,Meter-A,张工,
BAT-S017,2026-06-12 09:50:00,BT-2026-001,4145,150.2,23.5,25.8,Meter-A,张工,
BAT-S018,2026-06-12 09:55:00,BT-2026-001,4142,149.9,23.3,25.6,Meter-A,张工,
BAT-S019,2026-06-12 10:00:00,BT-2026-001,4140,150.1,23.6,25.9,Meter-A,张工,
BAT-S020,2026-06-12 10:05:00,BT-2026-001,4138,150.4,23.7,26.0,Meter-A,张工,
BAT-S021,2026-06-12 10:10:00,BT-2026-001,4135,149.8,23.9,26.1,Meter-A,张工,
BAT-S022,2026-06-12 10:15:00,BT-2026-001,4132,150.0,24.1,26.2,Meter-A,张工,
BAT-S023,2026-06-12 10:20:00,BT-2026-001,4130,150.3,24.3,26.3,Meter-A,张工,
BAT-S024,2026-06-12 10:25:00,BT-2026-001,4128,149.7,24.0,26.1,Meter-A,张工,
BAT-S025,2026-06-12 10:30:00,BT-2026-001,4125,150.2,24.5,26.4,Meter-A,张工,
BAT-S026,2026-06-12 10:35:00,BT-2026-001,4122,149.9,24.2,26.2,Meter-A,张工,
BAT-S027,2026-06-12 10:40:00,BT-2026-001,4120,150.1,24.7,26.5,Meter-A,张工,
BAT-S028,2026-06-12 10:45:00,BT-2026-001,4118,150.4,24.9,26.6,Meter-A,张工,
BAT-S029,2026-06-12 10:50:00,BT-2026-001,4115,149.8,25.1,26.7,Meter-A,张工,
BAT-S030,2026-06-12 10:55:00,BT-2026-001,4112,150.0,24.8,26.5,Meter-A,张工,
BAT-S031,2026-06-12 11:00:00,BT-2026-002,3985,148.5,28.5,26.8,Meter-A,李工,
BAT-S032,2026-06-12 11:05:00,BT-2026-002,3982,148.8,28.7,26.9,Meter-A,李工,
BAT-S033,2026-06-12 11:10:00,BT-2026-002,3980,148.2,28.3,26.7,Meter-A,李工,
BAT-S034,2026-06-12 11:15:00,BT-2026-002,3978,148.6,28.9,27.0,Meter-A,李工,
BAT-S035,2026-06-12 11:20:00,BT-2026-002,3975,148.4,29.1,27.1,Meter-A,李工,
BAT-S036,2026-06-12 11:25:00,BT-2026-002,3972,148.9,29.3,27.2,Meter-A,李工,
BAT-S037,2026-06-12 11:30:00,BT-2026-002,3970,148.1,28.8,27.0,Meter-A,李工,
BAT-S038,2026-06-12 11:35:00,BT-2026-002,3968,148.7,29.5,27.3,Meter-A,李工,
BAT-S039,2026-06-12 11:40:00,BT-2026-002,3965,148.3,29.2,27.1,Meter-A,李工,
BAT-S040,2026-06-12 11:45:00,BT-2026-002,3962,148.5,29.7,27.4,Meter-A,李工,
BAT-S041,2026-06-12 11:50:00,BT-2026-002,3960,148.8,29.4,27.2,Meter-A,李工,
BAT-S042,2026-06-12 11:55:00,BT-2026-002,3958,148.2,29.9,27.5,Meter-A,李工,
BAT-S043,2026-06-12 12:00:00,BT-2026-002,3955,148.6,30.1,27.6,Meter-A,李工,
BAT-S044,2026-06-12 12:05:00,BT-2026-002,3952,148.4,30.3,27.5,Meter-A,李工,
BAT-S045,2026-06-12 12:10:00,BT-2026-002,3950,148.9,29.8,27.3,Meter-A,李工,
BAT-S046,2026-06-12 12:15:00,BT-2026-002,3948,148.1,30.5,27.7,Meter-A,李工,
BAT-S047,2026-06-12 12:20:00,BT-2026-002,3945,148.7,30.2,27.5,Meter-A,李工,
BAT-S048,2026-06-12 12:25:00,BT-2026-002,3942,148.3,30.7,27.8,Meter-A,李工,
BAT-S049,2026-06-12 12:30:00,BT-2026-002,3940,148.5,30.4,27.6,Meter-A,李工,
BAT-S050,2026-06-12 12:35:00,BT-2026-002,3938,148.8,30.9,27.9,Meter-A,李工,
BAT-S051,2026-06-12 13:30:00,BT-2026-003,4205,151.0,18.2,25.2,Meter-B,王工,
BAT-S052,2026-06-12 13:35:00,BT-2026-003,4203,151.2,18.4,25.3,Meter-B,王工,
BAT-S053,2026-06-12 13:40:00,BT-2026-003,4200,150.8,18.1,25.1,Meter-B,王工,
BAT-S054,2026-06-12 13:45:00,BT-2026-003,4198,151.5,18.6,25.4,Meter-B,王工,
BAT-S055,2026-06-12 13:50:00,BT-2026-003,4195,151.1,18.3,25.2,Meter-B,王工,
BAT-S056,2026-06-12 13:55:00,BT-2026-003,4192,150.9,18.7,25.5,Meter-B,王工,
BAT-S057,2026-06-12 14:00:00,BT-2026-003,4190,151.3,18.5,25.3,Meter-B,王工,
BAT-S058,2026-06-12 14:05:00,BT-2026-003,4188,151.0,18.9,25.6,Meter-B,王工,
BAT-S059,2026-06-12 14:10:00,BT-2026-003,4185,150.7,18.8,25.4,Meter-B,王工,
BAT-S060,2026-06-12 14:15:00,BT-2026-003,4182,151.4,19.1,25.7,Meter-B,王工,
BAT-S061,2026-06-12 14:20:00,BT-2026-003,4180,151.2,19.3,25.8,Meter-B,王工,
BAT-S062,2026-06-12 14:25:00,BT-2026-003,4178,150.8,19.0,25.6,Meter-B,王工,
BAT-S063,2026-06-12 14:30:00,BT-2026-003,4175,151.5,19.5,25.9,Meter-B,王工,
BAT-S064,2026-06-12 14:35:00,BT-2026-003,4172,151.1,19.2,25.7,Meter-B,王工,
BAT-S065,2026-06-12 14:40:00,BT-2026-003,4170,150.9,19.7,26.0,Meter-B,王工,
BAT-S066,2026-06-12 14:45:00,BT-2026-003,4168,151.3,19.4,25.8,Meter-B,王工,
BAT-S067,2026-06-12 14:50:00,BT-2026-003,4165,150.7,19.9,26.1,Meter-B,王工,
BAT-S068,2026-06-12 14:55:00,BT-2026-003,4162,151.2,19.6,25.9,Meter-B,王工,
BAT-S069,2026-06-12 15:00:00,BT-2026-003,4160,151.0,20.1,26.2,Meter-B,王工,
BAT-S070,2026-06-12 15:05:00,BT-2026-003,4158,151.4,19.8,26.0,Meter-B,王工,
BAT-S071,2026-06-12 15:10:00,BT-2026-003,4155,150.9,20.3,26.3,Meter-B,王工,
BAT-S072,2026-06-12 15:15:00,BT-2026-003,4152,150.8,20.0,26.1,Meter-B,王工,
BAT-S073,2026-06-12 15:20:00,BT-2026-003,4150,151.3,20.5,26.4,Meter-B,王工,
BAT-S074,2026-06-12 15:25:00,BT-2026-003,4148,150.7,20.2,26.2,Meter-B,王工,
BAT-S075,2026-06-12 15:30:00,BT-2026-003,4145,151.1,20.7,26.5,Meter-B,王工,
BAT-S076,2026-06-12 15:35:00,BT-2026-003,4142,151.5,20.4,26.3,Meter-B,王工,
BAT-S077,2026-06-12 15:40:00,BT-2026-003,4140,150.8,20.9,26.6,Meter-B,王工,
BAT-S078,2026-06-12 15:45:00,BT-2026-003,4138,151.2,20.6,26.4,Meter-B,王工,
BAT-S079,2026-06-12 15:50:00,BT-2026-003,4135,151.0,21.1,26.7,Meter-B,王工,
BAT-S080,2026-06-12 15:55:00,BT-2026-003,4132,151.3,20.8,26.5,Meter-B,王工,
BAT-S081,2026-06-12 16:00:00,BT-2026-004,4090,145.0,95.6,26.8,Meter-B,王工,RM-OLD-001
BAT-S082,2026-06-12 16:05:00,BT-2026-004,4088,145.2,98.3,26.9,Meter-B,王工,RM-OLD-001
BAT-S083,2026-06-12 16:10:00,BT-2026-004,4085,144.8,102.1,27.0,Meter-B,王工,RM-OLD-001
BAT-S084,2026-06-12 16:15:00,BT-2026-004,4082,145.1,97.8,27.1,Meter-B,王工,RM-OLD-001
BAT-S085,2026-06-12 16:20:00,BT-2026-004,4080,145.3,99.5,27.2,Meter-B,王工,RM-OLD-001
BAT-S086,2026-06-12 16:25:00,BT-2026-004,4078,144.9,101.2,27.3,Meter-B,王工,RM-OLD-001
BAT-S087,2026-06-12 16:30:00,BT-2026-004,4075,145.0,96.9,27.2,Meter-B,王工,RM-OLD-001
BAT-S088,2026-06-12 16:35:00,BT-2026-004,4072,145.4,98.7,27.4,Meter-B,王工,RM-OLD-001
BAT-S089,2026-06-12 16:40:00,BT-2026-004,4070,144.7,103.5,27.5,Meter-B,王工,RM-OLD-001
BAT-S090,2026-06-12 16:45:00,BT-2026-004,4068,145.1,95.2,27.4,Meter-B,王工,RM-OLD-001
BAT-S091,2026-06-12 16:50:00,BT-2026-004,4065,145.3,97.6,27.6,Meter-B,王工,RM-OLD-001
BAT-S092,2026-06-12 16:55:00,BT-2026-004,4062,144.8,99.1,27.5,Meter-B,王工,RM-OLD-001
BAT-S093,2026-06-12 17:00:00,BT-2026-004,4060,145.2,100.8,27.7,Meter-B,王工,RM-OLD-001
