battery_id,sample_id,idx_in_group,timestamp,temp_c,voltage_mv_raw,current_ma_raw,resistance_mohm_raw,conv_voltage,conv_current,conv_resistance_raw,tc_formula,tc_compensated_mohm,conv_resistance_compensated,zscore,iqr_bounds,stat_outlier,mat_outlier_force,mat_flag_external,mat_rule_type,is_outlier_final,outlier_source,outlier_reason,remark_id,material_link
BT-2026-001,BAT-S001,1,2026-06-12 08:30:00,24.5,4182.0,150.2,21.8,4182.0000 mV x 0.001 = 4.182000 V,150.2000 mA x 0.001 = 0.150200 A,21.8000 mOhm x 0.001 = 0.021800 Ohm,R_comp = 21.800 / [1 + 0.0092 x (-0.50)] = 21.800 / 0.99540 = 21.9007 mOhm,21.9007,21.9007 mOhm x 0.001 = 0.021901 Ohm,-1.5858,"[20.495, 26.105] mOhm",False,False,False,NONE,False,NONE,,,无关联材料
BT-2026-001,BAT-S002,2,2026-06-12 08:35:00,24.6,4180.0,150.5,22.1,4180.0000 mV x 0.001 = 4.180000 V,150.5000 mA x 0.001 = 0.150500 A,22.1000 mOhm x 0.001 = 0.022100 Ohm,R_comp = 22.100 / [1 + 0.0092 x (-0.40)] = 22.100 / 0.99632 = 22.1816 mOhm,22.1816,22.1816 mOhm x 0.001 = 0.022182 Ohm,-1.2721,"[20.495, 26.105] mOhm",False,False,False,NONE,False,NONE,,,无关联材料
BT-2026-001,BAT-S003,3,2026-06-12 08:40:00,24.7,4178.0,149.8,21.9,4178.0000 mV x 0.001 = 4.178000 V,149.8000 mA x 0.001 = 0.149800 A,21.9000 mOhm x 0.001 = 0.021900 Ohm,R_comp = 21.900 / [1 + 0.0092 x (-0.30)] = 21.900 / 0.99724 = 21.9606 mOhm,21.9606,21.9606 mOhm x 0.001 = 0.021961 Ohm,-1.4812,"[20.495, 26.105] mOhm",False,False,False,NONE,False,NONE,,,无关联材料
BT-2026-001,BAT-S004,4,2026-06-12 08:45:00,24.5,4177.0,150.1,22.0,4177.0000 mV x 0.001 = 4.177000 V,150.1000 mA x 0.001 = 0.150100 A,22.0000 mOhm x 0.001 = 0.022000 Ohm,R_comp = 22.000 / [1 + 0.0092 x (-0.50)] = 22.000 / 0.99540 = 22.1017 mOhm,22.1017,22.1017 mOhm x 0.001 = 0.022102 Ohm,-1.3767,"[20.495, 26.105] mOhm",False,False,False,NONE,False,NONE,,,无关联材料
BT-2026-001,BAT-S005,5,2026-06-12 08:50:00,24.8,4175.0,150.3,22.3,4175.0000 mV x 0.001 = 4.175000 V,150.3000 mA x 0.001 = 0.150300 A,22.3000 mOhm x 0.001 = 0.022300 Ohm,R_comp = 22.300 / [1 + 0.0092 x (-0.20)] = 22.300 / 0.99816 = 22.3411 mOhm,22.3411,22.3411 mOhm x 0.001 = 0.022341 Ohm,-1.063,"[20.495, 26.105] mOhm",False,False,False,NONE,False,NONE,,,无关联材料
BT-2026-001,BAT-S006,6,2026-06-12 08:55:00,24.9,4173.0,150.0,22.2,4173.0000 mV x 0.001 = 4.173000 V,150.0000 mA x 0.001 = 0.150000 A,22.2000 mOhm x 0.001 = 0.022200 Ohm,R_comp = 22.200 / [1 + 0.0092 x (-0.10)] = 22.200 / 0.99908 = 22.2204 mOhm,22.2204,22.2204 mOhm x 0.001 = 0.022220 Ohm,-1.1676,"[20.495, 26.105] mOhm",False,False,False,NONE,False,NONE,,,无关联材料
BT-2026-001,BAT-S007,7,2026-06-12 09:00:00,25.1,4170.0,149.5,22.5,4170.0000 mV x 0.001 = 4.170000 V,149.5000 mA x 0.001 = 0.149500 A,22.5000 mOhm x 0.001 = 0.022500 Ohm,R_comp = 22.500 / [1 + 0.0092 x (+0.10)] = 22.500 / 1.00092 = 22.4793 mOhm,22.4793,22.4793 mOhm x 0.001 = 0.022479 Ohm,-0.8539,"[20.495, 26.105] mOhm",False,False,False,NONE,False,NONE,,,无关联材料
BT-2026-001,BAT-S008,8,2026-06-12 09:05:00,25.0,4168.0,149.7,22.4,4168.0000 mV x 0.001 = 4.168000 V,149.7000 mA x 0.001 = 0.149700 A,22.4000 mOhm x 0.001 = 0.022400 Ohm,R_comp = 22.400 / [1 + 0.0092 x (+0.00)] = 22.400 / 1.00000 = 22.4000 mOhm,22.4,22.4000 mOhm x 0.001 = 0.022400 Ohm,-0.9584,"[20.495, 26.105] mOhm",False,False,False,NONE,False,NONE,,,无关联材料
BT-2026-001,BAT-S009,9,2026-06-12 09:10:00,25.2,4165.0,150.2,22.6,4165.0000 mV x 0.001 = 4.165000 V,150.2000 mA x 0.001 = 0.150200 A,22.6000 mOhm x 0.001 = 0.022600 Ohm,R_comp = 22.600 / [1 + 0.0092 x (+0.20)] = 22.600 / 1.00184 = 22.5585 mOhm,22.5585,22.5585 mOhm x 0.001 = 0.022558 Ohm,-0.7493,"[20.495, 26.105] mOhm",False,False,False,NONE,False,NONE,,,无关联材料
BT-2026-001,BAT-S010,10,2026-06-12 09:15:00,25.3,4162.0,149.9,22.8,4162.0000 mV x 0.001 = 4.162000 V,149.9000 mA x 0.001 = 0.149900 A,22.8000 mOhm x 0.001 = 0.022800 Ohm,R_comp = 22.800 / [1 + 0.0092 x (+0.30)] = 22.800 / 1.00276 = 22.7372 mOhm,22.7372,22.7372 mOhm x 0.001 = 0.022737 Ohm,-0.5402,"[20.495, 26.105] mOhm",False,False,False,NONE,False,NONE,,,无关联材料
