seq,timestamp,tension,dir,sensor_id,stage
1,1718000400,47.2,+,PL-D-04,warmup
2,1718000405,54.8,+,PL-D-04,warmup
3,1718000410,61.5,+,PL-D-04,main
4,1718000415,67.3,+,PL-D-04,main
5,1718000420,,+,PL-D-04,main
6,1718000425,,+,PL-D-04,main
7,1718000430,69.4,+,PL-D-04,main
8,1718000435,75.8,+,PL-D-04,main
9,1718000440,81.6,+,PL-D-04,main
10,1718000445,77.2,+,PL-D-04,main
11,1718000450,72.5,+,PL-D-04,main
12,1718000455,68.3,+,PL-D-04,main
13,1718000460,64.1,+,PL-D-04,cooldown
14,1718000465,59.7,+,PL-D-04,cooldown
15,1718000470,55.3,+,PL-D-04,cooldown
