trackNo,title,artist,expectedDuration,expectedTimecode,status,currentVersion,matchedFileName,matchStatus,matchConfidence,timecodeDeviation,materialDuration,materialTimecode,version,submittedBy,submittedAt,sourceBatch,latestNote,noteCreatedBy,noteCreatedAt,noteChain
1,夜曲,周杰伦,225,00:03:45.000,挂起,3,01_夜曲_立体声_v3.wav,自动匹配,95.5,620,225.3,00:03:45.620,3,小孟,2026-06-18T10:30:00.000Z,BATCH-20260618-03,时码偏半拍，待现场老师确认,张老师,2026-06-18T14:00:00.000Z,"[小孟] 初版提交，时码正常; [小孟] v2版本，时码微调+150ms; [张老师] 时码偏半拍，待现场老师确认"
2,七里香,周杰伦,299,00:04:59.000,已通过,1,02_七里香_立体声.wav,自动匹配,98.2,50,299.0,00:04:59.050,1,小孟,2026-06-14T10:00:00.000Z,BATCH-20260614-01,时码准确，音质良好，通过。,张老师,2026-06-15T09:00:00.000Z,"[张老师] 时码准确，音质良好，通过。"
3,青花瓷,周杰伦,239,00:03:59.000,不匹配,1,青花瓷_现场版.wav,不匹配,62.3,-200,238.5,00:03:58.800,1,小孟,2026-06-14T10:15:00.000Z,BATCH-20260614-01,文件名缺少序号，待重新命名,小孟,2026-06-15T11:00:00.000Z,"[小孟] 文件名缺少序号，待重新命名"
4,东风破,周杰伦,313,00:05:13.000,待处理,,,,,,,,,,,,,,,缺少音频材料，请运营上传,,,
5,发如雪,周杰伦,295,00:04:55.000,复核中,1,05_发如雪_立体声.wav,自动匹配,96.0,200,294.8,00:04:55.200,1,小孟,2026-06-14T14:00:00.000Z,BATCH-20260614-02,待现场老师复核,,,
6,霍元甲,周杰伦,215,00:03:35.000,已通过,1,06_霍元甲_立体声.wav,自动匹配,97.5,100,215.2,00:03:35.100,1,小孟,2026-06-14T10:30:00.000Z,BATCH-20260614-01,确认通过。,张老师,2026-06-15T09:30:00.000Z,"[张老师] 确认通过。"
7,双截棍,周杰伦,198,00:03:18.000,挂起,2,07_双截棍_remix_v2.wav,自动匹配,94.8,750,198.4,00:03:18.750,2,小孟,2026-06-18T09:00:00.000Z,BATCH-20260618-01,remix版本，时码偏差较大，请现场老师确认,李老师,2026-06-18T12:00:00.000Z,"[李老师] remix版本，时码偏差较大，挂起待确认"
8,龙拳,周杰伦,230,00:03:50.000,已匹配,1,08_龙拳_立体声.wav,自动匹配,96.8,80,230.1,00:03:50.080,1,小孟,2026-06-14T14:30:00.000Z,BATCH-20260614-02,文件名自动匹配，等待复核,,,
9,本草纲目,周杰伦,245,00:04:05.000,已通过,1,09_本草纲目_立体声.wav,自动匹配,97.2,120,245.3,00:04:05.120,1,小孟,2026-06-14T11:00:00.000Z,BATCH-20260614-01,通过。,张老师,2026-06-15T10:00:00.000Z,"[张老师] 通过。"
10,公公偏头痛,周杰伦,252,00:04:12.000,待处理,,,,,,,,,,,,,,,缺少v2版本材料,,,
11,晴天,周杰伦,269,00:04:29.000,复核中,2,11_晴天_立体声_v2.wav,自动匹配,95.0,300,269.2,00:04:29.300,2,小孟,2026-06-18T11:00:00.000Z,BATCH-20260618-02,v2版本上传，待复核,,,
12,稻香,周杰伦,223,00:03:43.000,已通过,1,12_稻香_立体声.wav,自动匹配,98.5,30,223.0,00:03:43.030,1,小孟,2026-06-14T11:30:00.000Z,BATCH-20260614-01,时码准确，通过。,李老师,2026-06-15T10:30:00.000Z,"[李老师] 时码准确，通过。"
13,听妈妈的话,周杰伦,264,00:04:24.000,已匹配,1,13_听妈妈的话_立体声.wav,自动匹配,97.8,150,264.2,00:04:24.150,1,小孟,2026-06-14T15:00:00.000Z,BATCH-20260614-02,自动匹配完成,,,
14,以父之名,周杰伦,342,00:05:42.000,挂起,3,14_以父之名_立体声_v3.wav,自动匹配,96.2,800,342.5,00:05:42.800,3,小孟,2026-06-18T14:00:00.000Z,BATCH-20260618-03,时码偏差800ms，需要现场乐队确认,张老师,2026-06-18T16:00:00.000Z,"[小孟] v3版本，导演要求加长前奏，时码偏移; [张老师] 时码偏差800ms，需要现场乐队确认"
15,止战之殇,周杰伦,285,00:04:45.000,待处理,,,,,,,,,,,,,,,等待音频材料上传,,,
16,七里香,周杰伦,299,00:04:59.000,已通过,1,16_七里香_en remix.wav,手动匹配,88.5,200,299.4,00:04:59.200,1,小孟,2026-06-14T15:30:00.000Z,BATCH-20260614-02,英文版确认可用。,李老师,2026-06-15T11:00:00.000Z,"[李老师] 英文版确认可用。"
17,千里之外,周杰伦,258,00:04:18.000,复核中,1,17_千里之外_feat费玉清.wav,自动匹配,92.0,250,258.3,00:04:18.250,1,小孟,2026-06-18T13:00:00.000Z,BATCH-20260618-01,feat费玉清版本，待复核,,,
18,菊花台,周杰伦,273,00:04:33.000,已匹配,1,18_菊花台_立体声.wav,自动匹配,97.0,100,273.1,00:04:33.100,1,小孟,2026-06-14T16:00:00.000Z,BATCH-20260614-02,自动匹配完成,,,
19,烟花易冷,周杰伦,294,00:04:54.000,已通过,1,19_烟花易冷_立体声.wav,自动匹配,96.5,150,294.2,00:04:54.150,1,小孟,2026-06-14T12:00:00.000Z,BATCH-20260614-01,通过。,张老师,2026-06-15T11:30:00.000Z,"[张老师] 通过。"
20,不能说的秘密,周杰伦,266,00:04:26.000,待处理,,,,,,,,,,,,,,,缺少材料,,,
