trackNo,title,artist,expectedDuration,expectedTimecode,materialDuration,materialTimecode,timecodeDeviation,deviationStatus,status,version,latestNote
1,夜曲,周杰伦,225,00:03:45.000,225.3,00:03:45.620,620,严重偏差,挂起,3,时码偏半拍，待现场老师确认
2,七里香,周杰伦,299,00:04:59.000,299.0,00:04:59.050,50,正常,已通过,1,时码准确，音质良好，通过。
3,青花瓷,周杰伦,239,00:03:59.000,238.5,00:03:58.800,-200,轻微偏差,不匹配,1,文件名缺少序号，待重新命名
4,东风破,周杰伦,313,00:05:13.000,,,,,待处理,,缺少音频材料
5,发如雪,周杰伦,295,00:04:55.000,294.8,00:04:55.200,200,轻微偏差,复核中,1,待现场老师复核
6,霍元甲,周杰伦,215,00:03:35.000,215.2,00:03:35.100,100,正常,已通过,1,确认通过。
7,双截棍,周杰伦,198,00:03:18.000,198.4,00:03:18.750,750,严重偏差,挂起,2,remix版本，时码偏差较大
8,龙拳,周杰伦,230,00:03:50.000,230.1,00:03:50.080,80,正常,已匹配,1,等待复核
9,本草纲目,周杰伦,245,00:04:05.000,245.3,00:04:05.120,120,轻微偏差,已通过,1,通过。
10,公公偏头痛,周杰伦,252,00:04:12.000,,,,,待处理,,缺少v2版本材料
11,晴天,周杰伦,269,00:04:29.000,269.2,00:04:29.300,300,轻微偏差,复核中,2,v2版本上传，待复核
12,稻香,周杰伦,223,00:03:43.000,223.0,00:03:43.030,30,正常,已通过,1,时码准确，通过。
13,听妈妈的话,周杰伦,264,00:04:24.000,264.2,00:04:24.150,150,轻微偏差,已匹配,1,自动匹配完成
14,以父之名,周杰伦,342,00:05:42.000,342.5,00:05:42.800,800,严重偏差,挂起,3,时码偏差800ms，需要现场乐队确认
15,止战之殇,周杰伦,285,00:04:45.000,,,,,待处理,,等待音频材料上传
16,七里香,周杰伦,299,00:04:59.000,299.4,00:04:59.200,200,轻微偏差,已通过,1,英文版确认可用
17,千里之外,周杰伦,258,00:04:18.000,258.3,00:04:18.250,250,轻微偏差,复核中,1,feat费玉清版本，待复核
18,菊花台,周杰伦,273,00:04:33.000,273.1,00:04:33.100,100,正常,已匹配,1,自动匹配完成
19,烟花易冷,周杰伦,294,00:04:54.000,294.2,00:04:54.150,150,轻微偏差,已通过,1,通过。
20,不能说的秘密,周杰伦,266,00:04:26.000,,,,,待处理,,缺少材料
