trackNo,title,artist,expectedTimecode,timecodeDeviation,status,latestNote
1,夜曲,周杰伦,00:03:45.000,620,挂起,时码偏半拍，待现场老师确认
2,七里香,周杰伦,00:04:59.000,50,已通过,时码准确，音质良好，通过。
3,青花瓷,周杰伦,00:03:59.000,-200,不匹配,文件名缺少序号，待重新命名
4,东风破,周杰伦,00:05:13.000,,待处理,缺少音频材料，请运营上传
5,发如雪,周杰伦,00:04:55.000,200,复核中,待现场老师复核
6,霍元甲,周杰伦,00:03:35.000,100,已通过,确认通过。
7,双截棍,周杰伦,00:03:18.000,750,挂起,remix版本，时码偏差较大，请现场老师确认
8,龙拳,周杰伦,00:03:50.000,80,已匹配,文件名自动匹配，等待复核
9,本草纲目,周杰伦,00:04:05.000,120,已通过,通过。
10,公公偏头痛,周杰伦,00:04:12.000,,待处理,缺少v2版本材料
11,晴天,周杰伦,00:04:29.000,300,复核中,v2版本上传，待复核
12,稻香,周杰伦,00:03:43.000,30,已通过,时码准确，通过。
13,听妈妈的话,周杰伦,00:04:24.000,150,已匹配,自动匹配完成
14,以父之名,周杰伦,00:05:42.000,800,挂起,时码偏差800ms，需要现场乐队确认
15,止战之殇,周杰伦,00:04:45.000,,待处理,等待音频材料上传
16,七里香,周杰伦,00:04:59.000,200,已通过,英文版确认可用。
17,千里之外,周杰伦,00:04:18.000,250,复核中,feat费玉清版本，待复核
18,菊花台,周杰伦,00:04:33.000,100,已匹配,自动匹配完成
19,烟花易冷,周杰伦,00:04:54.000,150,已通过,通过。
20,不能说的秘密,周杰伦,00:04:26.000,,待处理,缺少材料
