trackNo,title,artist,expectedDuration,expectedTimecode,status,currentVersion,matchedFileName,matchStatus,matchConfidence,timecodeDeviation,submittedBy,sourceBatch
1,夜曲,周杰伦,225,00:03:45.000,挂起,3,01_夜曲_立体声_v3.wav,自动匹配,95.5,620,小孟,BATCH-20260618-03
2,七里香,周杰伦,299,00:04:59.000,已通过,1,02_七里香_立体声.wav,自动匹配,98.2,50,小孟,BATCH-20260614-01
3,青花瓷,周杰伦,239,00:03:59.000,不匹配,1,青花瓷_现场版.wav,不匹配,62.3,-200,小孟,BATCH-20260614-01
4,东风破,周杰伦,313,00:05:13.000,待处理,,,,,,,
5,发如雪,周杰伦,295,00:04:55.000,复核中,1,05_发如雪_立体声.wav,自动匹配,96.0,200,小孟,BATCH-20260614-02
6,霍元甲,周杰伦,215,00:03:35.000,已通过,1,06_霍元甲_立体声.wav,自动匹配,97.5,100,小孟,BATCH-20260614-01
7,双截棍,周杰伦,198,00:03:18.000,挂起,2,07_双截棍_remix_v2.wav,自动匹配,94.8,750,小孟,BATCH-20260618-01
8,龙拳,周杰伦,230,00:03:50.000,已匹配,1,08_龙拳_立体声.wav,自动匹配,96.8,80,小孟,BATCH-20260614-02
9,本草纲目,周杰伦,245,00:04:05.000,已通过,1,09_本草纲目_立体声.wav,自动匹配,97.2,120,小孟,BATCH-20260614-01
10,公公偏头痛,周杰伦,252,00:04:12.000,待处理,,,,,,,
11,晴天,周杰伦,269,00:04:29.000,复核中,2,11_晴天_立体声_v2.wav,自动匹配,95.0,300,小孟,BATCH-20260618-02
12,稻香,周杰伦,223,00:03:43.000,已通过,1,12_稻香_立体声.wav,自动匹配,98.5,30,小孟,BATCH-20260614-01
13,听妈妈的话,周杰伦,264,00:04:24.000,已匹配,1,13_听妈妈的话_立体声.wav,自动匹配,97.8,150,小孟,BATCH-20260614-02
14,以父之名,周杰伦,342,00:05:42.000,挂起,3,14_以父之名_立体声_v3.wav,自动匹配,96.2,800,小孟,BATCH-20260618-03
15,止战之殇,周杰伦,285,00:04:45.000,待处理,,,,,,,
16,七里香,周杰伦,299,00:04:59.000,已通过,1,16_七里香_en remix.wav,手动匹配,88.5,200,小孟,BATCH-20260614-02
17,千里之外,周杰伦,258,00:04:18.000,复核中,1,17_千里之外_feat费玉清.wav,自动匹配,92.0,250,小孟,BATCH-20260618-01
18,菊花台,周杰伦,273,00:04:33.000,已匹配,1,18_菊花台_立体声.wav,自动匹配,97.0,100,小孟,BATCH-20260614-02
19,烟花易冷,周杰伦,294,00:04:54.000,已通过,1,19_烟花易冷_立体声.wav,自动匹配,96.5,150,小孟,BATCH-20260614-01
20,不能说的秘密,周杰伦,266,00:04:26.000,待处理,,,,,,,
