曲目编号,曲目名称,别名,文件名,演出顺序,是否返场,来源,备注,授权备注,状态
01,青花瓷,"青花,Blue White Porcelain",01-青花瓷.mp3,1,否,曲目表v3.pdf,开场确认无误,,已确认
02,晴天,"Sunny Day,晴日",02-晴天.flac,2,否,排练群截图-2026-06-02,,,待处理
03,七里香,"7里香,Orange Jasmine",03-七里香.wav,3,否,排练群截图-2026-06-10,,,待处理
04,稻香,Rice Field,稻香-final.mp3,4,否,运营主管提交截图,,,待处理
05,告白气球,告白、Love Confession,,5,否,排练群截图,文件名待补充,,待处理
06,简单爱,Simple Love,FILE_20260612_001.mp3,6,否,旧截图2026-05,,,待处理
07,菊花台,"Chrysanthemum Terrace,菊花",07-菊花台.mp3,7,否,曲目表v3.pdf,,,已确认
08,千里之外,"Miles Apart,Far Away",08_千里之外.mp3,8,否,曲目表v3.pdf,,,已确认
09,菊花,菊花台,duplicate_check.mp3,9,否,旧说法-已弃用,疑似别名重复,,待处理
10,发如雪,"Hair Like Snow,发如雪Ice",10-发如雪.mp3,10,否,曲目表v3.pdf,,,已确认
EN1,夜曲,"夜曲Serenade,Notturno",encore_01_夜曲.mp3,,是,返场确认单,返场固定,,已确认
EN2,东风破,东风破、East Wind Breaks,encore_东风破.mp3,,是,排练群截图-2026-06-13,,,待处理
EN3,双截棍,Nunchakus,,是,阿蓝临时改判-电话,原清单未列,团长授权加演-AUTH20260614,待处理
