track_id,title,artist,start_time,end_time,expected_filename,booth,day
TRK001,夏日海浪,乐队A,10:00:00:00,10:05:00:00,TRK001_乐队A_夏日海浪.wav,主舞台,1
TRK002,城市夜曲,乐队B,10:05:00:00,10:10:00:00,TRK002_乐队B_城市夜曲.wav,主舞台,1
TRK003,时间重叠1,乐队C,10:08:00:00,10:13:00:00,TRK003_乐队C_时间重叠1.wav,主舞台,1
TRK004,时间重叠2,乐队D,10:09:00:00,10:14:00:00,TRK004_乐队D_时间重叠2.wav,主舞台,1
TRK005,文件名不匹配,乐队E,10:15:00:00,10:20:00:00,TRK005_乐队E_正确文件名.wav,电子舞台,1
TRK006,缺失文件,乐队F,10:20:00:00,10:25:00:00,TRK006_乐队F_缺失文件.wav,电子舞台,1
TRK007,时码偏差,乐队G,10:25:00:12,10:30:00:00,TRK007_乐队G_时码偏差.wav,摇滚舞台,1
TRK008,重复条目,乐队H,10:30:00:00,10:35:00:00,TRK008_乐队H_重复条目.wav,民谣舞台,1
TRK008,重复条目副本,乐队H2,10:35:00:00,10:40:00:00,TRK008_乐队H2_重复.wav,民谣舞台,1
TRK009,正常条目,乐队I,10:40:00:00,10:45:00:00,TRK009_乐队I_正常条目.wav,主舞台,2
,缺少track_id,乐队J,10:45:00:00,10:50:00:00,TRK010_乐队J_缺少id.wav,主舞台,2
TRK011,多余文件测试,乐队K,10:50:00:00,10:55:00:00,TRK011_乐队K_多余.wav,电子舞台,2
